timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Output,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR HeatSink TempC,PCR Output,Stage1 Error Time Ms,PCR Error Time Ms,PCR Target Rate,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
2334.675,36.22,24.0,50.0,62.0,,36.9,100.0,,,,,,100.0,,,,,,,,,,,,,,,
2334.675,36.22,24.0,50.0,62.0,,36.9,100.0,,,,,,100.0,,,,,,,,,,,,,,,
2334.675,36.22,24.0,50.0,62.0,,36.9,100.0,,,,,,100.0,,,,,,,,,,,,,,,
2334.675,36.22,24.0,50.0,62.0,,36.9,100.0,,,,,,100.0,,,,,,,,,,,,,,,
2334.675,36.22,24.0,50.0,62.0,,36.9,100.0,,,,,,100.0,,,,,,,,,,,,,,,
2334.675,36.22,24.0,50.0,62.0,,36.9,100.0,,,,,,100.0,,,,,,,,,,,,,,,
2334.675,36.22,24.0,50.0,62.0,,36.9,100.0,,,,,,100.0,,,,,,,,,,,,,,,
2334.825,36.22,24.0,50.0,62.0,,36.89,100.0,,,,,,250.0,,,,,,,,,,,,,,,
2334.825,36.22,24.0,50.0,62.0,,36.89,100.0,,,,,,250.0,,,,,,,,,,,,,,,
2334.825,36.22,24.0,50.0,62.0,,36.89,100.0,,,,,,250.0,,,,,,,,,,,,,,,
2334.825,36.22,24.0,50.0,62.0,,36.89,100.0,,,,,,250.0,,,,,,,,,,,,,,,
2334.825,36.22,24.0,50.0,62.0,,36.89,100.0,,,,,,250.0,,,,,,,,,,,,,,,
2334.825,36.22,24.0,50.0,62.0,,36.89,100.0,,,,,,250.0,,,,,,,,,,,,,,,
2334.825,36.22,24.0,50.0,62.0,,36.89,100.0,,,,,,250.0,,,,,,,,,,,,,,,
2334.975,36.4,24.0,50.0,62.0,,36.88,100.0,,,,,,400.0,,,,,,,,,,,,,,,
2334.975,36.4,24.0,50.0,62.0,,36.88,100.0,,,,,,400.0,,,,,,,,,,,,,,,
2334.975,36.4,24.0,50.0,62.0,,36.88,100.0,,,,,,400.0,,,,,,,,,,,,,,,
2334.975,36.4,24.0,50.0,62.0,,36.88,100.0,,,,,,400.0,,,,,,,,,,,,,,,
2334.975,36.4,24.0,50.0,62.0,,36.88,100.0,,,,,,400.0,,,,,,,,,,,,,,,
2334.975,36.4,24.0,50.0,62.0,,36.88,100.0,,,,,,400.0,,,,,,,,,,,,,,,
2334.975,36.4,24.0,50.0,62.0,,36.88,100.0,,,,,,400.0,,,,,,,,,,,,,,,
2335.125,36.84,24.0,50.0,62.0,26.96,36.85,100.0,,,,,,550.0,,,,,,,,,,,,,,,
2335.125,36.84,24.0,50.0,62.0,26.96,36.85,100.0,,,,,,550.0,,,,,,,,,,,,,,,
2335.125,36.84,24.0,50.0,62.0,26.96,36.85,100.0,,,,,,550.0,,,,,,,,,,,,,,,
2335.125,36.84,24.0,50.0,62.0,26.96,36.85,100.0,,,,,,550.0,,,,,,,,,,,,,,,
2335.125,36.84,24.0,50.0,62.0,26.96,36.85,100.0,,,,,,550.0,,,,,,,,,,,,,,,
2335.125,36.84,24.0,50.0,62.0,26.96,36.85,100.0,,,,,,550.0,,,,,,,,,,,,,,,
2335.125,36.84,24.0,50.0,62.0,26.96,36.85,100.0,,,,,,550.0,,,,,,,,,,,,,,,
2335.125,36.84,24.0,50.0,62.0,26.96,36.85,100.0,,,,,,550.0,,,,,,,,,,,,,,,
2335.275,37.54,24.0,50.0,62.0,,36.82,100.0,,,,,,700.0,,,,,,,,,,,,,,,
2335.275,37.54,24.0,50.0,62.0,,36.82,100.0,,,,,,700.0,,,,,,,,,,,,,,,
