timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Output,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR HeatSink TempC,PCR Output,Stage1 Error Time Ms,PCR Error Time Ms,PCR Target Rate,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
6405.731,33.23,24.0,62.0,,34.31,50.0,,,,,,0.0,,,,,,,,,,,,,,,
6405.731,33.23,24.0,62.0,,34.31,50.0,,,,,,0.0,,,,,,,,,,,,,,,
6405.731,33.23,24.0,62.0,,34.31,50.0,,,,,,0.0,,,,,,,,,,,,,,,
6405.731,33.23,24.0,62.0,,34.31,50.0,,,,,,0.0,,,,,,,,,,,,,,,
6405.731,33.23,24.0,62.0,,34.31,50.0,,,,,,0.0,,,,,,,,,,,,,,,
6405.731,33.23,24.0,62.0,,34.31,50.0,,,,,,0.0,,,,,,,,,,,,,,,
6405.872,33.21,24.0,62.0,21.89,34.3,100.0,,,,,,150.0,,,,,,,,,,,,,,,
6405.872,33.21,24.0,62.0,21.89,34.3,100.0,,,,,,150.0,,,,,,,,,,,,,,,
6405.872,33.21,24.0,62.0,21.89,34.3,100.0,,,,,,150.0,,,,,,,,,,,,,,,
6405.872,33.21,24.0,62.0,21.89,34.3,100.0,,,,,,150.0,,,,,,,,,,,,,,,
6405.872,33.21,24.0,62.0,21.89,34.3,100.0,,,,,,150.0,,,,,,,,,,,,,,,
6405.872,33.21,24.0,62.0,21.89,34.3,100.0,,,,,,150.0,,,,,,,,,,,,,,,
6405.872,33.21,24.0,62.0,21.89,34.3,100.0,,,,,,150.0,,,,,,,,,,,,,,,
6406.021,33.22,24.0,62.0,,34.3,100.0,,,,,,300.0,,,,,,,,,,,,,,,
6406.021,33.22,24.0,62.0,,34.3,100.0,,,,,,300.0,,,,,,,,,,,,,,,
6406.021,33.22,24.0,62.0,,34.3,100.0,,,,,,300.0,,,,,,,,,,,,,,,
6406.021,33.22,24.0,62.0,,34.3,100.0,,,,,,300.0,,,,,,,,,,,,,,,
6406.021,33.22,24.0,62.0,,34.3,100.0,,,,,,300.0,,,,,,,,,,,,,,,
6406.021,33.22,24.0,62.0,,34.3,100.0,,,,,,300.0,,,,,,,,,,,,,,,
6406.171,33.47,24.0,62.0,,34.3,100.0,,,,,,450.0,,,,,,,,,,,,,,,
6406.171,33.47,24.0,62.0,,34.3,100.0,,,,,,450.0,,,,,,,,,,,,,,,
6406.171,33.47,24.0,62.0,,34.3,100.0,,,,,,450.0,,,,,,,,,,,,,,,
6406.171,33.47,24.0,62.0,,34.3,100.0,,,,,,450.0,,,,,,,,,,,,,,,
6406.171,33.47,24.0,62.0,,34.3,100.0,,,,,,450.0,,,,,,,,,,,,,,,
6406.171,33.47,24.0,62.0,,34.3,100.0,,,,,,450.0,,,,,,,,,,,,,,,
6406.321,34.05,24.0,62.0,,34.26,100.0,,,,,,600.0,,,,,,,,,,,,,,,
6406.321,34.05,24.0,62.0,,34.26,100.0,,,,,,600.0,,,,,,,,,,,,,,,
6406.321,34.05,24.0,62.0,,34.26,100.0,,,,,,600.0,,,,,,,,,,,,,,,
6406.321,34.05,24.0,62.0,,34.26,100.0,,,,,,600.0,,,,,,,,,,,,,,,
6406.321,34.05,24.0,62.0,,34.26,100.0,,,,,,600.0,,,,,,,,,,,,,,,
6406.321,34.05,24.0,62.0,,34.26,100.0,,,,,,600.0,,,,,,,,,,,,,,,
6406.471,35.03,24.0,62.0,,34.21,100.0,,,,,,750.0,,,,,,,,,,,,,,,
6406.471,35.03,24.0,62.0,,34.21,100.0,,,,,,750.0,,,,,,,,,,,,,,,
6406.471,35.03,24.0,62.0,,34.21,100.0,,,,,,750.0,,,,,,,,,,,,,,,
6406.471,35.03,24.0,62.0,,34.21,100.0,,,,,,750.0,,,,,,,,,,,,,,,
6406.471,35.03,24.0,62.0,,34.21,100.0,,,,,,750.0,,,,,,,,,,,,,,,
6406.471,35.03,24.0,62.0,,34.21,100.0,,,,,,750.0,,,,,,,,,,,,,,,
6406.485,,,,21.95,,,,,,,,,,,,,,,,,,,,,,,
6406.621,36.27,24.0,62.0,,34.15,100.0,,,,,,900.0,,,,,,,,,,,,,,,
6406.621,36.27,24.0,62.0,,34.15,100.0,,,,,,900.0,,,,,,,,,,,,,,,
6406.621,36.27,24.0,62.0,,34.15,100.0,,,,,,900.0,,,,,,,,,,,,,,,
6406.621,36.27,24.0,62.0,,34.15,100.0,,,,,,900.0,,,,,,,,,,,,,,,
6406.621,36.27,24.0,62.0,,34.15,100.0,,,,,,900.0,,,,,,,,,,,,,,,
6406.621,36.27,24.0,62.0,,34.15,100.0,,,,,,900.0,,,,,,,,,,,,,,,
6406.771,37.06,24.0,62.0,,34.1,100.0,,,,,,1050.0,,,,,,,,,,,,,,,
6406.771,37.06,24.0,62.0,,34.1,100.0,,,,,,1050.0,,,,,,,,,,,,,,,
6406.771,37.06,24.0,62.0,,34.1,100.0,,,,,,1050.0,,,,,,,,,,,,,,,
6406.771,37.06,24.0,62.0,,34.1,100.0,,,,,,1050.0,,,,,,,,,,,,,,,
6406.771,37.06,24.0,62.0,,34.1,100.0,,,,,,1050.0,,,,,,,,,,,,,,,
6406.771,37.06,24.0,62.0,,34.1,100.0,,,,,,1050.0,,,,,,,,,,,,,,,
6406.921,38.56,24.0,62.0,,34.02,100.0,,,,,,1200.0,,,,,,,,,,,,,,,
6406.921,38.56,24.0,62.0,,34.02,100.0,,,,,,1200.0,,,,,,,,,,,,,,,
6406.921,38.56,24.0,62.0,,34.02,100.0,,,,,,1200.0,,,,,,,,,,,,,,,
6406.921,38.56,24.0,62.0,,34.02,100.0,,,,,,1200.0,,,,,,,,,,,,,,,
6406.921,38.56,24.0,62.0,,34.02,100.0,,,,,,1200.0,,,,,,,,,,,,,,,
6406.921,38.56,24.0,62.0,,34.02,100.0,,,,,,1200.0,,,,,,,,,,,,,,,
6407.071,40.07,24.0,62.0,,33.94,100.0,,,,,,1350.0,,,,,,,,,,,,,,,
6407.071,40.07,24.0,62.0,,33.94,100.0,,,,,,1350.0,,,,,,,,,,,,,,,
6407.071,40.07,24.0,62.0,,33.94,100.0,,,,,,1350.0,,,,,,,,,,,,,,,
6407.071,40.07,24.0,62.0,,33.94,100.0,,,,,,1350.0,,,,,,,,,,,,,,,
6407.071,40.07,24.0,62.0,,33.94,100.0,,,,,,1350.0,,,,,,,,,,,,,,,
6407.071,40.07,24.0,62.0,,33.94,100.0,,,,,,1350.0,,,,,,,,,,,,,,,
6407.086,,,,22.04,,,,,,,,,,,,,,,,,,,,,,,
6407.221,41.56,24.0,62.0,,33.87,100.0,,,,,,1500.0,,,,,,,,,,,,,,,
6407.221,41.56,24.0,62.0,,33.87,100.0,,,,,,1500.0,,,,,,,,,,,,,,,
6407.221,41.56,24.0,62.0,,33.87,100.0,,,,,,1500.0,,,,,,,,,,,,,,,
6407.221,41.56,24.0,62.0,,33.87,100.0,,,,,,1500.0,,,,,,,,,,,,,,,
6407.221,41.56,24.0,62.0,,33.87,100.0,,,,,,1500.0,,,,,,,,,,,,,,,
6407.221,41.56,24.0,62.0,,33.87,100.0,,,,,,1500.0,,,,,,,,,,,,,,,
6407.371,43.25,24.0,62.0,,33.79,100.0,,,,,,1650.0,,,,,,,,,,,,,,,
6407.371,43.25,24.0,62.0,,33.79,100.0,,,,,,1650.0,,,,,,,,,,,,,,,
6407.371,43.25,24.0,62.0,,33.79,100.0,,,,,,1650.0,,,,,,,,,,,,,,,
6407.371,43.25,24.0,62.0,,33.79,100.0,,,,,,1650.0,,,,,,,,,,,,,,,
6407.371,43.25,24.0,62.0,,33.79,100.0,,,,,,1650.0,,,,,,,,,,,,,,,
6407.371,43.25,24.0,62.0,,33.79,100.0,,,,,,1650.0,,,,,,,,,,,,,,,
6407.521,44.24,24.0,62.0,,33.74,100.0,,,,,,1800.0,,,,,,,,,,,,,,,
6407.521,44.24,24.0,62.0,,33.74,100.0,,,,,,1800.0,,,,,,,,,,,,,,,
6407.521,44.24,24.0,62.0,,33.74,100.0,,,,,,1800.0,,,,,,,,,,,,,,,
6407.521,44.24,24.0,62.0,,33.74,100.0,,,,,,1800.0,,,,,,,,,,,,,,,
6407.521,44.24,24.0,62.0,,33.74,100.0,,,,,,1800.0,,,,,,,,,,,,,,,
6407.521,44.24,24.0,62.0,,33.74,100.0,,,,,,1800.0,,,,,,,,,,,,,,,
6407.672,45.91,24.0,62.0,,33.67,100.0,,,,,,1950.0,,,,,,,,,,,,,,,
6407.672,45.91,24.0,62.0,,33.67,100.0,,,,,,1950.0,,,,,,,,,,,,,,,
6407.672,45.91,24.0,62.0,,33.67,100.0,,,,,,1950.0,,,,,,,,,,,,,,,
6407.672,45.91,24.0,62.0,,33.67,100.0,,,,,,1950.0,,,,,,,,,,,,,,,
6407.672,45.91,24.0,62.0,,33.67,100.0,,,,,,1950.0,,,,,,,,,,,,,,,
6407.672,45.91,24.0,62.0,,33.67,100.0,,,,,,1950.0,,,,,,,,,,,,,,,
6407.684,,,,22.09,,,,,,,,,,,,,,,,,,,,,,,
6407.824,47.42,24.0,62.0,,33.58,100.0,,,,,,2100.0,,,,,,,,,,,,,,,
6407.824,47.42,24.0,62.0,,33.58,100.0,,,,,,2100.0,,,,,,,,,,,,,,,
6407.824,47.42,24.0,62.0,,33.58,100.0,,,,,,2100.0,,,,,,,,,,,,,,,
6407.824,47.42,24.0,62.0,,33.58,100.0,,,,,,2100.0,,,,,,,,,,,,,,,
6407.824,47.42,24.0,62.0,,33.58,100.0,,,,,,2100.0,,,,,,,,,,,,,,,
6407.824,47.42,24.0,62.0,,33.58,100.0,,,,,,2100.0,,,,,,,,,,,,,,,
6407.971,48.54,24.0,62.0,,33.51,100.0,,,,,,2250.0,,,,,,,,,,,,,,,
6407.971,48.54,24.0,62.0,,33.51,100.0,,,,,,2250.0,,,,,,,,,,,,,,,
6407.971,48.54,24.0,62.0,,33.51,100.0,,,,,,2250.0,,,,,,,,,,,,,,,
6407.971,48.54,24.0,62.0,,33.51,100.0,,,,,,2250.0,,,,,,,,,,,,,,,
6407.971,48.54,24.0,62.0,,33.51,100.0,,,,,,2250.0,,,,,,,,,,,,,,,
6407.971,48.54,24.0,62.0,,33.51,100.0,,,,,,2250.0,,,,,,,,,,,,,,,
6408.121,50.16,24.0,62.0,,33.43,100.0,,,,,,2400.0,,,,,,,,,,,,,,,
6408.121,50.16,24.0,62.0,,33.43,100.0,,,,,,2400.0,,,,,,,,,,,,,,,
6408.121,50.16,24.0,62.0,,33.43,100.0,,,,,,2400.0,,,,,,,,,,,,,,,
6408.121,50.16,24.0,62.0,,33.43,100.0,,,,,,2400.0,,,,,,,,,,,,,,,
6408.121,50.16,24.0,62.0,,33.43,100.0,,,,,,2400.0,,,,,,,,,,,,,,,
6408.121,50.16,24.0,62.0,,33.43,100.0,,,,,,2400.0,,,,,,,,,,,,,,,
6408.271,51.49,24.0,62.0,,33.36,100.0,,,,,,2550.0,,,,,,,,,,,,,,,
6408.271,51.49,24.0,62.0,,33.36,100.0,,,,,,2550.0,,,,,,,,,,,,,,,
6408.271,51.49,24.0,62.0,,33.36,100.0,,,,,,2550.0,,,,,,,,,,,,,,,
6408.271,51.49,24.0,62.0,,33.36,100.0,,,,,,2550.0,,,,,,,,,,,,,,,
6408.271,51.49,24.0,62.0,,33.36,100.0,,,,,,2550.0,,,,,,,,,,,,,,,
6408.271,51.49,24.0,62.0,,33.36,100.0,,,,,,2550.0,,,,,,,,,,,,,,,
6408.283,,,,22.18,,,,,,,,,,,,,,,,,,,,,,,
6408.421,52.98,24.0,62.0,,33.29,100.0,,,,,,2700.0,,,,,,,,,,,,,,,
6408.421,52.98,24.0,62.0,,33.29,100.0,,,,,,2700.0,,,,,,,,,,,,,,,
6408.421,52.98,24.0,62.0,,33.29,100.0,,,,,,2700.0,,,,,,,,,,,,,,,
6408.421,52.98,24.0,62.0,,33.29,100.0,,,,,,2700.0,,,,,,,,,,,,,,,
6408.421,52.98,24.0,62.0,,33.29,100.0,,,,,,2700.0,,,,,,,,,,,,,,,
6408.421,52.98,24.0,62.0,,33.29,100.0,,,,,,2700.0,,,,,,,,,,,,,,,
6408.571,54.3,24.0,62.0,,33.24,100.0,,,,,,2850.0,,,,,,,,,,,,,,,
6408.571,54.3,24.0,62.0,,33.24,100.0,,,,,,2850.0,,,,,,,,,,,,,,,
6408.571,54.3,24.0,62.0,,33.24,100.0,,,,,,2850.0,,,,,,,,,,,,,,,
6408.571,54.3,24.0,62.0,,33.24,100.0,,,,,,2850.0,,,,,,,,,,,,,,,
6408.571,54.3,24.0,62.0,,33.24,100.0,,,,,,2850.0,,,,,,,,,,,,,,,
6408.571,54.3,24.0,62.0,,33.24,100.0,,,,,,2850.0,,,,,,,,,,,,,,,
6408.721,55.89,24.0,62.0,,33.15,100.0,,,,,,3000.0,,,,,,,,,,,,,,,
6408.721,55.89,24.0,62.0,,33.15,100.0,,,,,,3000.0,,,,,,,,,,,,,,,
6408.721,55.89,24.0,62.0,,33.15,100.0,,,,,,3000.0,,,,,,,,,,,,,,,
6408.721,55.89,24.0,62.0,,33.15,100.0,,,,,,3000.0,,,,,,,,,,,,,,,
6408.721,55.89,24.0,62.0,,33.15,100.0,,,,,,3000.0,,,,,,,,,,,,,,,
6408.721,55.89,24.0,62.0,,33.15,100.0,,,,,,3000.0,,,,,,,,,,,,,,,
6408.871,57.04,24.0,62.0,22.26,33.09,100.0,,,,,,3150.0,,,,,,,,,,,,,,,
6408.871,57.04,24.0,62.0,22.26,33.09,100.0,,,,,,3150.0,,,,,,,,,,,,,,,
6408.871,57.04,24.0,62.0,22.26,33.09,100.0,,,,,,3150.0,,,,,,,,,,,,,,,
6408.871,57.04,24.0,62.0,22.26,33.09,100.0,,,,,,3150.0,,,,,,,,,,,,,,,
6408.871,57.04,24.0,62.0,22.26,33.09,100.0,,,,,,3150.0,,,,,,,,,,,,,,,
6408.871,57.04,24.0,62.0,22.26,33.09,100.0,,,,,,3150.0,,,,,,,,,,,,,,,
6408.871,57.04,24.0,62.0,22.26,33.09,100.0,,,,,,3150.0,,,,,,,,,,,,,,,
6409.021,58.16,24.0,62.0,,33.04,100.0,,,,,,3300.0,,,,,,,,,,,,,,,
6409.021,58.16,24.0,62.0,,33.04,100.0,,,,,,3300.0,,,,,,,,,,,,,,,
6409.021,58.16,24.0,62.0,,33.04,100.0,,,,,,3300.0,,,,,,,,,,,,,,,
6409.021,58.16,24.0,62.0,,33.04,100.0,,,,,,3300.0,,,,,,,,,,,,,,,
6409.021,58.16,24.0,62.0,,33.04,100.0,,,,,,3300.0,,,,,,,,,,,,,,,
6409.021,58.16,24.0,62.0,,33.04,100.0,,,,,,3300.0,,,,,,,,,,,,,,,
