timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Output,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR HeatSink TempC,PCR Output,Stage1 Error Time Ms,PCR Error Time Ms,PCR Target Rate,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
2556.567,37.67,24.0,50.0,62.0,,37.88,50.0,,,,,,0.0,,,,,,,,,,,,,,,
2556.567,37.67,24.0,50.0,62.0,,37.88,50.0,,,,,,0.0,,,,,,,,,,,,,,,
2556.567,37.67,24.0,50.0,62.0,,37.88,50.0,,,,,,0.0,,,,,,,,,,,,,,,
2556.567,37.67,24.0,50.0,62.0,,37.88,50.0,,,,,,0.0,,,,,,,,,,,,,,,
2556.567,37.67,24.0,50.0,62.0,,37.88,50.0,,,,,,0.0,,,,,,,,,,,,,,,
2556.567,37.67,24.0,50.0,62.0,,37.88,50.0,,,,,,0.0,,,,,,,,,,,,,,,
2556.567,37.67,24.0,50.0,62.0,,37.88,50.0,,,,,,0.0,,,,,,,,,,,,,,,
2556.7,37.66,24.0,50.0,62.0,24.53,37.88,100.0,,,,,,150.0,,,,,,,,,,,,,,,
2556.7,37.66,24.0,50.0,62.0,24.53,37.88,100.0,,,,,,150.0,,,,,,,,,,,,,,,
2556.7,37.66,24.0,50.0,62.0,24.53,37.88,100.0,,,,,,150.0,,,,,,,,,,,,,,,
2556.7,37.66,24.0,50.0,62.0,24.53,37.88,100.0,,,,,,150.0,,,,,,,,,,,,,,,
2556.7,37.66,24.0,50.0,62.0,24.53,37.88,100.0,,,,,,150.0,,,,,,,,,,,,,,,
2556.7,37.66,24.0,50.0,62.0,24.53,37.88,100.0,,,,,,150.0,,,,,,,,,,,,,,,
2556.7,37.66,24.0,50.0,62.0,24.53,37.88,100.0,,,,,,150.0,,,,,,,,,,,,,,,
2556.7,37.66,24.0,50.0,62.0,24.53,37.88,100.0,,,,,,150.0,,,,,,,,,,,,,,,
2556.85,37.66,24.0,50.0,62.0,,37.86,100.0,,,,,,300.0,,,,,,,,,,,,,,,
2556.85,37.66,24.0,50.0,62.0,,37.86,100.0,,,,,,300.0,,,,,,,,,,,,,,,
2556.85,37.66,24.0,50.0,62.0,,37.86,100.0,,,,,,300.0,,,,,,,,,,,,,,,
2556.85,37.66,24.0,50.0,62.0,,37.86,100.0,,,,,,300.0,,,,,,,,,,,,,,,
2556.85,37.66,24.0,50.0,62.0,,37.86,100.0,,,,,,300.0,,,,,,,,,,,,,,,
