id,memo,inst,date,cq,tm,lot,version,fmax,pcr noise,melt noise
ce4609b1-adb4-4061-ae84-5868cac9468a,ST.310 SP.50 ,119,"Jun 30, 2:29 PM",24,82,TKM-2171,SNP.676/PMMV.06 Duplex Cup,1679,0.01,0.02
06368542-d098-49cb-886b-dcc4fa8fadff,ST.310 SP.48 ,119,"Jun 30, 1:50 PM",25,82,TKM-2171,SNP.676/PMMV.06 Duplex Cup,1589,0.04,0.01
572d2019-0cbe-4307-8c58-a8fb9426c089,ST.310 SP.47 ,119,"Jun 30, 1:09 PM",22,82,TKM-2171,SNP.676/PMMV.06 Duplex Cup,2499,0.02,0.02
9fdd4f34-3384-47b4-a70b-5b99248cc04e,ST.310 SP.46 ,119,"Jun 30, 12:16 PM",24,82,TKM-2171,SNP.676/PMMV.06 Duplex Cup,2270,0.08,0.01
7b06816a-8ede-41fa-bd34-6ec446c14395,ST.310 SP.45 ,119,"Jun 30, 11:40 AM",23,82,TKM-2171,SNP.676/PMMV.06 Duplex Cup,1793,0.01,0.09
3d29a327-0143-4e83-a1a4-b782901a441b,ST.310 SP.44 ,119,"Jun 30, 10:57 AM",24,82,TKM-2171,SNP.676/PMMV.06 Duplex Cup,1896,0.03,0.11
29b0015f-6da1-42d6-b924-a0b6a416bf71,ST.310 SP.49 ,119,"Jun 30, 10:22 AM",23,82,TKM-2171,SNP.676/PMMV.06 Duplex Cup,1941,0.01,0.03
b539694c-8637-4880-be7a-4c04ce749435,ST.310 SP.99 ,Beta15,"Jun 28, 2:59 PM",21,83,TKM-2171,SNP.676/PMMV.06 Duplex Cup,1088,0.03,0.02
dfbdc2de-b17b-4c3d-b7ac-356192f5df32,ST.310 SP.98 ,Beta14,"Jun 28, 2:59 PM",22,83,TKM-2171,SNP.676/PMMV.06 Duplex Cup,1173,0.03,0.01
c7c61b0e-4b3b-44a8-b544-4df8f1c1a030,ST.310 SP.97 ,Beta13,"Jun 28, 2:59 PM",26,83,TKM-2171,SNP.676/PMMV.06 Duplex Cup,1474,0.03,0.01
b7053c18-7d29-4182-88c4-3abdc9e3368d,ST.310 SP.96 ,Beta12,"Jun 28, 2:59 PM",23,83,TKM-2171,SNP.676/PMMV.06 Duplex Cup,1559,0.05,0.01
e77c4d01-7eb1-4819-94f2-ee8a7d6db9e6,ST.310 SP.94 ,Beta09,"Jun 28, 2:58 PM",22,83,TKM-2171,SNP.676/PMMV.06 Duplex Cup,1456,0.02,0.02
18820014-77b0-4a48-96e8-384f24c0ccdf,ST.310 SP.93 ,Beta07,"Jun 28, 2:58 PM",23,83,TKM-2171,SNP.676/PMMV.06 Duplex Cup,1547,0.04,0.05
5ad822e7-51e4-4088-be34-bf0642e49a0a,ST.310 SP.95 ,Beta11,"Jun 28, 2:58 PM",24,83,TKM-2171,SNP.676/PMMV.06 Duplex Cup,1327,0.02,0.01
6920206f-e766-43c8-af51-5bd90be77207,ST.310 SP.43 ,109,"Jun 28, 2:57 PM",24,82,TKM-2171,SNP.676/PMMV.06 Duplex Cup,1469,0.02,0.01
b1a7876d-5db0-4411-aedf-cd641db1309a,ST.310 SP.92 ,Beta15,"Jun 28, 2:10 PM",23,83,TKM-2171,SNP.676/PMMV.06 Duplex Cup,993,0.03,0.01
977902c2-361a-4984-8983-95e90b8d79dd,ST.310 SP.90 ,Beta13,"Jun 28, 2:10 PM",23,83,TKM-2171,SNP.676/PMMV.06 Duplex Cup,1873,0.02,0.02
3cc315b0-3bee-46b8-a5d9-1676a2a02ea5,ST.310 SP.91 ,Beta14,"Jun 28, 2:10 PM",22,83,TKM-2171,SNP.676/PMMV.06 Duplex Cup,1243,0.04,0.01
91cfa739-e4eb-4ebd-bb3a-b97089a81916,ST.310 SP.89 ,Beta12,"Jun 28, 2:10 PM",23,83,TKM-2171,SNP.676/PMMV.06 Duplex Cup,1533,0.04,0.02
644e3c2c-2779-4476-aa77-6948f33499c5,ST.310 SP.87 ,Beta09,"Jun 28, 2:10 PM",21,83,TKM-2171,SNP.676/PMMV.06 Duplex Cup,1360,0.02,0.02
e7d7b14a-195b-423d-abe5-36a0b4c46a34,ST.310 SP.86 ,Beta07,"Jun 28, 2:09 PM",23,83,TKM-2171,SNP.676/PMMV.06 Duplex Cup,1377,0.03,0.08
9e1487dc-1529-4dc5-a47b-8bfc698c0cf4,ST.310 SP.88 ,Beta11,"Jun 28, 2:09 PM",24,83,TKM-2171,SNP.676/PMMV.06 Duplex Cup,1420,0.05,0.01
48351d24-22aa-442a-a55f-b4d5c0d8ee5f,ST.310 SP.42 ,117,"Jun 28, 2:09 PM",24,82,TKM-2171,SNP.676/PMMV.06 Duplex Cup,1791,0.02,0.11
78cdc14d-4097-4a6b-bbb4-664f253ad19e,ST.310 SP.41 ,116,"Jun 28, 2:09 PM",24,82,TKM-2171,SNP.676/PMMV.06 Duplex Cup,1052,0.06,0.02
cfd68cf2-05f7-4954-92e4-7a0aceab73b0,ST.310 SP.40 ,115,"Jun 28, 2:09 PM",24,82,TKM-2171,SNP.676/PMMV.06 Duplex Cup,1836,0.04,0.02
