,Denature,Anneal,Melt
0,101.23,43.01,60.41
1,101.03,45.97,58.36
2,101.82,46.96,58.45
3,102.62,46.26,58.54
4,102.34,46.33,58.78
5,101.9,46.92,59.09
6,101.64,46.88,59.21
7,103.32,46.68,59.52
8,102.11,46.42,59.69
9,103.3,46.7,59.93
10,104.33,46.82,60.08
11,103.85,46.74,60.4
12,104.56,47.03,60.55
13,103.84,46.94,60.91
14,102.46,47.03,60.96
15,102.38,46.94,61.27
16,102.66,47.16,61.38
17,102.51,47.1,61.53
18,102.79,47.31,61.85
19,102.38,47.22,61.97
20,102.34,47.61,62.16
21,102.99,46.98,62.34
22,102.67,47.06,62.68
23,103.2,47.37,62.77
24,103.26,47.51,63.02
25,104.23,47.38,63.16
26,102.78,47.43,63.42
27,103.27,47.48,63.61
28,103.07,47.7,63.76
29,104.27,47.71,64.01
30,102.79,47.63,64.19
31,102.75,47.82,64.33
32,102.96,47.85,64.63
33,,47.78,64.73
34,,,64.95
35,,,65.2
36,,,65.3
37,,,65.5
38,,,65.68
39,,,65.87
40,,,66.09
41,,,67.05
42,,,67.59
43,,,66.71
44,,,67.62
45,,,66.98
46,,,67.2
47,,,67.36
48,,,68.24
49,,,67.96
50,,,68.2
51,,,68.39
52,,,68.59
53,,,68.74
54,,,68.98
55,,,69.18
56,,,69.38
57,,,69.49
58,,,69.77
59,,,69.92
60,,,70.11
61,,,70.28
62,,,70.52
63,,,70.68
64,,,70.88
65,,,71.07
66,,,71.28
67,,,71.45
68,,,71.65
69,,,71.81
70,,,72.15
71,,,72.32
72,,,72.5
73,,,72.63
74,,,72.81
75,,,73.07
76,,,73.3
77,,,73.42
78,,,73.67
79,,,73.78
80,,,73.96
81,,,74.17
82,,,74.35
83,,,74.61
84,,,76.1
85,,,74.92
86,,,75.19
87,,,76.08
88,,,76.59
89,,,75.7
90,,,76.64
91,,,76.8
92,,,78.19
93,,,77.84
94,,,78.35
95,,,78.59
96,,,78.35
97,,,78.06
98,,,79.33
99,,,80.03
100,,,79.7
101,,,79.94
102,,,80.39
103,,,80.77
104,,,80.66
105,,,80.68
106,,,81.34
107,,,81.42
108,,,81.06
109,,,81.9
110,,,81.74
111,,,82.11
112,,,82.39
113,,,82.17
114,,,82.99
115,,,82.97
116,,,82.58
117,,,83.31
118,,,83.37
119,,,83.9
120,,,83.9
121,,,83.87
122,,,84.26
123,,,84.65
124,,,84.91
125,,,84.8
126,,,84.91
127,,,84.84
128,,,85.68
129,,,84.78
130,,,85.97
131,,,86.32
132,,,86.15
133,,,85.54
134,,,86.24
135,,,86.86
136,,,86.18
137,,,86.79
138,,,87.64
139,,,86.77
140,,,87.44
141,,,88.21
142,,,87.59
143,,,88.02
144,,,88.66
145,,,87.99
146,,,88.71
147,,,88.19
148,,,88.64
149,,,89.57
150,,,88.82
151,,,88.92
152,,,90.13
153,,,89.43
154,,,89.45
155,,,90.96
156,,,89.82
157,,,89.83
158,,,90.29
159,,,90.41
160,,,90.45
161,,,90.95
162,,,90.78
163,,,91.59
164,,,91.66
165,,,91.37
166,,,91.82
167,,,92.36
168,,,92.1
169,,,92.62
170,,,92.36
