,Denature,Anneal,Melt
0,93.88,48.48,61.1
1,93.15,51.42,61.24
2,93.67,51.4,61.39
3,93.32,51.23,61.56
4,93.89,51.37,61.73
5,93.69,51.32,61.9
6,93.27,51.28,62.08
7,93.99,51.27,62.26
8,93.12,51.75,62.45
9,94.08,51.76,62.65
10,93.64,51.89,62.82
11,93.06,51.99,62.98
12,93.71,52.06,63.16
13,93.7,51.96,63.35
14,93.35,52.03,63.53
15,93.07,52.07,63.71
16,92.69,52.16,63.89
17,94.05,52.17,64.04
18,93.16,52.23,64.22
19,94.1,52.28,64.4
20,93.3,52.32,64.58
21,93.69,52.31,64.76
22,93.48,52.34,64.92
23,93.17,52.39,65.07
24,92.64,52.45,65.24
25,94.12,52.46,65.42
26,93.8,52.47,65.6
27,93.16,52.56,65.77
28,93.67,52.37,65.93
29,94.2,52.41,66.08
30,94.31,52.42,66.26
31,94.03,52.45,66.43
32,94.35,52.53,66.6
33,,52.56,66.78
34,,,66.94
35,,,67.09
36,,,67.25
37,,,67.42
38,,,67.59
39,,,67.76
40,,,67.92
41,,,68.07
42,,,68.24
43,,,68.4
44,,,68.57
45,,,68.73
46,,,68.88
47,,,69.03
48,,,69.19
49,,,69.35
50,,,69.52
51,,,69.69
52,,,69.84
53,,,69.98
54,,,70.15
55,,,70.31
56,,,70.48
57,,,70.65
58,,,70.81
59,,,70.96
60,,,71.13
61,,,71.29
62,,,71.46
63,,,71.62
64,,,71.78
65,,,71.93
66,,,72.11
67,,,72.28
68,,,72.45
69,,,72.62
70,,,72.77
71,,,72.93
72,,,73.1
73,,,73.27
74,,,73.43
75,,,73.6
76,,,73.75
77,,,73.9
78,,,74.07
79,,,74.24
80,,,74.41
81,,,74.57
82,,,74.72
83,,,74.87
84,,,75.04
85,,,75.21
86,,,75.38
87,,,75.55
88,,,75.71
89,,,75.85
90,,,76.01
91,,,76.18
92,,,76.35
93,,,76.51
94,,,76.66
95,,,76.8
96,,,76.96
97,,,77.12
98,,,77.29
99,,,77.46
100,,,77.61
101,,,77.76
102,,,77.93
103,,,78.1
104,,,78.26
105,,,78.43
106,,,78.58
107,,,78.72
108,,,78.89
109,,,79.06
110,,,79.22
111,,,79.39
112,,,79.54
113,,,79.7
114,,,79.86
115,,,80.03
116,,,80.19
117,,,80.36
118,,,80.5
119,,,80.65
120,,,80.82
121,,,80.98
122,,,81.14
123,,,81.31
124,,,81.45
125,,,81.6
126,,,81.77
127,,,81.94
128,,,82.11
129,,,82.27
130,,,82.42
131,,,82.57
132,,,82.74
133,,,82.91
134,,,83.08
135,,,83.25
136,,,83.39
137,,,83.54
138,,,83.71
139,,,83.87
140,,,84.03
141,,,84.19
142,,,84.34
143,,,84.48
144,,,84.65
145,,,84.81
146,,,84.97
147,,,85.14
148,,,85.28
149,,,85.43
150,,,85.6
151,,,85.76
152,,,85.92
153,,,86.09
154,,,86.23
155,,,86.38
156,,,86.55
157,,,86.71
158,,,86.87
159,,,87.04
160,,,87.19
161,,,87.34
162,,,87.5
163,,,87.66
164,,,87.82
165,,,87.99
166,,,88.13
167,,,88.27
168,,,88.43
169,,,88.59
170,,,88.76
171,,,88.92
172,,,89.06
173,,,89.21
174,,,89.37
175,,,89.53
176,,,89.7
177,,,89.85
178,,,90.0
179,,,90.14
180,,,90.31
181,,,90.46
182,,,90.62
183,,,90.78
184,,,90.92
185,,,91.07
186,,,91.23
187,,,91.4
188,,,91.56
189,,,91.72
190,,,91.86
191,,,92.01
192,,,92.17
193,,,92.33
194,,,92.49
195,,,92.64
196,,,92.79
