Text,X,1: 1x,X,2: 10x,X,3: 100x,X,4: 1000x,X,5: Neg,X,6: 1x_2,X,7: 10x_2,X,8: 100x_2,X,9: 1000x_2,X,10: Neg_2,X,11: 1x_3,X,12: 10x_3,X,13: 100x_3,X,14: 1000x_3,X,15: Neg_3
70.77,70.77,47.756160736084,71.02,48.174259185791,71.05,4.41748666763306,71.08,10.9773406982422,71.11,11.793698310852,71.15,43.456169128418,71.18,8.82124042510986,71.23,34.1268043518066,71.28,4.29694080352783,71.32,5.26894044876099,71.36,37.0168609619141,71.39,4.27252626419067,71.42,3.9261462688446,71.45,3.51415276527405,71.47,3.47142744064331
71.9,71.9,46.2592506408691,72.14,46.3202857971191,72.19,4.17181634902954,72.23,10.5607690811157,72.27,11.0002288818359,72.31,41.6922264099121,72.34,8.34821128845215,72.38,32.4589920043945,72.45,4.04821872711182,72.49,4.89814615249634,72.52,35.518424987793,72.56,4.03143358230591,72.58,3.71252012252808,72.62,3.31273365020752,72.65,3.25322341918945
73.07,73.07,44.7470817565918,73.3,44.4357986450195,73.35,3.95666432380676,73.4,10.1457233428955,73.43,10.2540626525879,73.48,39.9267578125,73.51,7.90112161636353,73.54,31.0719470977783,73.59,3.83306622505188,73.62,4.58991384506226,73.65,34.0947570800781,73.69,3.82085919380188,73.72,3.52025628089905,73.76,3.14488434791565,73.79,3.0701150894165
74.2,74.2,43.2547492980957,74.43,42.6413383483887,74.49,3.75371932983398,74.54,9.76119613647461,74.58,9.56893253326416,74.62,38.1261940002441,74.65,7.48302412033081,74.69,29.6238651275635,74.73,3.63927674293518,74.76,4.29846668243408,74.78,32.6451530456543,74.83,3.62859535217285,74.87,3.35698485374451,74.93,3.00755310058594,74.96,2.90531778335571
75.37,75.37,41.5869369506836,75.6,40.8163566589355,75.63,3.58434414863586,75.66,9.21950149536133,75.69,8.958571434021,75.73,36.4431228637695,75.76,7.09391927719116,75.81,28.1666278839111,75.87,3.45922017097473,75.93,4.04211473464966,75.96,31.1863880157471,76,3.44853901863098,76.02,3.20592045783997,76.06,2.87479972839355,76.09,2.76035714149475
76.5,76.5,40.0961303710937,76.73,39.223316192627,76.75,3.4363317489624,76.78,8.7678337097168,76.82,8.35126304626465,76.86,34.6791801452637,76.9,6.73075437545776,76.95,26.662088394165,77,3.30815601348877,77.05,3.8147554397583,77.08,29.6833744049072,77.13,3.29594874382019,77.17,3.07164120674133,77.21,2.76035714149475,77.24,2.62760353088379
77.7,77.7,38.2726783752441,77.93,37.3907089233398,77.95,3.27458620071411,77.99,8.26123428344727,78.02,7.44029903411865,78.06,32.8175773620605,78.1,6.36606407165527,78.15,25.4428939819336,78.21,3.15251398086548,78.28,3.60112905502319,78.31,28.0399780273438,78.34,3.15251398086548,78.36,2.9465172290802,78.37,2.64438843727112,78.38,2.51316094398499
78.87,78.87,36.3393592834473,79.11,35.3627815246582,79.14,3.1342031955719,79.18,7.87365531921387,79.22,5.58480215072632,79.27,30.6553745269775,79.31,5.99069213867187,79.34,24.0619506835938,79.38,3.0289158821106,79.42,3.42107272148132,79.45,26.182954788208,79.49,3.02433824539185,79.53,2.82139325141907,79.59,2.52689409255981,79.64,2.39871835708618
79.98,79.98,33.8765563964844,80.17,33.4035263061523,80.21,3.01060509681702,80.26,7.49370574951172,80.31,3.93987941741943,80.36,27.525749206543,80.37,5.62294960021973,80.38,22.7069511413574,80.43,2.91142129898071,80.47,3.26848244667053,80.51,23.3600368499756,80.58,2.90226602554321,80.62,2.71915769577026,80.69,2.44144344329834,80.73,2.30106043815613
81.13,81.13,30.3212032318115,81.37,30.1945533752441,81.42,2.8763256072998,81.46,7.0603494644165,81.49,3.61333632469177,81.53,23.753719329834,81.55,5.00495910644531,81.59,20.6942863464355,81.64,2.80003046989441,81.68,3.10826277732849,81.71,19.8016319274902,81.76,2.76035714149475,81.78,2.62150001525879,81.81,2.36209654808044,81.83,2.2079803943634
82.27,82.27,25.5161361694336,82.46,25.7038230895996,82.51,2.77256417274475,82.56,6.8406195640564,82.59,3.40733957290649,82.64,18.4939346313477,82.68,4.28015565872192,82.72,17.7904930114746,82.78,2.69169139862061,82.82,2.97245740890503,82.84,14.2198829650879,82.87,2.59555959701538,82.91,2.52841997146606,82.95,2.27969789505005,82.97,2.12863349914551
83.38,83.38,14.3892574310303,83.67,17.5020980834961,83.71,2.66880297660828,83.75,6.61631202697754,83.78,3.20439457893372,83.83,7.41741037368774,83.87,3.35851073265076,83.94,12.1370258331299,84.01,2.58487820625305,84.06,2.8412299156189,84.09,4.65552759170532,84.1,2.45517659187317,84.11,2.43686580657959,84.15,2.21561002731323,84.18,2.04776072502136
84.66,84.66,4.49988555908203,84.9,5.18959331512451,84.92,2.5741970539093,84.96,6.33859777450562,84.99,3.03654527664185,85.03,3.10368514060974,85.07,2.56961917877197,85.11,4.89967203140259,85.17,2.50095367431641,85.23,2.72373533248901,85.25,3.26848244667053,85.29,2.37125205993652,85.31,2.35446715354919,85.32,2.14694428443909,85.33,1.97756922245026
85.75,85.75,3.59655141830444,85.98,3.63622498512268,86.03,2.49332427978516,86.07,6.04409837722778,86.1,2.88548111915588,86.16,2.8793773651123,86.2,2.468909740448,86.26,3.52941179275513,86.33,2.41245126724243,86.37,2.61844825744629,86.38,3.00755310058594,86.4,2.29648280143738,86.42,2.2781720161438,86.44,2.07827877998352,86.47,1.90737771987915
86.94,86.94,3.26848244667053,87.15,3.42412447929382,87.17,2.41245126724243,87.21,5.82284259796143,87.25,2.74357223510742,87.31,2.72220945358276,87.34,2.37582969665527,87.38,3.35240721702576,87.43,2.33615636825562,87.47,2.52384233474731,87.51,2.87174797058105,87.57,2.21713590621948,87.59,2.2079803943634,87.65,2.1789882183075,87.68,1.84328985214233
88.05,88.05,3.0319676399231,88.27,3.23338675498962,88.31,2.33768224716187,88.36,5.58175039291382,88.41,2.61997413635254,88.46,2.57877469062805,88.48,2.28885316848755,88.51,3.17692828178406,88.57,2.25833535194397,88.6,2.42771029472351,88.65,2.74967575073242,88.68,2.14694428443909,88.72,2.14084076881409,88.75,2.14847040176392,88.78,1.78835737705231
89.14,89.14,2.88548111915588,89.43,3.0701150894165,89.48,2.27054238319397,89.52,5.29335451126099,89.56,2.49637603759766,89.61,2.44754719734192,89.65,2.2049286365509,89.69,3.01976037025452,89.76,2.19119548797607,89.81,2.34073400497437,89.85,2.63675904273987,89.89,2.0874342918396,89.93,2.07827877998352,89.97,2.14999628067017,89.99,1.73189902305603
90.39,90.39,2.74509811401367,90.65,2.91294717788696,90.68,2.1988251209259,90.71,5.1102466583252,90.74,2.38803696632385,90.81,2.32700085639954,90.83,2.12710762023926,90.87,2.88090324401855,90.92,2.11947822570801,90.98,2.26138710975647,91.03,2.53452348709106,91.07,2.02792406082153,91.09,2.01876854896545,91.11,2.0874342918396,91.13,1.68154418468475
91.59,91.59,2.61692214012146,91.84,2.78019380569458,91.84,2.14084076881409,91.86,4.99732971191406,91.88,2.29343104362488,91.93,2.22171354293823,91.97,2.05386424064636,92.01,2.74814987182617,92.06,2.05996799468994,92.1,2.18661785125732,92.12,2.44907307624817,92.18,1.97604334354401,92.2,1.96078431606293,92.27,1.95773255825043,92.32,1.63118946552277
92.7,92.7,2.52079033851624,92.94,2.6596474647522,92.98,2.07827877998352,93.03,4.83558416366577,93.07,2.1988251209259,93.12,2.12558174133301,93.14,1.9882504940033,93.18,2.63523316383362,93.22,2.00198364257813,93.26,2.12405586242676,93.28,2.37125205993652,93.31,1.92568850517273,93.34,1.90737771987915,93.39,1.96078431606293,93.43,1.59304189682007
93.88,93.88,2.41702914237976,94.08,2.54367899894714,94.12,2.01876854896545,94.17,4.62653541564941,94.2,2.11795234680176,94.25,2.04165720939636,94.28,1.93026626110077,94.33,2.52536821365356,94.38,1.94857704639435,94.42,2.05539035797119,94.45,2.28885316848755,94.47,1.87533378601074,94.52,1.85854887962341,94.56,1.92263674736023,94.59,1.55184257030487
94.99,94.99,2.29648280143738,95.76,2.39719223976135,95.89,1.94247353076935,95.96,4.43732357025146,95.99,2.00503540039062,96.04,1.93026626110077,96.05,1.84481573104858,96.06,2.3956663608551,96.08,1.87685966491699,96.07,1.96841382980347,96.08,2.18966960906982,96.09,1.81429767608643,96.09,1.80209052562714,96.1,1.86312651634216,96.1,1.50453960895538

