Text,X,1: 1x,X,2: 10x,X,3: 100x,X,4: 1000x,X,5: Neg,X,6: 1x_2,X,7: 10x_2,X,8: 100x_2,X,9: 1000x_2,X,10: Neg_2,X,11: 1x_3,X,12: 10x_3,X,13: 100x_3,X,14: 1000x_3,X,15: Neg_3
59.77,59.77,55.2437629699707,60.65,58.9837493896484,60.74,8.32837390899658,60.86,15.7183179855347,60.93,22.1286334991455,60.96,51.4503707885742,60.95,14.2565040588379,60.93,47.9789428710937,60.93,8.42908382415772,60.95,11.503776550293,60.97,44.7150382995605,61.02,8.25207901000977,61.05,7.53490495681763,61.09,6.82688617706299,61.12,7.6112003326416
61.45,61.45,57.0000762939453,61.57,61.0955963134766,61.61,8.23071670532227,61.63,15.9288930892944,61.65,22.2293434143066,61.68,53.9467468261719,61.71,14.4914932250977,61.75,48.6213455200195,61.8,8.2108793258667,61.84,11.1558704376221,61.86,46.2485694885254,61.87,8.03387546539307,61.88,7.31670093536377,61.89,6.58579397201538,61.92,7.15037775039673
62.23,62.23,57.4395370483398,62.36,61.6525535583496,62.4,7.79583406448364,62.45,15.487907409668,62.48,21.1429004669189,62.53,54.5143814086914,62.55,14.0032043457031,62.57,47.9972534179687,62.59,7.73632431030273,62.62,10.4524297714233,62.64,46.4972915649414,62.69,7.54863834381103,62.72,6.84214544296265,62.77,6.15396356582642,62.8,6.57511234283447
63.13,63.13,56.8627433776855,63.35,60.8529777526855,63.39,7.21751737594605,63.43,14.8485546112061,63.46,19.757381439209,63.5,53.9848937988281,63.53,13.2646675109863,63.56,46.3874282836914,63.61,7.11833381652832,63.65,9.52162933349609,63.67,45.9708557128906,63.7,6.96269178390503,63.73,6.32333850860596,63.77,5.66109704971313,63.79,5.97848463058472
64.21,64.21,56.3088417053223,64.38,59.5178146362305,64.39,6.69108104705811,64.43,14.2030973434448,64.46,18.4176387786865,64.52,53.3134956359863,64.56,12.5200271606445,64.59,44.312198638916,64.62,6.57663822174072,64.64,8.70832347869873,64.66,45.2841987609863,64.69,6.46066999435425,64.72,5.87319755554199,64.76,5.26436233520508,64.79,5.48561859130859
65.14,65.14,55.2376594543457,65.37,57.9873352050781,65.4,6.22110319137573,65.44,13.6598768234253,65.47,17.1053638458252,65.54,52.0057983398438,65.59,11.8257417678833,65.61,42.5589370727539,65.65,6.09445333480835,65.7,7.94689846038818,65.73,44.1306190490723,65.77,5.97238111495972,65.8,5.44441890716553,65.84,4.84931707382202,65.87,5.01716661453247
66.27,66.27,53.7575340270996,66.57,55.7778282165527,66.6,5.74502182006836,66.62,13.0327310562134,66.64,15.8129243850708,66.69,50.4310684204102,66.72,11.084153175354,66.78,40.8346672058105,66.81,5.61837196350098,66.85,7.2510871887207,66.87,42.7069511413574,66.9,5.535973072052,66.94,5.05073642730713,66.98,4.51972246170044,67.01,4.61890602111816
67.39,67.39,52.4727249145508,67.61,53.9574279785156,67.65,5.36507225036621,67.7,12.5123977661133,67.74,14.6868085861206,67.78,48.7602043151855,67.8,10.4783706665039,67.82,39.0417327880859,67.86,5.23689651489258,67.91,6.6651406288147,67.95,41.2863349914551,67.99,5.1636528968811,68.03,4.71656370162964,68.07,4.21911954879761,68.09,4.27710390090942
68.53,68.53,50.9086761474609,68.75,52.037841796875,68.79,5.01258850097656,68.83,11.9951171875,68.85,13.6507205963135,68.9,46.9993133544922,68.93,9.88784599304199,68.97,37.3159370422363,69.02,4.87983512878418,69.05,6.14938592910767,69.07,39.9343872070313,69.11,4.83711004257202,69.13,4.42816829681396,69.17,3.96429395675659,69.21,3.97039747238159
69.6,69.6,49.5078964233398,69.8,50.3227272033691,69.84,4.71808958053589,69.89,11.5068283081055,69.94,12.6604108810425,70.01,45.2796211242676,70.06,9.33852100372314,70.09,35.555046081543,70.1,4.58533620834351,70.12,5.69771862030029,70.14,38.5580215454102,70.18,4.54871463775635,70.22,4.16723871231079,70.29,3.71709775924683,70.33,3.70183873176575
