Text,1: 1x,2: 10x,3: 100x,4: 1000x,5: Neg,6: 1x_2,7: 10x_2,8: 100x_2,9: 1000x_2,10: Neg_2,11: 1x_3,12: 10x_3,13: 100x_3,14: 1000x_3,15: Neg_3
1,5.07362461090088,5.66872644424438,4.57618045806885,15.6313419342041,7.88281059265137,4.18554973602295,4.66926050186157,6.23941421508789,4.33814001083374,5.27351808547974,4.50751495361328,4.47547101974487,4.1809720993042,5.96627759933472,4.71808958053589
2,5.15602350234985,5.85488653182983,4.67383861541748,7.74700546264648,8.10711860656738,4.24658584594727,4.78675508499146,6.48813629150391,4.45868635177612,5.44747066497803,4.63416481018066,4.59906911849976,4.29388856887817,6.39810800552368,4.84626531600952
3,5.1102466583252,5.84725713729858,4.65094995498657,6.23178434371948,8.00946044921875,4.21454191207886,4.76844453811646,6.49881744384766,4.44190120697022,5.44594478607178,4.63263893127441,4.56397342681885,4.27862977981567,7.08781576156616,4.83558416366577
4,5.28572511672974,6.09750509262085,4.79591035842895,10.592812538147,8.36652183532715,4.3686580657959,4.94850063323975,6.75974655151367,4.58381032943726,5.64889001846313,4.7409782409668,4.68146800994873,4.3747615814209,7.00541687011719,4.94850063323975
5,5.21095609664917,6.04257249832153,4.74860763549805,21.8020896911621,8.23224258422852,4.33814001083374,4.91645669937134,6.69565868377686,4.55176639556885,5.61532020568848,4.71198606491089,4.65247583389282,4.3656063079834,6.32181262969971,4.94850063323975
6,5.22468900680542,6.06698703765869,4.76386642456055,21.2268257141113,8.25513076782227,4.40680551528931,4.97749280929565,6.79484224319458,4.60364675521851,5.68856334686279,4.7348747253418,4.67994213104248,4.38849449157715,4.97138929367065,4.9637598991394
7,5.25215530395508,6.10360860824585,4.77454805374146,18.6282138824463,8.28259754180908,4.46021223068237,5.03089952468872,6.93369960784912,4.63569068908691,5.73434019088745,4.73029661178589,4.67231273651123,4.41901254653931,4.5471887588501,4.99580383300781
8,5.28267335891724,6.12344551086426,4.7669186592102,17.5173568725586,8.22308731079102,4.49378204345703,5.07515048980713,6.99015808105469,4.69977855682373,5.82436847686768,4.71351194381714,4.73029661178589,4.45868635177612,4.52582597732544,5.00648498535156
9,5.29182863235474,6.13107490539551,4.74860763549805,16.8764781951904,8.15289497375488,4.52124834060669,5.10566854476929,7.0481424331665,4.70740842819214,5.83352422714233,4.68757152557373,4.70283031463623,4.45868635177612,4.35492467880249,4.99885559082031
10,5.29945850372314,6.14633417129517,4.75165939331055,17.5692386627197,8.17883586883545,4.52124834060669,5.15602350234985,7.12138557434082,4.7501335144043,5.90676736831665,4.71656370162964,4.73182249069214,4.49378204345703,4.26184463500977,5.00495910644531
11,5.31013965606689,6.12802314758301,4.74555587768555,15.5580987930298,8.09948921203613,4.56702518463135,5.17433452606201,7.19157695770264,4.76081466674805,5.92202663421631,4.71808958053589,4.71961545944214,4.53040361404419,4.42816829681396,4.99885559082031
12,5.31776905059814,6.13870429992676,4.75471115112305,19.8580913543701,8.04608249664307,4.5532922744751,5.19111919403076,7.21293973922729,4.78675508499146,5.93728542327881,4.71046018600464,4.69825267791748,4.53345537185669,4.23895645141602,4.9729151725769
13,5.29945850372314,6.13870429992676,4.76844453811646,21.9897766113281,8.023193359375,4.54108476638794,5.21858549118042,7.25871658325195,4.79438447952271,5.94796657562256,4.70893430709839,4.68757152557373,4.57618045806885,4.25574111938477,4.97749280929565
14,5.24300003051758,6.08834981918335,4.73182249069214,20.1129169464111,7.90875101089478,4.49530792236328,5.19417095184326,7.24650955200195,4.80354022979736,5.94186305999756,4.68299388885498,4.65705347061157,4.5563440322876,4.1931791305542,4.9408712387085
15,5.22163724899292,6.1081862449646,4.72114133834839,18.7975883483887,7.89349222183228,4.53345537185669,5.20485258102417,7.22972440719604,4.82032489776611,5.94949245452881,4.69367504119873,4.68451976776123,4.55176639556885,4.19775676727295,4.91645669937134
16,5.20332670211792,6.11734199523926,4.71503782272339,21.342794418335,7.87365531921387,4.50904083251953,5.22011137008667,7.28618288040161,4.82185077667236,5.96017408370972,4.69214916229248,4.66163110733032,4.5471887588501,4.22980070114136,4.83100652694702
17,5.1636528968811,6.0868239402771,4.69062328338623,22.8030815124512,7.83398199081421,4.50446319580078,5.21705961227417,7.26634645462036,4.82337665557861,5.95101833343506,4.66926050186157,4.64332056045532,4.53803300857544,4.22217130661011,4.7669186592102
18,5.13618659973145,6.05783176422119,4.66926050186157,17.4456405639648,7.73785018920898,4.47089338302612,5.18501567840576,7.28007936477661,4.81116962432861,5.95407056808472,4.67841625213623,4.64484643936157,4.55176639556885,4.22217130661011,4.72266721725464
19,5.10109090805054,6.04562425613403,4.66620874404907,21.5457382202148,7.67223644256592,4.44647884368897,5.1606011390686,7.19920635223389,4.7882809638977,5.90371561050415,4.65247583389282,4.61127662658691,4.5593957901001,4.20080852508545,4.70893430709839
