,T,415,445,480,515,555,590,630,680,CLR,NIR
0,64.77,84,4817,1233,102,129,94,170,193,131,3512
1,64.69,85,4886,1243,103,129,95,171,195,132,3521
2,64.78,86,4936,1255,104,130,96,172,196,133,3575
3,64.86,87,5037,1298,105,133,97,175,200,134,3623
4,64.78,87,5062,1287,105,133,98,174,200,133,3629
5,64.78,87,5064,1281,106,132,98,174,200,133,3651
6,64.87,89,5131,1282,106,133,99,175,201,133,3669
7,64.72,89,5162,1294,107,135,100,177,203,133,3701
8,64.71,91,5229,1294,108,135,101,178,204,134,3747
9,64.77,91,5264,1310,108,137,101,179,206,134,3775
10,64.79,91,5339,1324,109,138,102,180,207,135,3794
11,64.78,93,5372,1331,109,138,103,182,208,136,3814
12,64.82,93,5439,1345,110,139,104,182,210,136,3845
13,64.8,94,5482,1347,110,140,104,182,211,136,3864
14,64.77,95,5551,1341,111,140,105,183,212,136,3911
15,64.84,95,5596,1355,111,141,106,184,214,137,3940
16,64.76,96,5649,1353,112,141,107,185,214,137,3965
17,64.84,96,5685,1371,112,142,107,187,215,137,4002
18,64.81,97,5739,1370,112,143,108,187,218,138,4035
19,64.81,98,5776,1381,113,144,109,188,219,138,4072
20,64.77,100,5838,1378,113,144,110,190,219,139,4123
21,64.89,99,5873,1399,114,145,110,192,221,139,4138
22,64.9,101,5932,1394,114,146,111,192,222,140,4160
23,64.74,101,5975,1413,114,147,112,193,223,141,4177
24,64.81,103,6036,1422,115,147,113,194,225,141,4211
25,64.8,103,6106,1421,116,148,113,195,225,141,4232
26,64.76,104,6143,1429,116,149,114,197,227,141,4257
27,64.75,105,6190,1439,117,150,115,198,228,141,4296
28,64.76,105,6242,1447,118,151,116,199,230,142,4332
29,64.84,106,6295,1454,119,152,117,200,231,142,4378
30,64.78,118,7016,1523,128,163,128,215,249,150,4780
31,64.78,119,7058,1550,135,166,129,216,251,151,4813
32,64.78,120,7100,1571,143,169,131,218,254,151,4834
33,64.79,121,7155,1593,153,173,133,220,256,152,4883
34,64.81,122,7213,1634,166,179,135,223,260,153,4937
