,T,415,445,480,515,555,590,630,680,CLR,NIR
0,64.77,55,3129,866,58,85,61,112,129,90,2223
1,64.77,56,3151,868,58,86,60,113,130,90,2229
2,64.88,56,3179,871,59,86,60,113,130,90,2233
3,64.84,56,3200,874,59,85,61,113,131,89,2252
4,64.88,57,3221,876,59,86,61,114,132,90,2267
5,64.73,57,3242,878,59,86,61,114,132,89,2267
6,64.76,57,3261,876,60,86,62,114,132,89,2284
7,64.77,57,3276,881,60,87,63,115,132,89,2295
8,64.77,58,3293,882,60,86,62,115,133,89,2302
9,64.79,58,3297,887,60,87,62,116,133,89,2317
10,64.77,58,3321,887,60,87,62,116,133,90,2317
11,64.77,58,3334,891,61,87,63,116,134,90,2319
12,64.86,59,3350,892,61,88,64,116,134,89,2324
13,64.74,59,3368,893,61,87,63,116,135,89,2341
14,64.8,59,3390,893,61,88,64,116,135,89,2350
15,64.89,59,3397,903,61,88,63,116,135,90,2360
16,64.8,60,3420,899,61,89,64,117,135,90,2366
17,64.77,60,3425,900,62,88,64,117,136,90,2380
18,64.79,60,3437,902,62,88,64,118,136,90,2388
19,64.76,60,3444,901,62,89,65,118,137,90,2385
20,64.77,61,3464,903,62,89,66,118,137,90,2395
21,64.79,61,3478,909,62,90,66,118,137,90,2401
22,64.8,61,3486,912,63,89,65,118,137,90,2406
23,64.75,61,3509,909,63,89,65,119,138,90,2428
24,64.76,61,3517,907,64,91,66,119,138,90,2436
25,64.75,62,3522,914,66,91,66,119,138,91,2441
26,64.82,62,3532,919,68,91,66,119,139,91,2452
27,64.76,62,3560,923,72,93,67,120,139,91,2465
28,64.77,63,3561,939,77,95,68,120,140,91,2470
29,64.8,63,3574,948,83,97,68,121,141,92,2495
30,64.89,68,3835,992,101,106,74,127,148,96,2661
31,64.79,68,3827,999,105,108,74,129,148,96,2670
32,64.77,68,3831,1005,107,108,75,128,149,96,2665
33,64.86,68,3835,1006,108,109,75,128,148,96,2675
34,64.77,68,3844,1012,109,110,75,128,149,96,2669
