,T,415,445,480,515,555,590,630,680,CLR,NIR
0,64.77,87,5050,1307,89,131,95,182,212,138,3342
1,64.77,88,5052,1318,89,131,95,182,213,138,3350
2,64.87,89,5078,1326,89,132,96,183,214,138,3366
3,64.77,90,5136,1330,90,132,96,185,214,140,3393
4,64.89,90,5166,1348,90,133,97,185,215,139,3439
5,64.73,90,5187,1343,91,133,97,186,216,139,3434
6,64.77,90,5202,1352,92,134,98,186,217,139,3456
7,64.79,91,5245,1355,92,134,98,186,218,140,3462
8,64.75,91,5259,1349,92,135,98,187,219,140,3476
9,64.82,91,5288,1350,93,135,99,187,220,141,3495
10,64.78,92,5283,1365,93,136,99,188,220,141,3500
11,64.86,92,5321,1360,93,136,99,188,220,141,3509
12,64.82,92,5357,1375,93,135,100,190,221,140,3529
13,64.77,92,5366,1372,93,136,100,189,222,140,3548
14,64.78,94,5393,1389,94,136,100,189,223,142,3560
15,64.84,93,5427,1384,94,137,101,191,223,142,3572
16,64.77,93,5423,1387,94,138,101,191,223,142,3586
17,64.82,95,5465,1392,94,138,101,191,223,142,3588
18,64.78,95,5465,1392,94,139,102,191,225,142,3586
19,64.82,95,5505,1394,95,139,102,191,225,142,3609
20,64.76,94,5507,1404,95,140,102,192,225,142,3633
21,64.78,95,5555,1402,95,140,102,193,226,142,3640
22,64.76,96,5558,1408,95,139,103,194,226,142,3657
23,64.78,96,5583,1419,95,140,103,194,227,143,3651
24,64.77,96,5626,1413,96,140,103,194,228,143,3658
25,64.8,97,5629,1426,96,141,104,195,228,143,3652
26,64.77,97,5664,1423,96,142,104,195,228,143,3672
27,64.76,96,5660,1427,96,142,104,196,229,143,3665
28,64.8,97,5671,1434,96,143,104,195,229,143,3679
29,64.76,98,5702,1430,97,142,105,196,229,143,3695
30,64.86,97,5695,1441,97,141,105,196,230,142,3679
31,64.83,99,5732,1435,97,142,105,197,230,143,3699
32,64.85,98,5747,1446,97,143,106,197,231,143,3707
33,64.82,100,5766,1448,98,144,106,197,232,143,3715
34,64.82,99,5787,1449,99,144,106,198,232,144,3730
