Test Report 


Serial Number: A-AB2
Build Config: G.02
ESP Firmware Version: 1.3.0-d
STM Firmware Version: B0.2.4s
Technician ID: JW
Mac Address: 78:21:84:43:e4:8c
Hardware ID: 265b56b2-48cf-5e81-8c34-dd8ceaba982f
Board Version: 5.5


System Fluorimeter Test:

Lowering lifter...
Heating PCR to 30°C...
Blue LED Stabilized

Ch415,Ch445,Ch480,Ch515,Ch555,Ch590,Ch630,Ch680
35,910,452,27,43,59,104,54
35,906,450,27,43,58,103,54
35,904,448,27,43,58,103,54
35,906,449,27,43,58,103,54
35,902,447,27,43,58,103,54
35,899,446,27,43,58,103,54
35,898,445,27,43,58,103,54
35,898,445,27,43,58,103,54
35,897,444,27,43,58,103,54
35,900,445,27,43,58,103,54
35,899,445,27,43,58,103,54
35,900,445,27,43,58,103,54
35,896,443,27,43,58,103,54
35,894,442,27,43,58,102,54
35,894,442,27,43,58,102,54
35,894,442,27,43,58,102,54
35,893,442,27,43,58,102,54
35,896,443,27,43,58,103,54
35,896,443,27,43,58,103,54
35,893,441,27,43,58,102,54
35,892,440,27,43,58,102,54
35,892,441,27,43,58,102,54
35,891,440,27,43,58,102,54
35,891,440,27,43,58,102,54
35,894,442,27,43,58,102,54
35,891,440,27,43,58,102,54
35,891,440,27,43,58,102,54
35,890,439,27,43,58,102,54
35,893,441,27,43,58,102,54
35,890,440,27,43,58,102,54

Passed test

Comments:
