Test Report 


Serial Number: A-AB2
Build Config: G.02
ESP Firmware Version: 1.3.0-d
STM Firmware Version: B0.2.4s
Technician ID: JW
Mac Address: 78:21:84:43:e4:8c
Hardware ID: 265b56b2-48cf-5e81-8c34-dd8ceaba982f
Board Version: 5.5


System Fluorimeter Test:

Lowering lifter...
Heating PCR to 30°C...
Blue LED Stabilized

Ch415,Ch445,Ch480,Ch515,Ch555,Ch590,Ch630,Ch680
21,382,232,22,31,47,65,40
22,384,234,22,31,47,66,40
21,380,231,22,31,47,65,40
21,377,230,22,31,47,65,39
21,381,232,22,31,47,65,40
21,380,232,22,31,47,65,40
21,380,231,22,31,47,65,40
21,377,229,22,31,47,65,39
21,379,231,22,31,47,65,40
21,375,228,22,31,47,65,39
21,375,228,22,31,47,65,39
21,378,231,22,31,47,65,40
21,378,230,22,31,47,65,40
21,374,228,22,31,47,65,39
21,377,230,22,31,47,65,39
21,373,228,22,31,47,64,39
21,373,227,22,31,47,64,39
21,373,228,22,31,47,64,39
21,372,227,22,31,47,64,39
21,372,227,22,31,47,64,39
21,376,229,22,31,47,65,39
21,376,229,22,31,47,65,39
21,372,227,22,31,47,64,39
21,373,227,22,31,47,64,39
21,372,227,22,31,47,64,39
21,371,227,22,31,47,64,39
21,372,227,22,31,47,64,39
21,371,226,22,31,46,64,39
21,371,226,22,31,47,64,39
21,372,227,22,31,47,64,39

Passed test

Comments:
