timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,dataQLiquidStg1
67.889,30.91,30.91,100,30.11
67.889,30.91,30.91,100,30.11
67.889,30.91,30.91,100,30.11
68.039,30.95,30.95,100,30.11
68.039,30.95,30.95,100,30.11
68.039,30.95,30.95,100,30.11
68.19,31.29,31.29,100,30.11
68.19,31.29,31.29,100,30.11
68.19,31.29,31.29,100,30.11
68.19,31.29,31.29,100,30.11
68.34,32.13,32.13,100,
68.34,32.13,32.13,100,
68.34,32.13,32.13,100,
68.49,33.53,33.53,100,
68.49,33.53,33.53,100,
68.49,33.53,33.53,100,
68.64,35.02,35.02,100,
68.64,35.02,35.02,100,
68.64,35.02,35.02,100,
68.79,36.63,36.63,100,30.06
68.79,36.63,36.63,100,30.06
68.79,36.63,36.63,100,30.06
68.79,36.63,36.63,100,30.06
68.94,38.49,38.49,100,
68.94,38.49,38.49,100,
68.94,38.49,38.49,100,
69.09,40.19,40.19,100,
69.09,40.19,40.19,100,
69.09,40.19,40.19,100,
69.241,42.07,42.07,100,
69.241,42.07,42.07,100,
69.241,42.07,42.07,100,
69.39,43.75,43.75,100,30.06
69.39,43.75,43.75,100,30.06
69.39,43.75,43.75,100,30.06
69.39,43.75,43.75,100,30.06
69.54,45.43,45.43,100,
69.54,45.43,45.43,100,
69.54,45.43,45.43,100,
69.691,47.23,47.23,100,
69.691,47.23,47.23,100,
69.691,47.23,47.23,100,
69.841,48.82,48.82,100,
69.841,48.82,48.82,100,
69.841,48.82,48.82,100,
69.991,50.39,50.39,100,30.06
69.991,50.39,50.39,100,30.06
69.991,50.39,50.39,100,30.06
69.991,50.39,50.39,100,30.06
70.141,52.08,52.08,100,
70.141,52.08,52.08,100,
70.141,52.08,52.08,100,
70.291,53.61,53.61,100,
70.291,53.61,53.61,100,
70.291,53.61,53.61,100,
70.442,55.26,55.26,100,
70.442,55.26,55.26,100,
70.442,55.26,55.26,100,
70.593,56.7,56.7,100,30.13
70.593,56.7,56.7,100,30.13
70.593,56.7,56.7,100,30.13
70.593,56.7,56.7,100,30.13
70.743,58.12,58.12,100,
70.743,58.12,58.12,100,
70.743,58.12,58.12,100,
70.894,59.68,59.68,100,
70.894,59.68,59.68,100,
70.894,59.68,59.68,100,
71.044,61.05,61.05,100,
71.044,61.05,61.05,100,
71.044,61.05,61.05,100,
71.195,62.52,62.52,100,30.12
71.195,62.52,62.52,100,30.12
71.195,62.52,62.52,100,30.12
71.195,62.52,62.52,100,30.12
71.344,63.84,63.84,100,
71.344,63.84,63.84,100,
71.344,63.84,63.84,100,
71.494,65.15,65.15,100,
71.494,65.15,65.15,100,
71.494,65.15,65.15,100,
71.644,66.55,66.55,100,
71.644,66.55,66.55,100,
71.644,66.55,66.55,100,
71.794,67.8,67.8,100,30.08
71.794,67.8,67.8,100,30.08
71.794,67.8,67.8,100,30.08
71.794,67.8,67.8,100,30.08
71.944,69,69,100,
71.944,69,69,100,
71.944,69,69,100,
72.095,70.3,70.3,100,
72.095,70.3,70.3,100,
72.095,70.3,70.3,100,
