timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,dataQLiquidStg1
3790.411,78.52,32.86,50,60,
3790.411,78.52,32.86,50,60,
3790.411,78.52,32.86,50,60,
3790.411,78.52,32.86,50,60,
3790.561,79.4,33.06,50,60,
3790.561,79.4,33.06,50,60,
3790.561,79.4,33.06,50,60,
3790.561,79.4,33.06,50,60,
3790.711,80.29,33.28,50,60,
3790.711,80.29,33.28,50,60,
3790.711,80.29,33.28,50,60,
3790.711,80.29,33.28,50,60,
3790.862,81.14,33.49,50,60,
3790.862,81.14,33.49,50,60,
3790.862,81.14,33.49,50,60,
3790.862,81.14,33.49,50,60,
3790.923,,,,,26.48
3791.011,81.97,33.7,50,60,
3791.011,81.97,33.7,50,60,
3791.011,81.97,33.7,50,60,
3791.011,81.97,33.7,50,60,
3791.161,82.77,33.91,50,60,
3791.161,82.77,33.91,50,60,
3791.161,82.77,33.91,50,60,
3791.161,82.77,33.91,50,60,
3791.311,83.56,34.12,50,60,
3791.311,83.56,34.12,50,60,
3791.311,83.56,34.12,50,60,
3791.311,83.56,34.12,50,60,
3791.461,84.35,34.34,50,60,
3791.461,84.35,34.34,50,60,
3791.461,84.35,34.34,50,60,
3791.461,84.35,34.34,50,60,
3791.611,85.09,34.55,50,60,
3791.611,85.09,34.55,50,60,
3791.611,85.09,34.55,50,60,
3791.611,85.09,34.55,50,60,
3791.761,85.84,34.77,50,60,
3791.761,85.84,34.77,50,60,
3791.761,85.84,34.77,50,60,
3791.761,85.84,34.77,50,60,
3791.911,86.55,34.99,50,60,28.18
3791.911,86.55,34.99,50,60,28.18
3791.911,86.55,34.99,50,60,28.18
3791.911,86.55,34.99,50,60,28.18
3791.911,86.55,34.99,50,60,28.18
3792.061,87.29,35.21,50,60,
3792.061,87.29,35.21,50,60,
3792.061,87.29,35.21,50,60,
3792.061,87.29,35.21,50,60,
3792.211,88.05,35.44,50,60,
3792.211,88.05,35.44,50,60,
3792.211,88.05,35.44,50,60,
3792.211,88.05,35.44,50,60,
3792.361,88.73,35.66,50,60,
3792.361,88.73,35.66,50,60,
3792.361,88.73,35.66,50,60,
3792.361,88.73,35.66,50,60,
3792.511,89.41,35.88,50,60,
3792.511,89.41,35.88,50,60,
3792.511,89.41,35.88,50,60,
3792.511,89.41,35.88,50,60,
3792.661,90.12,36.11,50,60,
3792.661,90.12,36.11,50,60,
3792.661,90.12,36.11,50,60,
3792.661,90.12,36.11,50,60,
3792.811,90.77,36.33,50,60,
3792.811,90.77,36.33,50,60,
3792.811,90.77,36.33,50,60,
3792.811,90.77,36.33,50,60,
3792.961,91.48,36.56,50,60,30.26
3792.961,91.48,36.56,50,60,30.26
3792.961,91.48,36.56,50,60,30.26
3792.961,91.48,36.56,50,60,30.26
3792.961,91.48,36.56,50,60,30.26
3793.112,91.96,36.77,50,60,
3793.112,91.96,36.77,50,60,
3793.112,91.96,36.77,50,60,
3793.112,91.96,36.77,50,60,
3793.262,92.7,37.01,50,60,
3793.262,92.7,37.01,50,60,
3793.262,92.7,37.01,50,60,
3793.262,92.7,37.01,50,60,
3793.412,93.35,37.25,50,60,
3793.412,93.35,37.25,50,60,
3793.412,93.35,37.25,50,60,
3793.412,93.35,37.25,50,60,
3793.562,93.92,37.47,50,60,
3793.562,93.92,37.47,50,60,
3793.562,93.92,37.47,50,60,
3793.562,93.92,37.47,50,60,
3793.712,94.56,37.7,50,60,
3793.712,94.56,37.7,50,60,
3793.712,94.56,37.7,50,60,
3793.712,94.56,37.7,50,60,
3793.862,95.13,37.93,50,60,30.99
3793.862,95.13,37.93,50,60,30.99
3793.862,95.13,37.93,50,60,30.99
3793.862,95.13,37.93,50,60,30.99
3793.862,95.13,37.93,50,60,30.99
3794.012,95.78,38.17,50,60,
3794.012,95.78,38.17,50,60,
3794.012,95.78,38.17,50,60,
3794.012,95.78,38.17,50,60,
3794.162,96.31,38.4,50,60,
3794.162,96.31,38.4,50,60,
3794.162,96.31,38.4,50,60,
3794.162,96.31,38.4,50,60,
3794.312,96.82,38.62,50,60,
3794.312,96.82,38.62,50,60,
3794.312,96.82,38.62,50,60,
3794.312,96.82,38.62,50,60,
3794.462,97.41,38.86,50,60,
3794.462,97.41,38.86,50,60,
3794.462,97.41,38.86,50,60,
3794.462,97.41,38.86,50,60,
3794.612,97.97,39.09,50,60,
3794.612,97.97,39.09,50,60,
3794.612,97.97,39.09,50,60,
3794.612,97.97,39.09,50,60,
3794.762,98.47,39.32,50,60,
3794.762,98.47,39.32,50,60,
3794.762,98.47,39.32,50,60,
3794.762,98.47,39.32,50,60,
3794.912,98.97,39.55,50,60,35.8
3794.912,98.97,39.55,50,60,35.8
3794.912,98.97,39.55,50,60,35.8
3794.912,98.97,39.55,50,60,35.8
3794.912,98.97,39.55,50,60,35.8
3795.062,99.53,39.79,50,60,
3795.062,99.53,39.79,50,60,
3795.062,99.53,39.79,50,60,
3795.062,99.53,39.79,50,60,
3795.212,99.99,40.01,50,60,
3795.212,99.99,40.01,50,60,
3795.212,99.99,40.01,50,60,
3795.212,99.99,40.01,50,60,
3795.362,100.44,40.24,50,60,
3795.362,100.44,40.24,50,60,
3795.362,100.44,40.24,50,60,
3795.362,100.44,40.24,50,60,
3795.512,100.92,40.47,50,60,
3795.512,100.92,40.47,50,60,
3795.512,100.92,40.47,50,60,
3795.512,100.92,40.47,50,60,
3795.662,101.41,40.7,50,60,
3795.662,101.41,40.7,50,60,
3795.662,101.41,40.7,50,60,
3795.662,101.41,40.7,50,60,
3795.812,101.93,40.94,50,60,
3795.812,101.93,40.94,50,60,
3795.812,101.93,40.94,50,60,
3795.812,101.93,40.94,50,60,
3795.962,102.37,41.17,50,60,39.67
3795.962,102.37,41.17,50,60,39.67
3795.962,102.37,41.17,50,60,39.67
3795.962,102.37,41.17,50,60,39.67
3795.962,102.37,41.17,50,60,39.67
3796.112,102.86,41.41,50,60,
3796.112,102.86,41.41,50,60,
3796.112,102.86,41.41,50,60,
3796.112,102.86,41.41,50,60,
3796.262,103.27,41.64,50,60,
3796.262,103.27,41.64,50,60,
3796.262,103.27,41.64,50,60,
3796.262,103.27,41.64,50,60,
3796.412,103.71,41.87,50,60,
3796.412,103.71,41.87,50,60,
3796.412,103.71,41.87,50,60,
3796.412,103.71,41.87,50,60,
3796.563,104.16,42.11,50,60,
3796.563,104.16,42.11,50,60,
3796.563,104.16,42.11,50,60,
3796.563,104.16,42.11,50,60,
3796.712,104.59,42.34,50,60,
3796.712,104.59,42.34,50,60,
3796.712,104.59,42.34,50,60,
3796.712,104.59,42.34,50,60,
3796.863,105.02,42.57,50,60,
3796.863,105.02,42.57,50,60,
3796.863,105.02,42.57,50,60,
3796.863,105.02,42.57,50,60,
3797.012,105.46,42.81,50,60,40.97
3797.012,105.46,42.81,50,60,40.97
3797.012,105.46,42.81,50,60,40.97
3797.012,105.46,42.81,50,60,40.97
3797.012,105.46,42.81,50,60,40.97
3797.162,105.88,43.05,50,60,
3797.162,105.88,43.05,50,60,
3797.162,105.88,43.05,50,60,
3797.162,105.88,43.05,50,60,
3797.312,106.31,43.28,50,60,
3797.312,106.31,43.28,50,60,
3797.312,106.31,43.28,50,60,
3797.312,106.31,43.28,50,60,
3797.462,106.7,43.51,50,60,
3797.462,106.7,43.51,50,60,
3797.462,106.7,43.51,50,60,
3797.462,106.7,43.51,50,60,
3797.613,107.15,43.76,50,60,
3797.613,107.15,43.76,50,60,
3797.613,107.15,43.76,50,60,
3797.613,107.15,43.76,50,60,
3797.763,107.48,43.98,50,60,
3797.763,107.48,43.98,50,60,
3797.763,107.48,43.98,50,60,
3797.763,107.48,43.98,50,60,
3797.913,107.85,44.21,50,60,40.79
3797.913,107.85,44.21,50,60,40.79
3797.913,107.85,44.21,50,60,40.79
3797.913,107.85,44.21,50,60,40.79
3797.913,107.85,44.21,50,60,40.79
3798.062,108.26,44.45,50,60,
3798.062,108.26,44.45,50,60,
3798.062,108.26,44.45,50,60,
3798.062,108.26,44.45,50,60,
3798.213,108.6,44.67,50,60,
3798.213,108.6,44.67,50,60,
3798.213,108.6,44.67,50,60,
3798.213,108.6,44.67,50,60,
3798.362,108.94,44.9,50,60,
3798.362,108.94,44.9,50,60,
3798.362,108.94,44.9,50,60,
3798.362,108.94,44.9,50,60,
3798.512,109.32,45.14,50,60,
3798.512,109.32,45.14,50,60,
3798.512,109.32,45.14,50,60,
3798.512,109.32,45.14,50,60,
3798.663,109.68,45.37,50,60,
3798.663,109.68,45.37,50,60,
3798.663,109.68,45.37,50,60,
3798.663,109.68,45.37,50,60,
3798.813,109.99,45.59,50,60,
3798.813,109.99,45.59,50,60,
3798.813,109.99,45.59,50,60,
3798.813,109.99,45.59,50,60,
3798.963,110.33,45.82,50,60,43.48
3798.963,110.33,45.82,50,60,43.48
3798.963,110.33,45.82,50,60,43.48
3798.963,110.33,45.82,50,60,43.48
3798.963,110.33,45.82,50,60,43.48
3799.113,110.65,46.05,50,60,
3799.113,110.65,46.05,50,60,
3799.113,110.65,46.05,50,60,
3799.113,110.65,46.05,50,60,
3799.262,111,46.28,50,60,
3799.262,111,46.28,50,60,
3799.262,111,46.28,50,60,
3799.262,111,46.28,50,60,
3799.412,111.3,46.51,50,60,
3799.412,111.3,46.51,50,60,
3799.412,111.3,46.51,50,60,
3799.412,111.3,46.51,50,60,
3799.562,111.57,46.72,50,60,
3799.562,111.57,46.72,50,60,
3799.562,111.57,46.72,50,60,
3799.562,111.57,46.72,50,60,
3799.712,111.8,46.93,50,60,
3799.712,111.8,46.93,50,60,
3799.712,111.8,46.93,50,60,
3799.712,111.8,46.93,50,60,
3799.862,112.1,47.16,50,60,
3799.862,112.1,47.16,50,60,
3799.862,112.1,47.16,50,60,
3799.862,112.1,47.16,50,60,
3800.013,112.23,47.35,50,60,45.63
3800.013,112.23,47.35,50,60,45.63
3800.013,112.23,47.35,50,60,45.63
3800.013,112.23,47.35,50,60,45.63
3800.013,112.23,47.35,50,60,45.63
3800.162,112.46,47.56,50,60,
3800.162,112.46,47.56,50,60,
3800.162,112.46,47.56,50,60,
3800.162,112.46,47.56,50,60,
3800.312,112.65,47.76,50,60,
3800.312,112.65,47.76,50,60,
3800.312,112.65,47.76,50,60,
3800.312,112.65,47.76,50,60,
3800.462,112.72,47.93,50,60,
3800.462,112.72,47.93,50,60,
3800.462,112.72,47.93,50,60,
3800.462,112.72,47.93,50,60,
3800.612,112.85,48.12,50,60,
3800.612,112.85,48.12,50,60,
3800.612,112.85,48.12,50,60,
3800.612,112.85,48.12,50,60,
3800.762,112.92,48.29,50,60,
3800.762,112.92,48.29,50,60,
3800.762,112.92,48.29,50,60,
3800.762,112.92,48.29,50,60,
3800.912,113.06,48.49,50,60,
3800.912,113.06,48.49,50,60,
3800.912,113.06,48.49,50,60,
3800.912,113.06,48.49,50,60,
3801.062,113.16,48.67,50,60,51.59
3801.062,113.16,48.67,50,60,51.59
3801.062,113.16,48.67,50,60,51.59
3801.062,113.16,48.67,50,60,51.59
3801.062,113.16,48.67,50,60,51.59
3801.212,113.19,48.83,50,60,
3801.212,113.19,48.83,50,60,
3801.212,113.19,48.83,50,60,
3801.212,113.19,48.83,50,60,
3801.362,113.21,48.99,50,60,
3801.362,113.21,48.99,50,60,
3801.362,113.21,48.99,50,60,
3801.362,113.21,48.99,50,60,
3801.512,113.27,49.17,50,60,
3801.512,113.27,49.17,50,60,
3801.512,113.27,49.17,50,60,
3801.512,113.27,49.17,50,60,
3801.662,113.34,49.34,50,60,
3801.662,113.34,49.34,50,60,
3801.662,113.34,49.34,50,60,
3801.662,113.34,49.34,50,60,
3801.812,113.37,49.5,50,60,
3801.812,113.37,49.5,50,60,
3801.812,113.37,49.5,50,60,
3801.812,113.37,49.5,50,60,
3801.962,113.42,49.67,50,60,54.54
3801.962,113.42,49.67,50,60,54.54
3801.962,113.42,49.67,50,60,54.54
3801.962,113.42,49.67,50,60,54.54
3801.962,113.42,49.67,50,60,54.54
3802.112,113.4,49.82,50,60,
3802.112,113.4,49.82,50,60,
3802.112,113.4,49.82,50,60,
3802.112,113.4,49.82,50,60,
3802.262,113.49,50.05,50,60,
3802.262,113.49,50.05,50,60,
3802.262,113.49,50.05,50,60,
3802.262,113.49,50.05,50,60,
3802.412,113.49,50.4,50,60,
3802.412,113.49,50.4,50,60,
3802.412,113.49,50.4,50,60,
3802.412,113.49,50.4,50,60,
3802.562,113.53,50.75,50,60,
3802.562,113.53,50.75,50,60,
3802.562,113.53,50.75,50,60,
3802.562,113.53,50.75,50,60,
3802.712,113.51,51.1,50,60,
3802.712,113.51,51.1,50,60,
3802.712,113.51,51.1,50,60,
3802.712,113.51,51.1,50,60,
3802.862,113.58,51.44,50,60,
3802.862,113.58,51.44,50,60,
3802.862,113.58,51.44,50,60,
3802.862,113.58,51.44,50,60,
3803.012,113.62,51.78,50,60,56.31
3803.012,113.62,51.78,50,60,56.31
3803.012,113.62,51.78,50,60,56.31
3803.012,113.62,51.78,50,60,56.31
3803.012,113.62,51.78,50,60,56.31
3803.162,113.64,52.12,50,60,
3803.162,113.64,52.12,50,60,
3803.162,113.64,52.12,50,60,
3803.162,113.64,52.12,50,60,
3803.312,113.61,52.46,50,60,
3803.312,113.61,52.46,50,60,
3803.312,113.61,52.46,50,60,
3803.312,113.61,52.46,50,60,
3803.462,113.65,52.79,50,60,
3803.462,113.65,52.79,50,60,
3803.462,113.65,52.79,50,60,
3803.462,113.65,52.79,50,60,
