timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,dataQLiquidStg1
394.187,60.18,60.18,70,32.97
394.187,60.18,60.18,70,32.97
394.187,60.18,60.18,70,32.97
394.337,59.97,59.97,70,
394.337,59.97,59.97,70,
394.337,59.97,59.97,70,
394.488,59.73,59.73,70,
394.488,59.73,59.73,70,
394.488,59.73,59.73,70,
394.637,59.48,59.48,70,
394.637,59.48,59.48,70,
394.637,59.48,59.48,70,
394.787,59.28,59.28,70,
394.787,59.28,59.28,70,
394.787,59.28,59.28,70,
394.937,59.08,59.08,70,
394.937,59.08,59.08,70,
394.937,59.08,59.08,70,
395.087,58.81,58.81,70,
395.087,58.81,58.81,70,
395.087,58.81,58.81,70,
395.237,58.62,58.62,70,33.36
395.237,58.62,58.62,70,33.36
395.237,58.62,58.62,70,33.36
395.237,58.62,58.62,70,33.36
395.387,58.43,58.43,70,
395.387,58.43,58.43,70,
395.387,58.43,58.43,70,
395.537,58.2,58.2,70,
395.537,58.2,58.2,70,
395.537,58.2,58.2,70,
395.69,57.99,57.99,70,
395.69,57.99,57.99,70,
395.69,57.99,57.99,70,
395.839,57.81,57.81,70,
395.839,57.81,57.81,70,
395.839,57.81,57.81,70,
395.989,57.62,57.62,70,
395.989,57.62,57.62,70,
395.989,57.62,57.62,70,
396.139,57.4,57.4,70,
396.139,57.4,57.4,70,
396.139,57.4,57.4,70,
396.29,57.22,57.22,70,37.03
396.29,57.22,57.22,70,37.03
396.29,57.22,57.22,70,37.03
396.29,57.22,57.22,70,37.03
396.439,57.03,57.03,70,
396.439,57.03,57.03,70,
396.439,57.03,57.03,70,
396.59,56.83,56.83,70,
396.59,56.83,56.83,70,
396.59,56.83,56.83,70,
396.74,56.62,56.62,70,
396.74,56.62,56.62,70,
396.74,56.62,56.62,70,
396.89,56.47,56.47,70,
396.89,56.47,56.47,70,
396.89,56.47,56.47,70,
397.04,56.25,56.25,70,
397.04,56.25,56.25,70,
397.04,56.25,56.25,70,
397.19,56.04,56.04,70,
397.19,56.04,56.04,70,
397.19,56.04,56.04,70,
397.34,55.9,55.9,70,36.21
397.34,55.9,55.9,70,36.21
397.34,55.9,55.9,70,36.21
397.34,55.9,55.9,70,36.21
397.491,55.71,55.71,70,
397.491,55.71,55.71,70,
397.491,55.71,55.71,70,
397.641,55.56,55.56,70,
397.641,55.56,55.56,70,
397.641,55.56,55.56,70,
397.791,55.37,55.37,70,
397.791,55.37,55.37,70,
397.791,55.37,55.37,70,
397.942,55.2,55.2,70,
397.942,55.2,55.2,70,
397.942,55.2,55.2,70,
398.091,55.03,55.03,70,
398.091,55.03,55.03,70,
398.091,55.03,55.03,70,
398.241,54.86,54.86,70,38.78
398.241,54.86,54.86,70,38.78
398.241,54.86,54.86,70,38.78
398.241,54.86,54.86,70,38.78
398.391,54.69,54.69,70,
398.391,54.69,54.69,70,
398.391,54.69,54.69,70,
398.541,54.55,54.55,70,
398.541,54.55,54.55,70,
398.541,54.55,54.55,70,
398.692,54.37,54.37,70,
398.692,54.37,54.37,70,
398.692,54.37,54.37,70,
398.841,54.2,54.2,70,
398.841,54.2,54.2,70,
398.841,54.2,54.2,70,
398.991,54.04,54.04,70,
398.991,54.04,54.04,70,
398.991,54.04,54.04,70,
399.141,53.89,53.89,70,
399.141,53.89,53.89,70,
399.141,53.89,53.89,70,
399.292,53.72,53.72,70,38.74
399.292,53.72,53.72,70,38.74
399.292,53.72,53.72,70,38.74
399.292,53.72,53.72,70,38.74
399.441,53.54,53.54,70,
399.441,53.54,53.54,70,
399.441,53.54,53.54,70,
399.591,53.4,53.4,70,
399.591,53.4,53.4,70,
399.591,53.4,53.4,70,
399.741,53.26,53.26,70,
399.741,53.26,53.26,70,
399.741,53.26,53.26,70,
399.891,53.1,53.1,70,
399.891,53.1,53.1,70,
399.891,53.1,53.1,70,
400.042,52.95,52.95,70,
400.042,52.95,52.95,70,
400.042,52.95,52.95,70,
400.191,52.8,52.8,70,
400.191,52.8,52.8,70,
400.191,52.8,52.8,70,
400.341,52.66,52.66,70,38.79
400.341,52.66,52.66,70,38.79
400.341,52.66,52.66,70,38.79
400.341,52.66,52.66,70,38.79
400.491,52.51,52.51,70,
400.491,52.51,52.51,70,
400.491,52.51,52.51,70,
400.641,52.36,52.36,70,
400.641,52.36,52.36,70,
400.641,52.36,52.36,70,
400.791,52.21,52.21,70,
400.791,52.21,52.21,70,
400.791,52.21,52.21,70,
400.941,52.07,52.07,70,
400.941,52.07,52.07,70,
400.941,52.07,52.07,70,
401.091,51.94,51.94,70,
401.091,51.94,51.94,70,
401.091,51.94,51.94,70,
401.242,51.81,51.81,70,
401.242,51.81,51.81,70,
401.242,51.81,51.81,70,
401.32,,,,38.79
401.391,51.66,51.66,70,
401.391,51.66,51.66,70,
401.391,51.66,51.66,70,
401.542,51.54,51.54,70,
401.542,51.54,51.54,70,
401.542,51.54,51.54,70,
401.691,51.41,51.41,70,
401.691,51.41,51.41,70,
401.691,51.41,51.41,70,
401.841,51.26,51.26,70,
401.841,51.26,51.26,70,
401.841,51.26,51.26,70,
401.991,51.11,51.11,70,
401.991,51.11,51.11,70,
401.991,51.11,51.11,70,
402.142,51,51,70,
402.142,51,51,70,
402.142,51,51,70,
402.292,50.88,50.88,70,38.95
402.292,50.88,50.88,70,38.95
402.292,50.88,50.88,70,38.95
402.292,50.88,50.88,70,38.95
402.442,50.75,50.75,70,
402.442,50.75,50.75,70,
402.442,50.75,50.75,70,
402.592,50.64,50.64,70,
402.592,50.64,50.64,70,
402.592,50.64,50.64,70,
402.743,50.5,50.5,70,
402.743,50.5,50.5,70,
402.743,50.5,50.5,70,
402.893,50.39,50.39,70,
402.893,50.39,50.39,70,
402.893,50.39,50.39,70,
403.043,50.26,50.26,70,
403.043,50.26,50.26,70,
403.043,50.26,50.26,70,
403.193,50.14,50.14,70,
403.193,50.14,50.14,70,
403.193,50.14,50.14,70,
403.343,50.02,50.02,70,39.05
403.343,50.02,50.02,70,39.05
403.343,50.02,50.02,70,39.05
403.343,50.02,50.02,70,39.05
403.494,49.91,49.91,70,
403.494,49.91,49.91,70,
403.494,49.91,49.91,70,
403.644,49.8,49.8,70,
403.644,49.8,49.8,70,
403.644,49.8,49.8,70,
403.793,49.67,49.67,70,
403.793,49.67,49.67,70,
403.793,49.67,49.67,70,
403.943,49.56,49.56,70,
403.943,49.56,49.56,70,
403.943,49.56,49.56,70,
404.093,49.45,49.45,70,
404.093,49.45,49.45,70,
404.093,49.45,49.45,70,
404.243,49.33,49.33,70,
404.243,49.33,49.33,70,
404.243,49.33,49.33,70,
404.393,49.23,49.23,70,39.21
404.393,49.23,49.23,70,39.21
404.393,49.23,49.23,70,39.21
404.393,49.23,49.23,70,39.21
404.543,49.13,49.13,70,
404.543,49.13,49.13,70,
404.543,49.13,49.13,70,
404.695,49.02,49.02,70,
404.695,49.02,49.02,70,
404.695,49.02,49.02,70,
404.843,48.9,48.9,70,
404.843,48.9,48.9,70,
404.843,48.9,48.9,70,
404.993,48.79,48.79,70,
404.993,48.79,48.79,70,
404.993,48.79,48.79,70,
405.143,48.7,48.7,70,
405.143,48.7,48.7,70,
405.143,48.7,48.7,70,
405.293,48.59,48.59,70,39.34
405.293,48.59,48.59,70,39.34
405.293,48.59,48.59,70,39.34
405.293,48.59,48.59,70,39.34
405.443,48.48,48.48,70,
405.443,48.48,48.48,70,
405.443,48.48,48.48,70,
405.593,48.39,48.39,70,
405.593,48.39,48.39,70,
405.593,48.39,48.39,70,
405.743,48.29,48.29,70,
405.743,48.29,48.29,70,
405.743,48.29,48.29,70,
405.893,48.19,48.19,70,
405.893,48.19,48.19,70,
405.893,48.19,48.19,70,
406.043,48.09,48.09,70,
406.043,48.09,48.09,70,
406.043,48.09,48.09,70,
406.193,47.99,47.99,70,
406.193,47.99,47.99,70,
406.193,47.99,47.99,70,
406.343,47.89,47.89,70,39.42
406.343,47.89,47.89,70,39.42
406.343,47.89,47.89,70,39.42
406.343,47.89,47.89,70,39.42
406.494,47.77,47.77,70,
406.494,47.77,47.77,70,
406.494,47.77,47.77,70,
406.644,47.68,47.68,70,
406.644,47.68,47.68,70,
406.644,47.68,47.68,70,
406.795,47.6,47.6,70,
406.795,47.6,47.6,70,
406.795,47.6,47.6,70,
406.945,47.52,47.52,70,
406.945,47.52,47.52,70,
406.945,47.52,47.52,70,
407.095,47.4,47.4,70,
407.095,47.4,47.4,70,
407.095,47.4,47.4,70,
407.245,47.31,47.31,70,
407.245,47.31,47.31,70,
407.245,47.31,47.31,70,
407.395,47.22,47.22,70,39.56
407.395,47.22,47.22,70,39.56
407.395,47.22,47.22,70,39.56
407.395,47.22,47.22,70,39.56
407.545,47.14,47.14,70,
407.545,47.14,47.14,70,
407.545,47.14,47.14,70,
407.695,47.06,47.06,70,
407.695,47.06,47.06,70,
407.695,47.06,47.06,70,
407.845,46.99,46.99,70,
407.845,46.99,46.99,70,
407.845,46.99,46.99,70,
407.996,46.89,46.89,70,
407.996,46.89,46.89,70,
407.996,46.89,46.89,70,
408.146,46.79,46.79,70,
408.146,46.79,46.79,70,
408.146,46.79,46.79,70,
408.296,46.75,46.75,70,39.69
408.296,46.75,46.75,70,39.69
408.296,46.75,46.75,70,39.69
408.296,46.75,46.75,70,39.69
408.446,47.06,47.06,70,
408.446,47.06,47.06,70,
408.446,47.06,47.06,70,
408.596,47.67,47.67,70,
408.596,47.67,47.67,70,
408.596,47.67,47.67,70,
408.746,48.61,48.61,70,
408.746,48.61,48.61,70,
408.746,48.61,48.61,70,
408.896,49.53,49.53,70,
408.896,49.53,49.53,70,
408.896,49.53,49.53,70,
409.046,50.46,50.46,70,
409.046,50.46,50.46,70,
409.046,50.46,50.46,70,
409.196,51.39,51.39,70,
409.196,51.39,51.39,70,
409.196,51.39,51.39,70,
409.346,52.37,52.37,70,39.71
409.346,52.37,52.37,70,39.71
409.346,52.37,52.37,70,39.71
409.346,52.37,52.37,70,39.71
409.496,53.17,53.17,70,
409.496,53.17,53.17,70,
409.496,53.17,53.17,70,
409.645,53.94,53.94,70,
409.645,53.94,53.94,70,
409.645,53.94,53.94,70,
409.796,54.63,54.63,70,
409.796,54.63,54.63,70,
409.796,54.63,54.63,70,
409.946,55.36,55.36,70,
409.946,55.36,55.36,70,
409.946,55.36,55.36,70,
410.097,55.95,55.95,70,
410.097,55.95,55.95,70,
410.097,55.95,55.95,70,
410.247,56.52,56.52,70,
410.247,56.52,56.52,70,
410.247,56.52,56.52,70,
410.397,57.03,57.03,70,39.76
410.397,57.03,57.03,70,39.76
410.397,57.03,57.03,70,39.76
410.397,57.03,57.03,70,39.76
410.546,57.54,57.54,70,
410.546,57.54,57.54,70,
410.546,57.54,57.54,70,
410.697,57.98,57.98,70,
410.697,57.98,57.98,70,
410.697,57.98,57.98,70,
410.847,58.38,58.38,70,
410.847,58.38,58.38,70,
410.847,58.38,58.38,70,
410.996,58.79,58.79,70,
410.996,58.79,58.79,70,
410.996,58.79,58.79,70,
411.148,59.16,59.16,70,
411.148,59.16,59.16,70,
411.148,59.16,59.16,70,
411.298,59.47,59.47,70,39.77
411.298,59.47,59.47,70,39.77
411.298,59.47,59.47,70,39.77
411.298,59.47,59.47,70,39.77
411.448,59.79,59.79,70,
411.448,59.79,59.79,70,
