timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,dataQLiquidStg1
1844.978,29.79,35.38,50,60,25.68
1844.978,29.79,35.38,50,60,25.68
1844.978,29.79,35.38,50,60,25.68
1844.978,29.79,35.38,50,60,25.68
1845.128,29.82,35.36,50,60,25.68
1845.128,29.82,35.36,50,60,25.68
1845.128,29.82,35.36,50,60,25.68
1845.128,29.82,35.36,50,60,25.68
1845.278,30.3,35.34,50,60,25.68
1845.278,30.3,35.34,50,60,25.68
1845.278,30.3,35.34,50,60,25.68
1845.278,30.3,35.34,50,60,25.68
1845.428,31.24,35.33,50,60,25.68
1845.428,31.24,35.33,50,60,25.68
1845.428,31.24,35.33,50,60,25.68
1845.428,31.24,35.33,50,60,25.68
1845.483,,,,,25.68
1845.579,32.52,35.33,50,60,
1845.579,32.52,35.33,50,60,
1845.579,32.52,35.33,50,60,
1845.579,32.52,35.33,50,60,
1845.728,34.27,35.35,50,60,
1845.728,34.27,35.35,50,60,
1845.728,34.27,35.35,50,60,
1845.728,34.27,35.35,50,60,
1845.879,35.55,35.36,50,60,
1845.879,35.55,35.36,50,60,
1845.879,35.55,35.36,50,60,
1845.879,35.55,35.36,50,60,
1846.028,37.54,35.4,50,60,
1846.028,37.54,35.4,50,60,
1846.028,37.54,35.4,50,60,
1846.028,37.54,35.4,50,60,
1846.178,39.25,35.44,50,60,
1846.178,39.25,35.44,50,60,
1846.178,39.25,35.44,50,60,
1846.178,39.25,35.44,50,60,
1846.328,41.1,35.49,50,60,
1846.328,41.1,35.49,50,60,
1846.328,41.1,35.49,50,60,
1846.328,41.1,35.49,50,60,
1846.478,42.76,35.55,50,60,
1846.478,42.76,35.55,50,60,
1846.478,42.76,35.55,50,60,
1846.478,42.76,35.55,50,60,
1846.518,,,,,25.68
1846.633,44.41,35.61,50,60,
1846.633,44.41,35.61,50,60,
1846.633,44.41,35.61,50,60,
1846.633,44.41,35.61,50,60,
1846.779,46.08,35.69,50,60,
1846.779,46.08,35.69,50,60,
1846.779,46.08,35.69,50,60,
1846.779,46.08,35.69,50,60,
1846.93,47.85,35.77,50,60,
1846.93,47.85,35.77,50,60,
1846.93,47.85,35.77,50,60,
1846.93,47.85,35.77,50,60,
1847.079,49.39,35.86,50,60,
1847.079,49.39,35.86,50,60,
