timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR HeatSink TempC,PCR Ramp Set TempC,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
3120.947,32.39,32.55,65.0,31.47,32.56,,,,,,,,,,,,,
3120.947,32.39,32.55,65.0,31.47,32.56,,,,,,,,,,,,,
3120.947,32.39,32.55,65.0,31.47,32.56,,,,,,,,,,,,,
3120.947,32.39,32.55,65.0,31.47,32.56,,,,,,,,,,,,,
3120.947,32.39,32.55,65.0,31.47,32.56,,,,,,,,,,,,,
3121.098,32.38,32.55,65.0,31.46,32.56,,,,,,,,,,,,,
3121.098,32.38,32.55,65.0,31.46,32.56,,,,,,,,,,,,,
3121.098,32.38,32.55,65.0,31.46,32.56,,,,,,,,,,,,,
3121.098,32.38,32.55,65.0,31.46,32.56,,,,,,,,,,,,,
3121.098,32.38,32.55,65.0,31.46,32.56,,,,,,,,,,,,,
3121.248,32.39,32.54,65.0,31.46,32.56,,,,,,,,,,,,,
3121.248,32.39,32.54,65.0,31.46,32.56,,,,,,,,,,,,,
3121.248,32.39,32.54,65.0,31.46,32.56,,,,,,,,,,,,,
3121.248,32.39,32.54,65.0,31.46,32.56,,,,,,,,,,,,,
3121.248,32.39,32.54,65.0,31.46,32.56,,,,,,,,,,,,,
3121.397,32.47,32.54,65.0,31.42,32.56,,,,,,,,,,,,,
3121.397,32.47,32.54,65.0,31.42,32.56,,,,,,,,,,,,,
3121.397,32.47,32.54,65.0,31.42,32.56,,,,,,,,,,,,,
3121.397,32.47,32.54,65.0,31.42,32.56,,,,,,,,,,,,,
3121.397,32.47,32.54,65.0,31.42,32.56,,,,,,,,,,,,,
3121.58,32.74,32.57,65.0,31.35,32.56,,,,,,,,,,,,,
3121.58,32.74,32.57,65.0,31.35,32.56,,,,,,,,,,,,,
3121.58,32.74,32.57,65.0,31.35,32.56,,,,,,,,,,,,,
3121.58,32.74,32.57,65.0,31.35,32.56,,,,,,,,,,,,,
3121.58,32.74,32.57,65.0,31.35,32.56,,,,,,,,,,,,,
3121.729,33.37,32.65,65.0,31.27,32.56,,,,,,,,,,,,,
3121.729,33.37,32.65,65.0,31.27,32.56,,,,,,,,,,,,,
3121.729,33.37,32.65,65.0,31.27,32.56,,,,,,,,,,,,,
3121.729,33.37,32.65,65.0,31.27,32.56,,,,,,,,,,,,,
3121.729,33.37,32.65,65.0,31.27,32.56,,,,,,,,,,,,,
3121.912,34.25,32.82,65.0,31.18,32.56,,,,,,,,,,,,,
3121.912,34.25,32.82,65.0,31.18,32.56,,,,,,,,,,,,,
3121.912,34.25,32.82,65.0,31.18,32.56,,,,,,,,,,,,,
3121.912,34.25,32.82,65.0,31.18,32.56,,,,,,,,,,,,,
3121.912,34.25,32.82,65.0,31.18,32.56,,,,,,,,,,,,,
3122.046,35.5,33.09,65.0,31.07,32.56,,,,,,,,,,,,,
3122.046,35.5,33.09,65.0,31.07,32.56,,,,,,,,,,,,,
3122.046,35.5,33.09,65.0,31.07,32.56,,,,,,,,,,,,,
3122.046,35.5,33.09,65.0,31.07,32.56,,,,,,,,,,,,,
3122.046,35.5,33.09,65.0,31.07,32.56,,,,,,,,,,,,,
3122.209,36.37,33.43,65.0,30.99,32.56,,,,,,,,,,,,,
3122.209,36.37,33.43,65.0,30.99,32.56,,,,,,,,,,,,,
3122.209,36.37,33.43,65.0,30.99,32.56,,,,,,,,,,,,,
3122.209,36.37,33.43,65.0,30.99,32.56,,,,,,,,,,,,,
3122.209,36.37,33.43,65.0,30.99,32.56,,,,,,,,,,,,,
3122.347,37.94,33.86,65.0,30.87,32.56,,,,,,,,,,,,,
3122.347,37.94,33.86,65.0,30.87,32.56,,,,,,,,,,,,,
3122.347,37.94,33.86,65.0,30.87,32.56,,,,,,,,,,,,,
3122.347,37.94,33.86,65.0,30.87,32.56,,,,,,,,,,,,,
3122.347,37.94,33.86,65.0,30.87,32.56,,,,,,,,,,,,,
3122.497,39.51,34.39,65.0,30.78,32.56,,,,,,,,,,,,,
3122.497,39.51,34.39,65.0,30.78,32.56,,,,,,,,,,,,,
3122.497,39.51,34.39,65.0,30.78,32.56,,,,,,,,,,,,,
3122.497,39.51,34.39,65.0,30.78,32.56,,,,,,,,,,,,,
3122.497,39.51,34.39,65.0,30.78,32.56,,,,,,,,,,,,,
3122.649,41.15,35.01,65.0,30.69,32.56,,,,,,,,,,,,,
3122.649,41.15,35.01,65.0,30.69,32.56,,,,,,,,,,,,,
3122.649,41.15,35.01,65.0,30.69,32.56,,,,,,,,,,,,,
3122.649,41.15,35.01,65.0,30.69,32.56,,,,,,,,,,,,,
3122.649,41.15,35.01,65.0,30.69,32.56,,,,,,,,,,,,,
3122.817,42.88,35.72,65.0,30.6,32.56,,,,,,,,,,,,,
3122.817,42.88,35.72,65.0,30.6,32.56,,,,,,,,,,,,,
3122.817,42.88,35.72,65.0,30.6,32.56,,,,,,,,,,,,,
3122.817,42.88,35.72,65.0,30.6,32.56,,,,,,,,,,,,,
3122.817,42.88,35.72,65.0,30.6,32.56,,,,,,,,,,,,,
3122.965,44.71,36.5,65.0,30.5,32.56,,,,,,,,,,,,,
3122.965,44.71,36.5,65.0,30.5,32.56,,,,,,,,,,,,,
3122.965,44.71,36.5,65.0,30.5,32.56,,,,,,,,,,,,,
3122.965,44.71,36.5,65.0,30.5,32.56,,,,,,,,,,,,,
3122.965,44.71,36.5,65.0,30.5,32.56,,,,,,,,,,,,,
3123.133,46.54,37.36,65.0,30.43,32.56,,,,,,,,,,,,,
3123.133,46.54,37.36,65.0,30.43,32.56,,,,,,,,,,,,,
3123.133,46.54,37.36,65.0,30.43,32.56,,,,,,,,,,,,,
3123.133,46.54,37.36,65.0,30.43,32.56,,,,,,,,,,,,,
3123.133,46.54,37.36,65.0,30.43,32.56,,,,,,,,,,,,,
3123.282,48.37,38.26,65.0,30.35,32.56,,,,,,,,,,,,,
3123.282,48.37,38.26,65.0,30.35,32.56,,,,,,,,,,,,,
3123.282,48.37,38.26,65.0,30.35,32.56,,,,,,,,,,,,,
3123.282,48.37,38.26,65.0,30.35,32.56,,,,,,,,,,,,,
3123.282,48.37,38.26,65.0,30.35,32.56,,,,,,,,,,,,,
3123.462,50.14,39.22,65.0,30.28,32.56,,,,,,,,,,,,,
3123.462,50.14,39.22,65.0,30.28,32.56,,,,,,,,,,,,,
3123.462,50.14,39.22,65.0,30.28,32.56,,,,,,,,,,,,,
3123.462,50.14,39.22,65.0,30.28,32.56,,,,,,,,,,,,,
3123.462,50.14,39.22,65.0,30.28,32.56,,,,,,,,,,,,,
3123.584,51.9,40.21,65.0,30.2,32.56,,,,,,,,,,,,,
3123.584,51.9,40.21,65.0,30.2,32.56,,,,,,,,,,,,,
