,timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink
140,3121.138,101.47,42.13,62.0,,25.47
141,3121.138,,,,35.4,
142,3121.289,101.45,42.32,62.0,,25.48
143,3121.438,101.59,42.55,62.0,,25.5
144,3121.588,101.6,42.75,62.0,,25.51
145,3121.738,101.64,42.95,62.0,,25.53
146,3121.738,,,,35.71,
147,3121.888,101.72,43.17,62.0,,25.55
148,3122.039,101.73,43.36,62.0,,25.56
149,3122.188,101.75,43.56,62.0,,25.58
150,3122.371,101.81,43.81,62.0,,25.6
151,3122.371,,,,36.02,
152,3122.519,101.82,44.0,62.0,,25.62
153,3122.67,101.84,44.19,62.0,,25.64
154,3122.819,101.88,44.39,62.0,,25.65
155,3122.969,101.92,44.59,62.0,,25.68
156,3122.969,,,,38.28,
157,3123.119,101.93,44.79,62.0,,25.7
158,3123.27,101.94,44.98,62.0,,25.71
159,3123.419,102.02,45.19,62.0,,25.74
160,3123.57,102.03,45.37,62.0,,25.76
161,3123.57,,,,38.98,
162,3123.72,102.05,45.57,62.0,,25.78
163,3123.869,102.07,45.75,62.0,,25.8
164,3124.019,102.1,45.95,62.0,,25.81
165,3124.17,102.13,46.14,62.0,,25.83
166,3124.17,,,,39.05,
167,3124.319,102.18,46.34,62.0,,25.86
168,3124.469,102.19,46.52,62.0,,25.87
169,3124.619,102.18,46.7,62.0,,25.89
170,3124.769,102.23,46.9,62.0,,25.92
171,3124.769,,,,39.37,
172,3124.919,102.24,47.08,62.0,,25.93
173,3125.071,102.27,47.27,62.0,,25.94
174,3125.221,102.34,47.47,62.0,,25.98
175,3125.369,102.34,47.65,62.0,,25.99
176,3125.369,,,,39.66,
177,3125.52,102.35,47.83,62.0,,26.01
178,3125.671,102.42,48.04,62.0,,26.03
179,3125.819,102.42,48.21,62.0,,26.05
180,3125.97,102.38,48.37,62.0,,26.06
181,3125.97,,,,40.08,
182,3126.119,102.45,48.57,62.0,,26.09
183,3126.269,102.47,48.75,62.0,,26.1
184,3126.42,102.5,48.94,62.0,,26.13
185,3126.57,102.5,49.11,62.0,,26.15
186,3126.577,,,,40.79,
187,3126.721,102.53,49.29,62.0,,26.17
188,3126.869,102.52,49.46,62.0,,26.19
189,3127.021,102.57,49.65,62.0,,26.21
190,3127.17,102.56,49.82,62.0,,26.23
191,3127.17,,,,41.15,
192,3127.32,102.59,50.0,62.0,,26.24
193,3127.47,102.63,50.18,62.0,,26.27
194,3127.62,102.62,50.34,62.0,,26.28
195,3127.77,102.66,50.53,62.0,,26.3
196,3127.77,,,,41.43,
197,3127.919,102.7,50.71,62.0,,26.33
198,3128.069,102.72,50.89,62.0,,26.34
199,3128.22,102.74,51.06,62.0,,26.36
200,3128.37,102.76,51.23,62.0,,26.39
201,3128.37,,,,41.91,
202,3128.519,102.73,51.39,62.0,,26.4
203,3128.67,102.77,51.57,62.0,,26.42
204,3128.82,102.76,51.73,62.0,,26.45
205,3128.969,102.77,51.9,62.0,,26.47
206,3128.969,,,,42.41,
207,3129.122,102.78,52.06,62.0,,26.48
208,3129.269,102.79,52.23,62.0,,26.51
209,3129.419,102.83,52.4,62.0,,26.53
210,3129.569,102.83,52.56,62.0,,26.55
211,3129.569,,,,42.84,
212,3129.719,102.89,52.75,62.0,,26.57
213,3129.869,102.9,52.92,62.0,,26.6
214,3130.02,102.91,53.08,62.0,,26.61
215,3130.169,102.94,53.25,62.0,,26.64
216,3130.169,,,,43.28,
217,3130.319,102.93,53.4,62.0,,26.66
218,3130.469,102.98,53.58,62.0,,26.67
219,3130.619,102.95,53.73,62.0,,26.7
220,3130.619,,,,43.68,
221,3130.769,102.97,53.89,62.0,,26.71
222,3130.919,102.99,54.05,62.0,,26.73
223,3131.07,102.96,54.2,62.0,,26.75
224,3131.219,103.0,54.37,62.0,,26.77
225,3131.219,,,,44.04,
226,3131.385,102.98,54.53,62.0,,26.79
227,3131.536,102.99,54.69,62.0,,26.82
228,3131.685,103.01,54.83,62.0,,26.84
229,3131.835,103.03,54.97,62.0,,26.86
230,3131.835,,,,44.37,
231,3131.985,103.06,55.11,62.0,,26.87
232,3132.135,103.03,55.25,62.0,,26.91
233,3132.285,103.06,55.39,62.0,,26.93
234,3132.437,103.08,55.53,62.0,,26.94
235,3132.437,,,,44.8,
236,3132.585,103.08,55.67,62.0,,26.97
237,3132.735,103.09,55.81,62.0,,26.98
238,3132.885,103.12,55.95,62.0,,27.0
239,3133.035,103.1,56.09,62.0,,27.02
240,3133.035,,,,45.13,
241,3133.187,103.14,56.22,62.0,,27.04
242,3133.335,103.16,56.36,62.0,,27.06
243,3133.485,103.19,56.49,62.0,,27.08
244,3133.637,103.22,56.63,62.0,,27.1
245,3133.637,,,,45.66,
246,3133.785,103.18,56.77,62.0,,27.11
247,3133.935,103.23,56.9,62.0,,27.15
248,3134.085,103.23,57.03,62.0,,27.16
249,3134.237,103.23,57.17,62.0,,27.18
250,3134.237,,,,45.99,
251,3134.387,103.24,57.3,62.0,,27.2
252,3134.535,103.26,57.43,62.0,,27.21
253,3134.685,103.28,57.57,62.0,,27.23
254,3134.835,103.3,57.7,62.0,,27.25
255,3134.835,,,,46.31,
256,3134.987,103.33,57.83,62.0,,27.27
257,3135.135,103.31,57.96,62.0,,27.28
258,3135.285,103.35,58.09,62.0,,27.31
259,3135.435,103.35,58.22,62.0,,27.33
260,3135.49,,,,46.71,
261,3135.585,103.35,58.35,62.0,,27.35
262,3135.736,103.32,58.48,62.0,,27.37
263,3135.885,103.36,58.61,62.0,,27.4
264,3136.035,103.35,58.74,62.0,,27.41
265,3136.035,,,,47.07,
266,3136.187,103.38,58.87,62.0,,27.44
267,3136.335,103.39,59.0,62.0,,27.45
268,3136.485,103.35,59.12,62.0,,27.47
269,3136.636,103.37,59.25,62.0,,27.49
270,3136.636,,,,47.51,
271,3136.785,103.37,59.38,62.0,,27.5
272,3136.935,103.39,59.5,62.0,,27.53
273,3137.087,103.41,59.63,62.0,,27.55
274,3137.235,103.4,59.75,62.0,,27.57
275,3137.235,,,,47.81,
276,3137.385,103.42,59.88,62.0,,27.59
277,3137.537,103.42,60.0,62.0,,27.6
278,3137.687,103.43,60.13,62.0,,27.62
279,3137.837,103.45,60.25,62.0,,27.64
280,3137.837,,,,48.18,
281,3137.985,103.44,60.37,62.0,,27.66
282,3138.135,103.48,60.5,62.0,,27.68
283,3138.285,103.49,60.62,62.0,,27.7
284,3138.435,103.41,60.74,62.0,,27.73
285,3138.435,,,,48.51,
286,3138.585,103.21,60.86,62.0,,27.78
287,3138.735,102.73,60.98,62.0,,27.86
288,3138.885,101.77,61.09,62.0,,28.03
289,3139.035,100.85,61.21,62.0,,28.19
290,3139.035,,,,48.9,
291,3139.185,99.81,61.31,62.0,,28.39
292,3139.335,98.29,61.42,62.0,,28.68
293,3139.485,97.12,61.51,62.0,,28.91
294,3139.635,95.91,61.61,62.0,,29.14
295,3139.635,,,,49.16,
296,3139.785,94.24,61.69,62.0,,29.47
297,3139.936,93.03,61.77,62.0,,29.72
298,3140.085,91.83,61.85,62.0,,29.98
299,3140.235,90.2,61.92,62.0,,30.34
300,3140.235,,,,49.57,
301,3140.385,89.01,61.99,62.0,,30.6
