timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Output,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR HeatSink TempC,PCR Output,Stage1 Error Time Ms,PCR Error Time Ms,PCR Target Rate,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
378.633,33.2,24.0,62.0,,33.0,100.0,,,,,,50.0,,,,,,,,,,,,,,,
378.633,33.2,24.0,62.0,,33.0,100.0,,,,,,50.0,,,,,,,,,,,,,,,
378.633,33.2,24.0,62.0,,33.0,100.0,,,,,,50.0,,,,,,,,,,,,,,,
378.633,33.2,24.0,62.0,,33.0,100.0,,,,,,50.0,,,,,,,,,,,,,,,
378.633,33.2,24.0,62.0,,33.0,100.0,,,,,,50.0,,,,,,,,,,,,,,,
378.633,33.2,24.0,62.0,,33.0,100.0,,,,,,50.0,,,,,,,,,,,,,,,
378.674,,,,32.02,,,,,,,,,,,,,,,,,,,,,,,
378.799,33.2,24.0,62.0,,33.0,100.0,,,,,,200.0,,,,,,,,,,,,,,,
378.799,33.2,24.0,62.0,,33.0,100.0,,,,,,200.0,,,,,,,,,,,,,,,
378.799,33.2,24.0,62.0,,33.0,100.0,,,,,,200.0,,,,,,,,,,,,,,,
378.799,33.2,24.0,62.0,,33.0,100.0,,,,,,200.0,,,,,,,,,,,,,,,
378.799,33.2,24.0,62.0,,33.0,100.0,,,,,,200.0,,,,,,,,,,,,,,,
378.799,33.2,24.0,62.0,,33.0,100.0,,,,,,200.0,,,,,,,,,,,,,,,
378.948,33.24,24.0,62.0,,32.99,100.0,,,,,,350.0,,,,,,,,,,,,,,,
378.948,33.24,24.0,62.0,,32.99,100.0,,,,,,350.0,,,,,,,,,,,,,,,
378.948,33.24,24.0,62.0,,32.99,100.0,,,,,,350.0,,,,,,,,,,,,,,,
378.948,33.24,24.0,62.0,,32.99,100.0,,,,,,350.0,,,,,,,,,,,,,,,
378.948,33.24,24.0,62.0,,32.99,100.0,,,,,,350.0,,,,,,,,,,,,,,,
