timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Output,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR HeatSink TempC,PCR Ramp Set TempC,PCR Output,Stage1 Error Time Ms,PCR Error Time Ms,PCR Target Rate,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
11435.899,28.14,24.0,62.0,25.3,28.15,100.0,,,,,,,100.0,,,,,,,,,,,,,,,
11435.899,28.14,24.0,62.0,25.3,28.15,100.0,,,,,,,100.0,,,,,,,,,,,,,,,
11435.899,28.14,24.0,62.0,25.3,28.15,100.0,,,,,,,100.0,,,,,,,,,,,,,,,
11435.899,28.14,24.0,62.0,25.3,28.15,100.0,,,,,,,100.0,,,,,,,,,,,,,,,
11435.899,28.14,24.0,62.0,25.3,28.15,100.0,,,,,,,100.0,,,,,,,,,,,,,,,
11435.899,28.14,24.0,62.0,25.3,28.15,100.0,,,,,,,100.0,,,,,,,,,,,,,,,
11435.899,28.14,24.0,62.0,25.3,28.15,100.0,,,,,,,100.0,,,,,,,,,,,,,,,
11436.049,28.14,24.0,62.0,,28.15,100.0,,,,,,,250.0,,,,,,,,,,,,,,,
11436.049,28.14,24.0,62.0,,28.15,100.0,,,,,,,250.0,,,,,,,,,,,,,,,
11436.049,28.14,24.0,62.0,,28.15,100.0,,,,,,,250.0,,,,,,,,,,,,,,,
11436.049,28.14,24.0,62.0,,28.15,100.0,,,,,,,250.0,,,,,,,,,,,,,,,
11436.049,28.14,24.0,62.0,,28.15,100.0,,,,,,,250.0,,,,,,,,,,,,,,,
11436.049,28.14,24.0,62.0,,28.15,100.0,,,,,,,250.0,,,,,,,,,,,,,,,
11436.199,28.31,24.0,62.0,,28.14,100.0,,,,,,,400.0,,,,,,,,,,,,,,,
11436.199,28.31,24.0,62.0,,28.14,100.0,,,,,,,400.0,,,,,,,,,,,,,,,
11436.199,28.31,24.0,62.0,,28.14,100.0,,,,,,,400.0,,,,,,,,,,,,,,,
11436.199,28.31,24.0,62.0,,28.14,100.0,,,,,,,400.0,,,,,,,,,,,,,,,
11436.199,28.31,24.0,62.0,,28.14,100.0,,,,,,,400.0,,,,,,,,,,,,,,,
11436.199,28.31,24.0,62.0,,28.14,100.0,,,,,,,400.0,,,,,,,,,,,,,,,
11436.349,28.7,24.0,62.0,,28.12,100.0,,,,,,,550.0,,,,,,,,,,,,,,,
