timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Output,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR HeatSink TempC,PCR Ramp Set TempC,PCR Output,Stage1 Error Time Ms,PCR Error Time Ms,PCR Target Rate,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
8372.893,28.37,24.0,62.0,,28.59,100.0,,,,,,,100.0,,,,,,,,,,,,,,,
8372.893,28.37,24.0,62.0,,28.59,100.0,,,,,,,100.0,,,,,,,,,,,,,,,
8372.893,28.37,24.0,62.0,,28.59,100.0,,,,,,,100.0,,,,,,,,,,,,,,,
8372.893,28.37,24.0,62.0,,28.59,100.0,,,,,,,100.0,,,,,,,,,,,,,,,
8372.893,28.37,24.0,62.0,,28.59,100.0,,,,,,,100.0,,,,,,,,,,,,,,,
8372.893,28.37,24.0,62.0,,28.59,100.0,,,,,,,100.0,,,,,,,,,,,,,,,
8373.043,28.37,24.0,62.0,,28.57,100.0,,,,,,,250.0,,,,,,,,,,,,,,,
8373.043,28.37,24.0,62.0,,28.57,100.0,,,,,,,250.0,,,,,,,,,,,,,,,
8373.043,28.37,24.0,62.0,,28.57,100.0,,,,,,,250.0,,,,,,,,,,,,,,,
8373.043,28.37,24.0,62.0,,28.57,100.0,,,,,,,250.0,,,,,,,,,,,,,,,
8373.043,28.37,24.0,62.0,,28.57,100.0,,,,,,,250.0,,,,,,,,,,,,,,,
8373.043,28.37,24.0,62.0,,28.57,100.0,,,,,,,250.0,,,,,,,,,,,,,,,
8373.193,28.59,24.0,62.0,24.73,28.56,100.0,,,,,,,400.0,,,,,,,,,,,,,,,
8373.193,28.59,24.0,62.0,24.73,28.56,100.0,,,,,,,400.0,,,,,,,,,,,,,,,
8373.193,28.59,24.0,62.0,24.73,28.56,100.0,,,,,,,400.0,,,,,,,,,,,,,,,
8373.193,28.59,24.0,62.0,24.73,28.56,100.0,,,,,,,400.0,,,,,,,,,,,,,,,
8373.193,28.59,24.0,62.0,24.73,28.56,100.0,,,,,,,400.0,,,,,,,,,,,,,,,
8373.193,28.59,24.0,62.0,24.73,28.56,100.0,,,,,,,400.0,,,,,,,,,,,,,,,
8373.193,28.59,24.0,62.0,24.73,28.56,100.0,,,,,,,400.0,,,,,,,,,,,,,,,
8373.343,29.07,24.0,62.0,,28.54,100.0,,,,,,,550.0,,,,,,,,,,,,,,,
8373.343,29.07,24.0,62.0,,28.54,100.0,,,,,,,550.0,,,,,,,,,,,,,,,
8373.343,29.07,24.0,62.0,,28.54,100.0,,,,,,,550.0,,,,,,,,,,,,,,,
8373.343,29.07,24.0,62.0,,28.54,100.0,,,,,,,550.0,,,,,,,,,,,,,,,
8373.343,29.07,24.0,62.0,,28.54,100.0,,,,,,,550.0,,,,,,,,,,,,,,,
8373.343,29.07,24.0,62.0,,28.54,100.0,,,,,,,550.0,,,,,,,,,,,,,,,
8373.493,29.88,24.0,62.0,,28.51,100.0,,,,,,,700.0,,,,,,,,,,,,,,,
8373.493,29.88,24.0,62.0,,28.51,100.0,,,,,,,700.0,,,,,,,,,,,,,,,
8373.493,29.88,24.0,62.0,,28.51,100.0,,,,,,,700.0,,,,,,,,,,,,,,,
8373.493,29.88,24.0,62.0,,28.51,100.0,,,,,,,700.0,,,,,,,,,,,,,,,
8373.493,29.88,24.0,62.0,,28.51,100.0,,,,,,,700.0,,,,,,,,,,,,,,,
8373.493,29.88,24.0,62.0,,28.51,100.0,,,,,,,700.0,,,,,,,,,,,,,,,
8373.643,31.29,24.0,62.0,,28.44,100.0,,,,,,,850.0,,,,,,,,,,,,,,,
8373.643,31.29,24.0,62.0,,28.44,100.0,,,,,,,850.0,,,,,,,,,,,,,,,
8373.643,31.29,24.0,62.0,,28.44,100.0,,,,,,,850.0,,,,,,,,,,,,,,,
8373.643,31.29,24.0,62.0,,28.44,100.0,,,,,,,850.0,,,,,,,,,,,,,,,
8373.643,31.29,24.0,62.0,,28.44,100.0,,,,,,,850.0,,,,,,,,,,,,,,,
8373.643,31.29,24.0,62.0,,28.44,100.0,,,,,,,850.0,,,,,,,,,,,,,,,
8373.793,32.49,24.0,62.0,24.73,28.37,100.0,,,,,,,1000.0,,,,,,,,,,,,,,,
8373.793,32.49,24.0,62.0,24.73,28.37,100.0,,,,,,,1000.0,,,,,,,,,,,,,,,
8373.793,32.49,24.0,62.0,24.73,28.37,100.0,,,,,,,1000.0,,,,,,,,,,,,,,,
