timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Output,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC,PCR Output,Stage1 Error Time Ms,PCR Error Time Ms,PCR Target Rate,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
2916.911,64.6,24,62,,32.3,100,,,,,,,4350,,,,,,,,,,,,,,,
2916.911,64.6,24,62,,32.3,100,,,,,,,4350,,,,,,,,,,,,,,,
2916.911,64.6,24,62,,32.3,100,,,,,,,4350,,,,,,,,,,,,,,,
2917.061,65.91,24,62,,32.24,100,,,,,,,4500,,,,,,,,,,,,,,,
2917.061,65.91,24,62,,32.24,100,,,,,,,4500,,,,,,,,,,,,,,,
2917.061,65.91,24,62,,32.24,100,,,,,,,4500,,,,,,,,,,,,,,,
2917.061,65.91,24,62,,32.24,100,,,,,,,4500,,,,,,,,,,,,,,,
2917.061,65.91,24,62,,32.24,100,,,,,,,4500,,,,,,,,,,,,,,,
2917.061,65.91,24,62,,32.24,100,,,,,,,4500,,,,,,,,,,,,,,,
2917.211,66.87,24,62,,32.19,100,,,,,,,4650,,,,,,,,,,,,,,,
2917.211,66.87,24,62,,32.19,100,,,,,,,4650,,,,,,,,,,,,,,,
2917.211,66.87,24,62,,32.19,100,,,,,,,4650,,,,,,,,,,,,,,,
2917.211,66.87,24,62,,32.19,100,,,,,,,4650,,,,,,,,,,,,,,,
2917.211,66.87,24,62,,32.19,100,,,,,,,4650,,,,,,,,,,,,,,,
2917.211,66.87,24,62,,32.19,100,,,,,,,4650,,,,,,,,,,,,,,,
2917.361,67.82,24,62,25.07,32.14,100,,,,,,,4800,,,,,,,,,,,,,,,
2917.361,67.82,24,62,25.07,32.14,100,,,,,,,4800,,,,,,,,,,,,,,,
2917.361,67.82,24,62,25.07,32.14,100,,,,,,,4800,,,,,,,,,,,,,,,
2917.361,67.82,24,62,25.07,32.14,100,,,,,,,4800,,,,,,,,,,,,,,,
2917.361,67.82,24,62,25.07,32.14,100,,,,,,,4800,,,,,,,,,,,,,,,
2917.361,67.82,24,62,25.07,32.14,100,,,,,,,4800,,,,,,,,,,,,,,,
2917.361,67.82,24,62,25.07,32.14,100,,,,,,,4800,,,,,,,,,,,,,,,
2917.511,69.06,24.08,62,,32.09,100,,,,,,,4950,,,,,,,,,,,,,,,
2917.511,69.06,24.08,62,,32.09,100,,,,,,,4950,,,,,,,,,,,,,,,
2917.511,69.06,24.08,62,,32.09,100,,,,,,,4950,,,,,,,,,,,,,,,
2917.511,69.06,24.08,62,,32.09,100,,,,,,,4950,,,,,,,,,,,,,,,
2917.511,69.06,24.08,62,,32.09,100,,,,,,,4950,,,,,,,,,,,,,,,
2917.511,69.06,24.08,62,,32.09,100,,,,,,,4950,,,,,,,,,,,,,,,
2917.661,69.98,24.23,62,,32.05,100,,,,,,,5100,,,,,,,,,,,,,,,
2917.661,69.98,24.23,62,,32.05,100,,,,,,,5100,,,,,,,,,,,,,,,
2917.661,69.98,24.23,62,,32.05,100,,,,,,,5100,,,,,,,,,,,,,,,
2917.661,69.98,24.23,62,,32.05,100,,,,,,,5100,,,,,,,,,,,,,,,
2917.661,69.98,24.23,62,,32.05,100,,,,,,,5100,,,,,,,,,,,,,,,
2917.661,69.98,24.23,62,,32.05,100,,,,,,,5100,,,,,,,,,,,,,,,
2917.811,70.87,24.39,62,,32.01,100,,,,,,,5250,,,,,,,,,,,,,,,
2917.811,70.87,24.39,62,,32.01,100,,,,,,,5250,,,,,,,,,,,,,,,
2917.811,70.87,24.39,62,,32.01,100,,,,,,,5250,,,,,,,,,,,,,,,
2917.811,70.87,24.39,62,,32.01,100,,,,,,,5250,,,,,,,,,,,,,,,
2917.811,70.87,24.39,62,,32.01,100,,,,,,,5250,,,,,,,,,,,,,,,
2917.811,70.87,24.39,62,,32.01,100,,,,,,,5250,,,,,,,,,,,,,,,
2917.961,72.06,24.55,62,,31.95,100,,,,,,,5400,,,,,,,,,,,,,,,
2917.961,72.06,24.55,62,,31.95,100,,,,,,,5400,,,,,,,,,,,,,,,
2917.961,72.06,24.55,62,,31.95,100,,,,,,,5400,,,,,,,,,,,,,,,
2917.961,72.06,24.55,62,,31.95,100,,,,,,,5400,,,,,,,,,,,,,,,
2917.961,72.06,24.55,62,,31.95,100,,,,,,,5400,,,,,,,,,,,,,,,
2917.961,72.06,24.55,62,,31.95,100,,,,,,,5400,,,,,,,,,,,,,,,
2918.028,,,,25.31,,,,,,,,,,,,,,,,,,,,,,,,
2918.111,72.95,24.72,62,,31.92,100,,,,,,,5550,,,,,,,,,,,,,,,
2918.111,72.95,24.72,62,,31.92,100,,,,,,,5550,,,,,,,,,,,,,,,
2918.111,72.95,24.72,62,,31.92,100,,,,,,,5550,,,,,,,,,,,,,,,
2918.111,72.95,24.72,62,,31.92,100,,,,,,,5550,,,,,,,,,,,,,,,
2918.111,72.95,24.72,62,,31.92,100,,,,,,,5550,,,,,,,,,,,,,,,
2918.111,72.95,24.72,62,,31.92,100,,,,,,,5550,,,,,,,,,,,,,,,
2918.261,73.8,24.89,62,,31.88,100,,,,,,,5700,,,,,,,,,,,,,,,
2918.261,73.8,24.89,62,,31.88,100,,,,,,,5700,,,,,,,,,,,,,,,
2918.261,73.8,24.89,62,,31.88,100,,,,,,,5700,,,,,,,,,,,,,,,
2918.261,73.8,24.89,62,,31.88,100,,,,,,,5700,,,,,,,,,,,,,,,
2918.261,73.8,24.89,62,,31.88,100,,,,,,,5700,,,,,,,,,,,,,,,
2918.261,73.8,24.89,62,,31.88,100,,,,,,,5700,,,,,,,,,,,,,,,
2918.411,74.91,25.07,62,,31.83,100,,,,,,,5850,,,,,,,,,,,,,,,
2918.411,74.91,25.07,62,,31.83,100,,,,,,,5850,,,,,,,,,,,,,,,
2918.411,74.91,25.07,62,,31.83,100,,,,,,,5850,,,,,,,,,,,,,,,
2918.411,74.91,25.07,62,,31.83,100,,,,,,,5850,,,,,,,,,,,,,,,
