timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink
440.114,19.9,24,0,62,20.01,19.79
440.114,19.9,24,0,62,20.01,19.79
440.114,19.9,24,0,62,20.01,19.79
440.114,19.9,24,0,62,20.01,19.79
440.114,19.9,24,0,62,20.01,19.79
440.114,19.9,24,0,62,20.01,19.79
440.114,19.9,24,0,62,20.01,19.79
440.114,19.9,24,0,62,20.01,19.79
440.26,19.91,24,0,62,,19.79
440.26,19.91,24,0,62,,19.79
440.26,19.91,24,0,62,,19.79
440.26,19.91,24,0,62,,19.79
440.26,19.91,24,0,62,,19.79
440.26,19.91,24,0,62,,19.79
440.26,19.91,24,0,62,,19.79
440.41,19.99,24,0,62,,19.79
440.41,19.99,24,0,62,,19.79
440.41,19.99,24,0,62,,19.79
440.41,19.99,24,0,62,,19.79
440.41,19.99,24,0,62,,19.79
440.41,19.99,24,0,62,,19.79
440.41,19.99,24,0,62,,19.79
440.565,20.28,24,0,62,,19.78
440.565,20.28,24,0,62,,19.78
440.565,20.28,24,0,62,,19.78
440.565,20.28,24,0,62,,19.78
440.565,20.28,24,0,62,,19.78
440.565,20.28,24,0,62,,19.78
440.565,20.28,24,0,62,,19.78
440.71,21,24,0,62,19.95,19.75
440.71,21,24,0,62,19.95,19.75
440.71,21,24,0,62,19.95,19.75
440.71,21,24,0,62,19.95,19.75
440.71,21,24,0,62,19.95,19.75
440.71,21,24,0,62,19.95,19.75
440.71,21,24,0,62,19.95,19.75
440.71,21,24,0,62,19.95,19.75
440.86,21.74,24,0,62,,19.71
440.86,21.74,24,0,62,,19.71
440.86,21.74,24,0,62,,19.71
440.86,21.74,24,0,62,,19.71
440.86,21.74,24,0,62,,19.71
440.86,21.74,24,0,62,,19.71
440.86,21.74,24,0,62,,19.71
441.015,22.63,24,0,62,,19.67
441.015,22.63,24,0,62,,19.67
441.015,22.63,24,0,62,,19.67
441.015,22.63,24,0,62,,19.67
441.015,22.63,24,0,62,,19.67
441.015,22.63,24,0,62,,19.67
441.015,22.63,24,0,62,,19.67
441.064,,,,,,
441.064,,,,,,
441.064,,,,,,
441.064,,,,,,
441.064,,,,,,
441.064,,,,,,
441.064,,,,,,
441.064,,,,,,
441.064,,,,,,
441.064,,,,,,
441.064,,,,,,
441.064,,,,,,
441.064,,,,,,
441.16,23.96,24,0,62,,19.6
441.16,23.96,24,0,62,,19.6
441.16,23.96,24,0,62,,19.6
441.16,23.96,24,0,62,,19.6
441.16,23.96,24,0,62,,19.6
441.16,23.96,24,0,62,,19.6
441.16,23.96,24,0,62,,19.6
441.31,25.06,24,0,62,19.99,19.56
441.31,25.06,24,0,62,19.99,19.56
441.31,25.06,24,0,62,19.99,19.56
441.31,25.06,24,0,62,19.99,19.56
441.31,25.06,24,0,62,19.99,19.56
441.31,25.06,24,0,62,19.99,19.56
441.31,25.06,24,0,62,19.99,19.56
441.31,25.06,24,0,62,19.99,19.56
441.465,26.19,24,0,62,,19.5
441.465,26.19,24,0,62,,19.5
441.465,26.19,24,0,62,,19.5
441.465,26.19,24,0,62,,19.5
441.465,26.19,24,0,62,,19.5
441.465,26.19,24,0,62,,19.5
441.465,26.19,24,0,62,,19.5
441.611,27.72,24,0,62,,19.43
441.611,27.72,24,0,62,,19.43
441.611,27.72,24,0,62,,19.43
441.611,27.72,24,0,62,,19.43
441.611,27.72,24,0,62,,19.43
441.611,27.72,24,0,62,,19.43
441.611,27.72,24,0,62,,19.43
441.76,28.89,24,0,62,,19.37
441.76,28.89,24,0,62,,19.37
441.76,28.89,24,0,62,,19.37
441.76,28.89,24,0,62,,19.37
441.76,28.89,24,0,62,,19.37
441.76,28.89,24,0,62,,19.37
441.76,28.89,24,0,62,,19.37
441.915,30.07,24,0,62,20,19.31
441.915,30.07,24,0,62,20,19.31
441.915,30.07,24,0,62,20,19.31
441.915,30.07,24,0,62,20,19.31
441.915,30.07,24,0,62,20,19.31
441.915,30.07,24,0,62,20,19.31
441.915,30.07,24,0,62,20,19.31
441.915,30.07,24,0,62,20,19.31
442.06,31.65,24,0,62,,19.24
442.06,31.65,24,0,62,,19.24
442.06,31.65,24,0,62,,19.24
442.06,31.65,24,0,62,,19.24
442.06,31.65,24,0,62,,19.24
442.06,31.65,24,0,62,,19.24
442.06,31.65,24,0,62,,19.24
442.163,,,,,,
442.163,,,,,,
442.163,,,,,,
442.163,,,,,,
442.163,,,,,,
442.163,,,,,,
442.163,,,,,,
442.163,,,,,,
442.163,,,,,,
442.163,,,,,,
442.163,,,,,,
442.163,,,,,,
442.163,,,,,,
442.21,32.81,24,0,62,,19.19
442.21,32.81,24,0,62,,19.19
442.21,32.81,24,0,62,,19.19
442.21,32.81,24,0,62,,19.19
442.21,32.81,24,0,62,,19.19
442.21,32.81,24,0,62,,19.19
442.21,32.81,24,0,62,,19.19
442.365,33.99,24,0,62,,19.13
442.365,33.99,24,0,62,,19.13
442.365,33.99,24,0,62,,19.13
442.365,33.99,24,0,62,,19.13
442.365,33.99,24,0,62,,19.13
442.365,33.99,24,0,62,,19.13
442.365,33.99,24,0,62,,19.13
442.511,35.53,24,0,62,19.95,19.06
442.511,35.53,24,0,62,19.95,19.06
442.511,35.53,24,0,62,19.95,19.06
442.511,35.53,24,0,62,19.95,19.06
442.511,35.53,24,0,62,19.95,19.06
442.511,35.53,24,0,62,19.95,19.06
442.511,35.53,24,0,62,19.95,19.06
442.511,35.53,24,0,62,19.95,19.06
442.66,36.67,24,0,62,,19.01
442.66,36.67,24,0,62,,19.01
442.66,36.67,24,0,62,,19.01
442.66,36.67,24,0,62,,19.01
442.66,36.67,24,0,62,,19.01
442.66,36.67,24,0,62,,19.01
442.66,36.67,24,0,62,,19.01
442.815,37.8,24,0,62,,18.96
442.815,37.8,24,0,62,,18.96
442.815,37.8,24,0,62,,18.96
442.815,37.8,24,0,62,,18.96
442.815,37.8,24,0,62,,18.96
442.815,37.8,24,0,62,,18.96
442.815,37.8,24,0,62,,18.96
442.96,39.27,24,0,62,,18.9
442.96,39.27,24,0,62,,18.9
442.96,39.27,24,0,62,,18.9
442.96,39.27,24,0,62,,18.9
442.96,39.27,24,0,62,,18.9
442.96,39.27,24,0,62,,18.9
442.96,39.27,24,0,62,,18.9
443.11,40.37,24,0,62,20.04,18.85
443.11,40.37,24,0,62,20.04,18.85
443.11,40.37,24,0,62,20.04,18.85
443.11,40.37,24,0,62,20.04,18.85
443.11,40.37,24,0,62,20.04,18.85
443.11,40.37,24,0,62,20.04,18.85
443.11,40.37,24,0,62,20.04,18.85
443.11,40.37,24,0,62,20.04,18.85
443.265,41.45,24,0,62,,18.8
443.265,41.45,24,0,62,,18.8
443.265,41.45,24,0,62,,18.8
443.265,41.45,24,0,62,,18.8
443.265,41.45,24,0,62,,18.8
443.265,41.45,24,0,62,,18.8
443.265,41.45,24,0,62,,18.8
443.272,,,,,,
443.272,,,,,,
443.272,,,,,,
443.272,,,,,,
443.272,,,,,,
443.272,,,,,,
443.272,,,,,,
443.272,,,,,,
443.272,,,,,,
443.272,,,,,,
443.272,,,,,,
443.272,,,,,,
443.272,,,,,,
443.411,42.84,24,0,62,,18.73
443.411,42.84,24,0,62,,18.73
443.411,42.84,24,0,62,,18.73
443.411,42.84,24,0,62,,18.73
443.411,42.84,24,0,62,,18.73
443.411,42.84,24,0,62,,18.73
443.411,42.84,24,0,62,,18.73
443.56,43.86,24,0,62,,18.68
443.56,43.86,24,0,62,,18.68
443.56,43.86,24,0,62,,18.68
443.56,43.86,24,0,62,,18.68
443.56,43.86,24,0,62,,18.68
443.56,43.86,24,0,62,,18.68
443.56,43.86,24,0,62,,18.68
443.715,44.87,24,0,62,19.98,18.63
443.715,44.87,24,0,62,19.98,18.63
443.715,44.87,24,0,62,19.98,18.63
443.715,44.87,24,0,62,19.98,18.63
443.715,44.87,24,0,62,19.98,18.63
443.715,44.87,24,0,62,19.98,18.63
443.715,44.87,24,0,62,19.98,18.63
443.715,44.87,24,0,62,19.98,18.63
443.92,46.2,24,0,62,,18.58
443.92,46.2,24,0,62,,18.58
443.92,46.2,24,0,62,,18.58
443.92,46.2,24,0,62,,18.58
443.92,46.2,24,0,62,,18.58
443.92,46.2,24,0,62,,18.58
443.92,46.2,24,0,62,,18.58
444.048,47.44,24,0,62,,18.53
444.048,47.44,24,0,62,,18.53
444.048,47.44,24,0,62,,18.53
444.048,47.44,24,0,62,,18.53
444.048,47.44,24,0,62,,18.53
444.048,47.44,24,0,62,,18.53
444.048,47.44,24,0,62,,18.53
444.198,48.5,24,0,62,,18.48
444.198,48.5,24,0,62,,18.48
444.198,48.5,24,0,62,,18.48
444.198,48.5,24,0,62,,18.48
444.198,48.5,24,0,62,,18.48
444.198,48.5,24,0,62,,18.48
444.198,48.5,24,0,62,,18.48
444.352,49.46,24,0,62,,18.44
444.352,49.46,24,0,62,,18.44
444.352,49.46,24,0,62,,18.44
444.352,49.46,24,0,62,,18.44
444.352,49.46,24,0,62,,18.44
444.352,49.46,24,0,62,,18.44
444.352,49.46,24,0,62,,18.44
444.401,,,,,19.99,
444.401,,,,,19.99,
444.401,,,,,19.99,
444.401,,,,,19.99,
444.401,,,,,19.99,
444.401,,,,,19.99,
