Index	Text	1: Sample 1	2: Sample 2	3: Sample 3	4: Sample 4
0	1	5.42153024673462	5.69466686248779	5.1606011390686	5.25978469848633
1	2	5.45204830169678	5.7328143119812	5.23842239379883	5.32387256622314
2	3	5.50392913818359	5.81826496124268	5.32234668731689	5.38948631286621
3	4	5.56954288482666	5.88540458679199	5.38490867614746	5.43526363372803
4	5	5.61532020568848	5.94644069671631	5.42763423919678	5.49019622802734
5	6	5.67177820205688	5.96932935714722	5.47798871994019	5.5329213142395
6	7	5.74654769897461	6.05478000640869	5.54665422439575	5.60006093978882
7	8	5.79690265655518	6.11581611633301	5.60158681869507	5.64583826065063
8	9	5.86709403991699	6.17685222625732	5.66720056533814	5.68093395233154
9	10	5.88998222351074	6.20279216766357	5.7084002494812	5.71602964401245
10	11	5.98916625976563	6.29892444610596	5.78469514846802	5.77553987503052
11	12	5.97390699386597	6.2928204536438	5.77859163284302	5.78469514846802
12	13	6.01663255691528	6.33249425888062	5.82589435577393	5.80605792999268
13	14	6.07003879547119	6.37827110290527	5.87930107116699	5.83352422714233
14	15	6.0837721824646	6.40878915786743	5.88693046569824	5.85641241073608
15	16	6.11276435852051	6.42404842376709	5.9052414894104	5.87472343444824
16	17	6.12954902648926	6.43625545501709	5.9205002784729	5.88540458679199
17	18	6.18448162078857	6.50492095947266	5.98611450195313	5.95712232589722
18	19	6.20584440231323	6.50797271728516	5.99679565429688	5.94491481781006
19	20	6.24246597290039	6.52170610427856	6.02883958816528	5.99679565429688
20	21	6.28519105911255	6.55832767486572	6.03036546707153	6.00747680664062
21	22	6.26230239868164	6.49729156494141	6.02731370925903	6.01815843582153
22	23	6.31418323516846	6.53086137771606	6.04409837722778	6.04257249832153
23	24	6.32944250106812	6.55069828033447	6.04409837722778	6.0837721824646
24	25	6.31723499298096	6.51560211181641	6.01968431472778	6.11581611633301
25	26	6.32639026641846	6.49729156494141	5.99221801757812	6.12954902648926
26	27	6.39810800552368	6.53849077224731	6.03036546707153	6.23025846481323
27	28	6.34164953231812	6.4805064201355	5.96475172042847	6.28519105911255
28	29	6.41184091567993	6.52323198318481	6.02121019363403	6.51407623291016
29	30	6.40421152114868	6.49118804931641	6.02121019363403	6.79789447784424
30	31	6.41794443130493	6.47898054122925	6.07003879547119	7.32738208770752
31	32	6.44693660736084	6.50644683837891	6.16922235488892	8.2169828414917
32	33	6.46066999435425	6.52018022537231	6.31265735626221	9.71847057342529
33	34	6.45304012298584	6.53849077224731	6.57053470611572	12.1828031539917
34	35	6.48813629150391	6.61478614807129	7.0435643196106	16.0570678710938
35	36	6.49729156494141	6.73533248901367	7.85992240905762	21.7135887145996
36	37	6.49729156494141	6.97795057296753	9.30037403106689	29.2271308898926
37	38	6.44846248626709	7.35637426376343	11.515983581543	37.4029159545898
38	39	6.483558177948	8.17273235321045	15.3017473220825	45.1773872375488
39	40	6.50186920166016	9.54451847076416	20.8346691131592	51.2047004699707

