timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Output
33.117,27.62,27.62,0,100,23.33,100
33.117,27.62,27.62,0,100,23.33,100
33.117,27.62,27.62,0,100,23.33,100
33.117,27.62,27.62,0,100,23.33,100
33.117,27.62,27.62,0,100,23.33,100
33.267,27.6,27.6,0,100,23.33,100
33.267,27.6,27.6,0,100,23.33,100
33.267,27.6,27.6,0,100,23.33,100
33.267,27.6,27.6,0,100,23.33,100
33.267,27.6,27.6,0,100,23.33,100
33.416,27.67,27.67,0,100,23.33,100
33.416,27.67,27.67,0,100,23.33,100
33.416,27.67,27.67,0,100,23.33,100
33.416,27.67,27.67,0,100,23.33,100
33.416,27.67,27.67,0,100,23.33,100
33.416,27.67,27.67,0,100,23.33,100
33.566,28.07,28.07,0,100,,100
33.566,28.07,28.07,0,100,,100
33.566,28.07,28.07,0,100,,100
33.566,28.07,28.07,0,100,,100
33.566,28.07,28.07,0,100,,100
33.717,28.68,28.68,0,100,,100
33.717,28.68,28.68,0,100,,100
33.717,28.68,28.68,0,100,,100
33.717,28.68,28.68,0,100,,100
33.717,28.68,28.68,0,100,,100
33.866,29.5,29.5,0,100,23.33,100
33.866,29.5,29.5,0,100,23.33,100
33.866,29.5,29.5,0,100,23.33,100
33.866,29.5,29.5,0,100,23.33,100
33.866,29.5,29.5,0,100,23.33,100
33.866,29.5,29.5,0,100,23.33,100
34.017,30.86,30.86,0,100,,100
34.017,30.86,30.86,0,100,,100
34.017,30.86,30.86,0,100,,100
34.017,30.86,30.86,0,100,,100
34.017,30.86,30.86,0,100,,100
34.166,31.98,31.98,0,100,,100
34.166,31.98,31.98,0,100,,100
34.166,31.98,31.98,0,100,,100
34.166,31.98,31.98,0,100,,100
34.166,31.98,31.98,0,100,,100
34.316,33.17,33.17,0,100,,100
34.316,33.17,33.17,0,100,,100
34.316,33.17,33.17,0,100,,100
34.316,33.17,33.17,0,100,,100
34.316,33.17,33.17,0,100,,100
34.467,34.82,34.82,0,100,23.41,100
34.467,34.82,34.82,0,100,23.41,100
34.467,34.82,34.82,0,100,23.41,100
34.467,34.82,34.82,0,100,23.41,100
34.467,34.82,34.82,0,100,23.41,100
34.467,34.82,34.82,0,100,23.41,100
34.616,36.07,36.07,0,100,,100
34.616,36.07,36.07,0,100,,100
34.616,36.07,36.07,0,100,,100
34.616,36.07,36.07,0,100,,100
34.616,36.07,36.07,0,100,,100
34.767,37.35,37.35,0,100,,100
34.767,37.35,37.35,0,100,,100
34.767,37.35,37.35,0,100,,100
34.767,37.35,37.35,0,100,,100
34.767,37.35,37.35,0,100,,100
34.916,39.05,39.05,0,100,,100
34.916,39.05,39.05,0,100,,100
34.916,39.05,39.05,0,100,,100
34.916,39.05,39.05,0,100,,100
34.916,39.05,39.05,0,100,,100
35.067,40.31,40.31,0,100,23.32,100
35.067,40.31,40.31,0,100,23.32,100
35.067,40.31,40.31,0,100,23.32,100
35.067,40.31,40.31,0,100,23.32,100
35.067,40.31,40.31,0,100,23.32,100
35.067,40.31,40.31,0,100,23.32,100
35.216,41.56,41.56,0,100,,100
35.216,41.56,41.56,0,100,,100
