timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,dataQLiquidStg1
230.143,93.98,93.98,70,91.48
230.143,93.98,93.98,70,91.48
230.143,93.98,93.98,70,91.48
230.293,93.38,93.38,70,91.48
230.293,93.38,93.38,70,91.48
230.293,93.38,93.38,70,91.48
230.443,92.56,92.56,70,91.48
230.443,92.56,92.56,70,91.48
230.443,92.56,92.56,70,91.48
230.443,92.56,92.56,70,91.48
230.593,91.43,91.43,70,
230.593,91.43,91.43,70,
230.593,91.43,91.43,70,
230.743,90.03,90.03,70,
230.743,90.03,90.03,70,
230.743,90.03,90.03,70,
230.893,88.73,88.73,70,
230.893,88.73,88.73,70,
230.893,88.73,88.73,70,
231.043,87.28,87.28,70,91.45
231.043,87.28,87.28,70,91.45
231.043,87.28,87.28,70,91.45
231.043,87.28,87.28,70,91.45
231.194,86.02,86.02,70,
231.194,86.02,86.02,70,
231.194,86.02,86.02,70,
231.344,84.77,84.77,70,
231.344,84.77,84.77,70,
231.344,84.77,84.77,70,
231.494,83.43,83.43,70,
231.494,83.43,83.43,70,
231.494,83.43,83.43,70,
231.644,82.21,82.21,70,91.41
231.644,82.21,82.21,70,91.41
231.644,82.21,82.21,70,91.41
231.644,82.21,82.21,70,91.41
231.794,80.91,80.91,70,
231.794,80.91,80.91,70,
231.794,80.91,80.91,70,
231.945,79.76,79.76,70,
231.945,79.76,79.76,70,
231.945,79.76,79.76,70,
232.095,78.61,78.61,70,
232.095,78.61,78.61,70,
232.095,78.61,78.61,70,
232.245,77.39,77.39,70,91.21
232.245,77.39,77.39,70,91.21
232.245,77.39,77.39,70,91.21
232.245,77.39,77.39,70,91.21
232.395,76.31,76.31,70,
232.395,76.31,76.31,70,
232.395,76.31,76.31,70,
232.545,75.28,75.28,70,
232.545,75.28,75.28,70,
232.545,75.28,75.28,70,
232.695,74.12,74.12,70,
232.695,74.12,74.12,70,
232.695,74.12,74.12,70,
232.845,73.12,73.12,70,91.06
232.845,73.12,73.12,70,91.06
232.845,73.12,73.12,70,91.06
232.845,73.12,73.12,70,91.06
232.995,72.01,72.01,70,
232.995,72.01,72.01,70,
232.995,72.01,72.01,70,
233.149,71.01,71.01,70,
233.149,71.01,71.01,70,
233.149,71.01,71.01,70,
233.299,70.14,70.14,70,
233.299,70.14,70.14,70,
233.299,70.14,70.14,70,
233.448,69.8,69.8,70,90.94
233.448,69.8,69.8,70,90.94
233.448,69.8,69.8,70,90.94
233.448,69.8,69.8,70,90.94
233.597,70.23,70.23,70,
233.597,70.23,70.23,70,
233.597,70.23,70.23,70,
233.747,70.8,70.8,70,
233.747,70.8,70.8,70,
233.747,70.8,70.8,70,
233.898,71.28,71.28,70,
233.898,71.28,71.28,70,
233.898,71.28,71.28,70,
234.048,71.53,71.53,70,90.86
234.048,71.53,71.53,70,90.86
234.048,71.53,71.53,70,90.86
234.048,71.53,71.53,70,90.86
234.199,71.7,71.7,70,
234.199,71.7,71.7,70,
234.199,71.7,71.7,70,
234.349,71.8,71.8,70,
234.349,71.8,71.8,70,
234.349,71.8,71.8,70,
234.499,71.89,71.89,70,
234.499,71.89,71.89,70,
234.499,71.89,71.89,70,
234.649,71.99,71.99,70,90.71
234.649,71.99,71.99,70,90.71
234.649,71.99,71.99,70,90.71
234.649,71.99,71.99,70,90.71
234.799,72.07,72.07,70,
234.799,72.07,72.07,70,
234.799,72.07,72.07,70,
234.949,72.14,72.14,70,
234.949,72.14,72.14,70,
234.949,72.14,72.14,70,
235.099,72.19,72.19,70,
235.099,72.19,72.19,70,
235.099,72.19,72.19,70,
235.249,72.23,72.23,70,90.61
235.249,72.23,72.23,70,90.61
235.249,72.23,72.23,70,90.61
235.249,72.23,72.23,70,90.61
235.4,72.28,72.28,70,
235.4,72.28,72.28,70,
235.4,72.28,72.28,70,
235.55,72.36,72.36,70,
235.55,72.36,72.36,70,
235.55,72.36,72.36,70,
235.7,72.43,72.43,70,
235.7,72.43,72.43,70,
235.7,72.43,72.43,70,
235.85,72.48,72.48,70,90.52
235.85,72.48,72.48,70,90.52
235.85,72.48,72.48,70,90.52
235.85,72.48,72.48,70,90.52
236,72.54,72.54,70,
236,72.54,72.54,70,
236,72.54,72.54,70,
236.151,72.61,72.61,70,
236.151,72.61,72.61,70,
236.151,72.61,72.61,70,
236.301,72.64,72.64,70,
236.301,72.64,72.64,70,
236.301,72.64,72.64,70,
236.451,72.68,72.68,70,90.41
