,timeSineBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
0,2213.632,,,,38.15,
1,2214.357,,,,38.08,
2,2215.021,,,,38.12,
3,2215.381,,,,38.02,
4,2216.112,,,,38.05,
5,2216.795,,,,37.9,
6,2217.334,,,,37.96,
7,2218.014,,,,37.93,
8,2218.619,,,,38.04,
9,2219.181,,,,38.89,
10,2219.818,,,,40.48,
11,2220.401,,,,42.56,
12,2220.987,,,,45.18,
13,2217.938,40.75,40.97,90.0,,38.7
14,2218.094,40.74,40.96,90.0,,38.69
15,2218.24,40.83,40.97,90.0,,38.68
16,2218.39,41.15,41.03,90.0,,38.64
17,2218.545,41.79,41.19,90.0,,38.61
18,2218.691,43.03,41.53,90.0,,38.55
19,2218.841,44.19,41.99,90.0,,38.5
20,2218.997,45.51,42.54,90.0,,38.45
21,2219.141,47.4,43.28,90.0,,38.37
22,2219.291,48.9,44.03,90.0,,38.31
23,2219.446,50.44,44.82,90.0,,38.25
24,2219.6,52.53,45.76,90.0,,38.18
25,2219.745,54.22,46.67,90.0,,38.11
26,2219.895,55.83,47.59,90.0,,38.05
27,2220.049,57.91,48.55,90.0,,37.97
28,2220.195,59.46,49.53,90.0,,37.91
29,2220.345,61.0,50.48,90.0,,37.85
30,2220.5,63.02,51.46,90.0,,37.77
31,2220.647,64.55,52.46,90.0,,37.71
32,2220.797,66.04,53.42,90.0,,37.66
33,2220.951,67.49,54.36,90.0,,37.61
34,2221.101,69.48,55.34,90.0,,37.55
35,2221.25,70.9,56.34,90.0,,37.49
36,2221.4,72.3,57.29,90.0,,37.44
37,2221.555,73.66,58.24,90.0,47.87,37.4
38,2221.702,75.52,59.25,90.0,,37.34
39,2221.852,76.82,60.19,90.0,,37.29
40,2222.007,78.11,61.1,90.0,,37.26
41,2222.153,79.79,62.09,90.0,50.67,37.2
42,2239.175,,,,53.67,
43,2222.303,81.06,63.02,90.0,,37.16
44,2222.457,82.27,63.92,90.0,,37.13
45,2222.606,83.96,64.85,90.0,,37.07
46,2241.621,,,,57.25,
47,2222.755,85.15,65.8,90.0,61.55,37.04
48,2242.726,,,,68.29,
49,2222.905,86.28,66.69,90.0,,37.01
50,2223.06,87.41,67.56,90.0,,36.97
51,2223.207,88.96,68.51,90.0,,36.93
52,2223.357,90.05,69.39,90.0,81.13,36.89
53,2223.509,91.14,70.26,90.0,,36.87
54,2223.659,92.62,71.15,90.0,,36.83
55,2223.808,93.66,72.05,90.0,,36.8
56,2223.958,94.66,72.9,90.0,99.46,36.77
57,2224.113,95.66,73.73,90.0,,36.74
58,2224.26,97.01,74.63,90.0,,36.71
59,2249.374,,,,105.38,
60,2224.41,97.97,75.47,90.0,,36.69
61,2224.565,99.2,76.32,90.0,107.27,36.66
62,2224.71,100.12,77.16,90.0,,36.64
63,2224.861,101.0,77.96,90.0,,36.62
64,2225.016,102.21,78.79,90.0,,36.61
65,2225.161,103.08,79.61,90.0,102.96,36.59
66,2225.311,103.94,80.4,90.0,,36.57
67,2225.465,104.75,81.17,90.0,,36.56
68,2225.615,105.9,81.96,90.0,,36.54
69,2225.76,106.77,82.77,90.0,,36.53
70,2225.91,107.51,83.53,90.0,99.88,36.51
71,2226.064,108.54,84.3,90.0,,36.49
72,2226.21,109.28,85.07,90.0,,36.48
73,2226.36,110.02,85.8,90.0,,36.47
74,2226.514,110.98,86.55,90.0,99.62,36.46
75,2226.667,111.64,87.28,90.0,,36.45
76,2226.822,112.2,87.97,90.0,,36.45
77,2226.971,112.74,88.62,90.0,,36.45
78,2227.118,112.75,89.15,90.0,99.68,36.47
79,2261.533,,,,99.2,
80,2227.273,112.42,89.54,90.0,,36.53
81,2227.417,111.47,89.73,90.0,,36.65
82,2227.567,110.43,89.72,90.0,,36.76
83,2227.714,109.28,89.6,90.0,98.43,36.9
84,2227.868,107.83,89.37,90.0,,37.09
85,2228.014,106.94,89.11,90.0,,37.2
86,2228.164,106.26,88.92,90.0,,37.28
87,2228.318,105.57,88.78,90.0,97.35,37.38
88,2228.464,105.27,88.72,90.0,,37.43
89,2228.614,105.03,88.73,90.0,,37.46
90,2268.159,,,,96.13,
91,2228.768,104.81,88.79,90.0,,37.51
92,2228.914,104.7,88.88,90.0,95.05,37.53
93,2229.064,104.62,89.02,90.0,,37.55
94,2229.218,104.56,89.17,90.0,,37.58
95,2229.364,104.49,89.33,90.0,,37.59
96,2229.514,104.43,89.5,90.0,93.99,37.6
97,2229.668,104.34,89.67,90.0,,37.6
98,2229.818,104.22,89.83,90.0,,37.62
99,2229.964,104.11,89.98,90.0,,37.62
100,2230.114,103.97,90.12,90.0,93.11,37.63
101,2274.791,,,,92.3,
102,2230.268,103.77,90.24,90.0,,37.64
103,2230.414,103.59,90.35,90.0,,37.65
104,2230.564,103.4,90.44,90.0,,37.65
105,2230.718,103.21,90.54,90.0,91.56,37.67
106,2230.868,102.88,90.6,90.0,,37.67
107,2231.014,102.64,90.65,90.0,,37.68
108,2231.164,102.39,90.7,90.0,,37.69
109,2231.318,102.03,90.72,90.0,90.9,37.7
110,2280.314,,,,90.01,
111,2231.464,101.74,90.73,90.0,,37.71
112,2231.614,101.45,90.74,90.0,,37.72
113,2231.768,101.04,90.73,90.0,,37.73
114,2231.914,100.75,90.71,90.0,85.43,37.73
115,2232.064,100.44,90.69,90.0,,37.74
116,2232.218,100.06,90.67,90.0,,37.75
117,2232.358,99.8,90.64,90.0,,37.77
118,2232.508,99.49,90.62,90.0,80.09,37.77
119,2232.662,99.13,90.58,90.0,,37.79
120,2232.809,98.87,90.55,90.0,,37.8
121,2286.944,,,,74.99,
122,2232.959,98.61,90.52,90.0,,37.81
123,2233.111,98.34,90.5,90.0,72.75,37.82
124,2233.263,98.09,90.47,90.0,,37.83
125,2233.41,97.76,90.43,90.0,,37.83
126,2233.559,97.52,90.4,90.0,,37.84
127,2233.713,97.23,90.36,90.0,73.97,37.84
128,2233.864,97.09,90.35,90.0,,37.85
129,2234.011,96.81,90.32,90.0,,37.87
130,2234.161,96.58,90.29,90.0,,37.87
131,2234.313,96.39,90.26,90.0,75.1,37.87
132,2293.574,,,,75.29,
133,2234.462,96.13,90.23,90.0,,37.88
134,2234.611,95.93,90.2,90.0,,37.89
135,2234.761,95.74,90.18,90.0,,37.89
136,2234.915,95.55,90.15,90.0,75.3,37.89
137,2235.063,95.32,90.11,90.0,,37.9
138,2235.213,95.17,90.09,90.0,,37.9
139,2235.367,94.95,90.07,90.0,,37.9
140,2235.512,94.8,90.04,90.0,75.35,37.91
141,2235.659,94.67,90.03,80.0,,37.91
142,2235.809,94.56,90.02,80.0,,37.91
143,2300.205,,,,75.38,
