,timeSineBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
136,4706.37,95.13,90.19,90.0,,38.73
137,4706.52,95.01,90.16,90.0,,38.72
138,4706.67,94.85,90.13,90.0,80.45,38.73
139,4706.82,94.75,90.11,90.0,,38.73
140,4706.97,94.63,90.08,90.0,,38.74
141,4707.12,94.51,90.06,90.0,,38.74
142,4707.27,94.4,90.04,90.0,,38.75
143,4707.416,94.3,90.02,80.0,,38.75
144,4707.566,94.16,90.0,80.0,,38.75
145,4707.716,94.02,89.98,80.0,,38.76
146,4707.866,93.67,89.93,80.0,80.01,38.81
147,4708.016,92.83,89.83,80.0,,38.95
148,4708.166,92.0,89.65,80.0,,39.09
149,4708.316,91.01,89.4,80.0,,39.26
150,4777.027,,,,79.64,
151,4708.466,89.55,89.05,80.0,,39.52
152,4708.616,88.39,88.63,80.0,79.35,39.74
153,4708.766,87.17,88.15,80.0,,39.97
154,4708.916,85.54,87.61,80.0,,40.28
155,4709.066,84.33,87.0,80.0,,40.53
156,4709.216,83.08,86.37,80.0,79.18,40.77
157,4709.376,81.44,85.7,80.0,,41.1
158,4709.527,80.22,84.98,80.0,,41.34
159,4709.677,79.03,84.26,80.0,,41.58
160,4709.827,77.71,83.54,80.0,78.94,41.84
161,4709.976,77.05,82.84,80.0,,41.97
162,4710.126,76.65,82.22,80.0,,42.06
163,4710.277,76.41,81.67,80.0,,42.11
164,4710.427,76.43,81.22,80.0,78.74,42.11
165,4710.578,76.54,80.85,80.0,,42.11
166,4710.73,76.8,80.57,80.0,,42.06
167,4710.879,77.07,80.36,80.0,,42.03
168,4711.029,77.36,80.22,80.0,,41.99
169,4711.174,77.78,80.13,80.0,78.7,41.92
170,4789.178,,,,78.63,
171,4711.323,78.12,80.09,80.0,,41.85
172,4711.47,78.46,80.09,80.0,,41.79
173,4711.62,78.84,80.12,80.0,,41.72
174,4711.77,79.06,80.17,80.0,78.63,41.67
175,4711.92,79.23,80.22,80.0,,41.62
176,4712.07,79.38,80.27,80.0,,41.56
177,4712.22,79.45,80.31,80.0,,41.53
178,4712.37,79.48,80.34,80.0,78.71,41.5
179,4712.52,79.49,80.36,80.0,,41.46
180,4712.67,79.48,80.37,80.0,,41.42
181,4795.807,,,,78.64,
182,4712.82,79.46,80.37,80.0,,41.38
183,4712.97,79.44,80.36,80.0,78.66,41.34
184,4713.12,79.42,80.34,80.0,,41.31
185,4713.27,79.4,80.32,80.0,,41.28
186,4713.42,79.37,80.29,80.0,,41.25
187,4713.57,79.35,80.26,80.0,77.66,41.22
188,4713.72,79.33,80.23,80.0,,41.2
189,4713.87,79.33,80.19,80.0,,41.17
190,4714.02,79.32,80.16,80.0,,41.14
191,4714.17,79.32,80.12,80.0,75.47,41.12
192,4802.437,,,,72.89,
193,4714.32,79.33,80.09,80.0,,41.09
194,4714.47,79.34,80.06,80.0,,41.07
195,4714.62,79.36,80.03,80.0,,41.04
196,4714.77,79.38,80.01,80.0,70.41,41.01
197,4714.92,79.39,79.98,80.0,,40.99
198,4715.07,79.41,79.96,80.0,,40.98
199,4715.22,79.45,79.94,80.0,,40.96
200,4715.37,79.47,79.92,80.0,69.31,40.94
201,4715.52,79.5,79.91,80.0,,40.9
202,4715.67,79.53,79.89,80.0,,40.87
203,4809.098,,,,69.18,
204,4715.82,79.56,79.88,80.0,,40.84
205,4810.203,,,,69.35,
206,4715.97,79.6,79.87,80.0,69.28,40.82
207,4716.12,79.66,79.86,80.0,,40.8
208,4716.27,79.69,79.85,80.0,,40.79
209,4716.42,79.72,79.85,80.0,,40.77
210,4716.57,79.77,79.84,80.0,68.99,40.75
211,4716.72,79.81,79.84,80.0,,40.73
212,4716.87,79.84,79.84,80.0,,40.71
213,4717.02,79.89,79.84,80.0,,40.69
214,4717.17,79.93,79.84,80.0,,40.68
215,4717.32,79.97,79.84,80.0,,40.66
216,4816.839,,,,68.65,
217,4717.47,80.0,79.85,80.0,,40.65
218,4717.62,80.04,79.85,80.0,,40.63
219,4717.77,80.08,79.85,80.0,68.42,40.62
220,4717.92,80.12,79.86,80.0,,40.6
221,4718.07,80.19,79.87,80.0,,40.58
222,4718.22,80.22,79.87,80.0,,40.57
223,4718.37,80.27,79.88,80.0,,40.56
224,4718.52,80.31,79.89,80.0,,40.54
225,4718.67,80.35,79.9,80.0,,40.53
226,4718.82,80.38,79.91,80.0,,40.52
227,4823.472,,,,68.32,
228,4718.97,80.43,79.92,80.0,68.16,40.51
229,4719.12,80.46,79.93,80.0,,40.5
230,4719.27,80.48,79.93,80.0,,40.48
231,4719.427,80.52,79.94,70.0,,40.47
232,4719.566,80.55,79.95,70.0,68.14,40.46
233,4719.716,80.55,79.96,70.0,,40.45
234,4719.866,80.44,79.95,70.0,,40.45
235,4720.016,80.09,79.91,70.0,,40.51
236,4720.166,79.55,79.81,70.0,68.14,40.6
237,4720.316,78.56,79.62,70.0,,40.79
238,4720.466,77.7,79.37,70.0,,40.97
239,4720.616,76.75,79.05,70.0,,41.15
240,4720.766,75.4,78.65,70.0,68.15,41.42
241,4720.916,74.36,78.19,70.0,,41.63
242,4721.066,73.3,77.7,70.0,,41.86
243,4721.216,71.88,77.13,70.0,,42.16
