,timeSineBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
0,655.848,,,,27.19,
1,656.359,,,,27.13,
2,657.072,,,,27.13,
3,657.582,,,,27.2,
4,658.211,,,,27.12,
5,658.842,,,,27.11,
6,659.264,,,,27.14,
7,659.997,,,,27.14,
8,660.614,,,,27.18,
9,661.274,,,,27.25,
10,659.801,31.55,31.59,55.0,,31.31
11,659.959,31.55,31.59,55.0,,31.3
12,660.115,31.56,31.58,55.0,,31.29
13,660.265,31.69,31.59,55.0,,31.28
14,660.442,32.08,31.65,55.0,,31.23
15,660.583,32.89,31.77,55.0,,31.17
16,660.735,34.04,31.99,55.0,,31.1
17,660.885,35.58,32.34,55.0,,31.01
18,661.057,37.19,32.81,55.0,,30.92
19,661.205,38.9,33.38,55.0,,30.83
20,661.378,40.63,34.05,55.0,,30.75
21,661.526,42.47,34.81,55.0,,30.67
22,661.703,44.92,35.67,55.0,,30.55
23,661.852,46.17,36.55,55.0,27.41,30.5
24,662.001,47.99,37.49,55.0,,30.42
25,662.153,49.81,38.47,55.0,,30.36
26,671.532,,,,27.55,
27,662.303,51.62,39.49,55.0,,30.28
28,662.453,53.81,40.56,55.0,27.75,30.19
29,662.603,55.33,41.65,55.0,,30.13
30,662.753,56.82,42.72,55.0,,30.08
31,662.903,58.79,43.81,55.0,,29.99
32,663.053,60.24,44.9,55.0,28.17,29.94
33,663.203,61.65,45.98,55.0,,29.89
34,663.353,63.51,47.07,55.0,,29.82
35,663.503,64.89,48.16,55.0,,29.77
36,663.653,66.24,49.22,55.0,28.9,29.71
37,663.803,67.98,50.3,55.0,,29.66
38,663.977,68.95,51.33,55.0,,29.63
39,679.311,,,,30.1,
40,664.127,70.94,52.42,55.0,,29.58
41,664.277,72.11,53.49,55.0,32.88,29.55
42,664.427,73.0,54.49,55.0,,29.54
43,664.577,73.52,55.41,55.0,,29.58
44,664.727,73.42,56.2,55.0,,29.66
45,664.873,73.01,56.83,55.0,38.04,29.77
46,665.02,72.06,57.27,55.0,,29.97
47,665.17,71.14,57.57,55.0,,30.12
48,665.321,70.13,57.73,55.0,,30.28
49,665.471,68.73,57.74,55.0,41.85,30.49
50,685.936,,,,44.34,
51,665.621,67.66,57.66,55.0,,30.62
