,timeSineBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
0,24.052,,,,23.78,
1,24.328,,,,23.69,
2,25.219,,,,23.73,
3,25.819,,,,23.63,
4,26.419,,,,23.65,
5,26.987,,,,23.63,
6,27.499,,,,23.61,
7,28.247,,,,23.67,
8,28.857,,,,23.78,
9,29.451,,,,24.79,
10,30.107,,,,26.02,
11,30.677,,,,26.63,
12,31.254,,,,28.22,
13,28.095,26.43,26.36,55.0,,25.65
14,28.244,26.42,26.36,55.0,,25.65
15,28.394,26.5,26.37,55.0,,25.63
16,28.544,26.84,26.4,55.0,,25.59
17,28.694,27.34,26.48,55.0,,25.55
18,28.844,28.4,26.66,55.0,,25.47
19,28.994,29.18,26.92,55.0,,25.42
20,29.145,31.36,27.34,55.0,,25.33
21,29.294,32.43,27.8,55.0,,25.27
22,29.444,34.37,28.41,55.0,,25.16
23,29.594,35.55,29.08,55.0,,25.1
24,29.744,37.45,29.8,55.0,,25.0
25,29.894,39.4,30.63,55.0,,24.9
26,39.713,,,,30.64,
27,30.044,40.73,31.45,55.0,,24.84
28,30.195,42.63,32.35,55.0,,24.77
29,30.344,43.75,33.26,55.0,,24.73
30,30.494,45.67,34.19,55.0,,24.66
31,30.644,47.36,35.17,55.0,,24.61
32,30.794,49.07,36.16,55.0,,24.55
33,30.944,50.66,37.18,55.0,,24.49
34,31.094,51.71,38.15,55.0,,24.45
35,31.244,53.48,39.14,55.0,,24.38
36,31.395,54.9,40.15,55.0,,24.34
37,31.544,56.44,41.16,55.0,,24.29
38,31.694,57.98,42.18,55.0,,24.25
39,31.844,59.27,43.19,55.0,34.22,24.21
40,31.994,60.91,44.23,55.0,,24.17
41,32.144,62.1,45.23,55.0,,24.14
42,32.294,63.28,46.21,55.0,,24.09
43,32.444,64.85,47.23,55.0,39.61,24.06
44,32.594,65.99,48.21,55.0,,24.03
45,32.744,67.13,49.17,55.0,,24.01
46,32.894,68.57,50.15,55.0,,23.97
47,33.044,69.64,51.1,55.0,43.89,23.95
48,53.012,,,,49.38,
49,33.199,70.73,52.03,55.0,,23.93
50,33.349,72.12,52.99,55.0,,23.9
51,33.5,73.04,53.91,55.0,,23.9
52,33.65,73.63,54.77,55.0,52.71,23.95
53,33.807,73.79,55.54,55.0,,24.1
54,33.951,73.46,56.17,55.0,,24.27
55,34.094,72.82,56.66,55.0,,24.46
56,34.244,71.66,56.96,55.0,56.93,24.73
57,34.392,70.66,57.13,55.0,,24.95
58,34.543,69.64,57.2,55.0,,25.18
59,59.662,,,,57.74,
60,34.692,68.35,57.13,55.0,,25.37
61,34.843,67.49,57.02,55.0,57.64,25.48
62,34.993,66.69,56.87,55.0,,25.57
63,35.144,65.79,56.67,55.0,,25.67
64,35.293,65.2,56.48,55.0,,25.74
65,35.443,64.65,56.29,55.0,56.79,25.78
