,timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink
143,899.545,110.96,47.35,62.0,,20.85
144,899.695,111.17,47.63,62.0,,20.88
145,899.704,,,,40.72,
146,899.844,111.35,47.89,62.0,,20.91
147,899.994,111.57,48.18,62.0,,20.92
148,900.144,111.74,48.45,62.0,,20.95
149,900.294,111.85,48.69,62.0,,20.97
150,900.294,,,,41.56,
151,900.444,111.98,48.95,62.0,,21.0
152,900.594,112.08,49.19,62.0,,21.02
153,900.744,112.18,49.43,62.0,,21.05
154,900.895,112.26,49.67,62.0,,21.07
155,901.044,112.3,49.89,62.0,,21.1
156,901.044,,,,42.42,
157,901.194,112.37,50.12,62.0,,21.14
158,901.345,112.42,50.35,62.0,,21.17
159,901.494,112.46,50.57,62.0,,21.2
160,901.644,112.54,50.8,62.0,,21.22
161,901.644,,,,43.24,
162,901.794,112.56,51.02,62.0,,21.24
163,901.945,112.54,51.21,62.0,,21.28
164,902.094,112.58,51.43,62.0,,21.31
165,902.244,112.62,51.65,62.0,,21.34
166,902.244,,,,44.11,
167,902.394,112.65,51.86,62.0,,21.37
168,902.544,112.62,52.06,62.0,,21.4
169,902.695,112.67,52.27,62.0,,21.43
170,902.844,112.64,52.46,62.0,,21.45
171,902.844,,,,44.91,
172,902.995,112.69,52.68,62.0,,21.48
173,903.144,112.75,52.9,62.0,,21.51
174,903.294,112.75,53.1,62.0,,21.54
175,903.444,112.76,53.3,62.0,,21.57
176,903.444,,,,45.59,
177,903.594,112.74,53.49,62.0,,21.59
178,903.745,112.71,53.68,62.0,,21.63
179,903.894,112.76,53.89,62.0,,21.65
180,904.045,112.76,54.09,62.0,,21.7
181,904.045,,,,46.33,
182,904.194,112.77,54.28,62.0,,21.71
183,904.344,112.81,54.49,62.0,,21.75
184,904.494,112.81,54.68,62.0,,21.78
185,904.644,112.83,54.89,62.0,,21.8
186,904.644,,,,47.14,
187,904.794,112.87,55.09,62.0,,21.83
188,904.944,112.95,55.31,62.0,,21.86
189,905.094,112.92,55.49,62.0,,21.89
190,905.244,112.91,55.67,62.0,,21.92
191,905.252,,,,47.89,
192,905.395,112.9,55.86,62.0,,21.96
193,905.544,112.93,56.06,62.0,,21.98
194,905.695,112.94,56.24,62.0,,22.01
195,905.845,112.93,56.41,62.0,,22.03
196,905.845,,,,48.6,
197,905.994,113.01,56.58,62.0,,22.07
198,906.144,112.98,56.75,62.0,,22.09
199,906.294,112.98,56.92,62.0,,22.12
200,906.444,113.0,57.09,62.0,,22.17
201,906.444,,,,49.29,
202,906.594,113.02,57.26,62.0,,22.18
203,906.744,113.04,57.43,62.0,,22.21
204,906.894,113.05,57.6,62.0,,22.24
205,907.044,113.02,57.77,62.0,,22.26
206,907.044,,,,50.08,
207,907.194,113.02,57.94,62.0,,22.3
208,907.344,113.02,58.1,62.0,,22.33
209,907.495,113.07,58.27,62.0,,22.36
210,907.644,113.07,58.44,62.0,,22.38
211,907.644,,,,50.66,
212,907.794,113.08,58.6,62.0,,22.42
213,907.944,113.05,58.77,62.0,,22.44
214,908.094,113.08,58.93,62.0,,22.48
215,908.244,113.11,59.09,62.0,,22.5
216,908.244,,,,51.34,
217,908.394,113.17,59.26,62.0,,22.53
218,908.544,113.15,59.42,62.0,,22.55
219,908.695,113.14,59.58,62.0,,22.6
220,908.844,113.14,59.74,62.0,,22.62
221,908.844,,,,52.03,
222,908.994,113.14,59.9,62.0,,22.64
223,909.144,113.09,60.06,62.0,,22.68
224,909.294,113.14,60.22,62.0,,22.71
225,909.444,113.18,60.38,62.0,,22.74
226,909.444,,,,52.71,
227,909.594,113.11,60.54,62.0,,22.77
228,909.744,112.74,60.7,62.0,,22.82
229,909.894,112.1,60.85,62.0,,22.91
230,910.044,110.65,61.0,62.0,,23.1
231,910.044,,,,53.35,
232,910.194,109.37,61.15,62.0,,23.3
233,910.344,107.94,61.28,62.0,,23.52
234,910.494,105.99,61.41,62.0,,23.86
235,910.644,104.5,61.54,62.0,,24.13
236,910.644,,,,54.0,
237,910.794,102.98,61.66,62.0,,24.41
238,910.944,101.0,61.77,62.0,,24.81
239,911.094,99.53,61.87,62.0,,25.11
240,911.244,98.09,61.97,62.0,,25.42
241,911.244,,,,54.63,
242,911.394,96.24,62.07,62.0,,25.82
243,911.544,94.84,62.15,62.0,,26.15
244,911.695,93.43,62.24,62.0,,26.46
245,911.844,91.62,62.31,62.0,,26.87
246,911.94,,,,55.1,
247,911.993,90.3,62.38,62.0,,27.18
248,912.143,89.02,62.45,62.0,,27.48
249,912.293,87.37,62.51,62.0,,27.87
250,912.443,86.17,62.56,62.0,,28.17
251,912.443,,,,55.53,
252,912.593,84.96,62.61,62.0,,28.46
253,912.743,83.41,62.66,62.0,,28.85
254,912.893,82.28,62.7,62.0,,29.14
255,913.044,81.12,62.73,62.0,,29.43
256,913.044,,,,55.73,
257,913.193,79.64,62.77,62.0,,29.8
258,913.343,78.59,62.79,62.0,,30.08
259,913.493,77.54,62.82,62.0,,30.36
260,913.643,76.18,62.84,62.0,,30.73
261,913.793,75.16,62.85,62.0,,31.0
262,913.793,,,,55.93,
263,913.943,74.16,62.86,62.0,,31.26
264,914.093,72.87,62.87,62.0,,31.62
265,914.243,71.92,62.88,62.0,,31.89
266,914.393,70.97,62.88,62.0,,32.16
267,914.393,,,,56.02,
268,914.543,69.77,62.87,62.0,,32.5
269,914.694,68.86,62.87,62.0,,32.76
270,914.843,67.99,62.86,62.0,,33.02
271,914.993,66.83,62.85,62.0,,33.36
272,914.993,,,,56.15,
273,915.143,66.0,62.83,62.0,,33.62
274,915.293,65.16,62.81,62.0,,33.86
275,915.443,64.06,62.79,62.0,,34.18
276,915.593,63.27,62.77,62.0,,34.44
277,915.593,,,,56.03,
278,915.743,62.49,62.74,62.0,,34.68
279,915.894,61.46,62.71,62.0,,35.0
280,916.043,60.7,62.68,62.0,,35.25
281,916.193,59.97,62.64,62.0,,35.48
282,916.193,,,,56.03,
283,916.343,59.0,62.61,62.0,,35.8
284,916.493,58.34,62.57,62.0,,36.01
285,916.643,57.79,62.53,62.0,,36.23
286,916.793,57.26,62.48,62.0,,36.44
287,916.793,,,,55.92,
288,916.943,57.04,62.44,62.0,,36.58
289,917.093,56.91,62.4,62.0,,36.68
290,917.243,56.92,62.35,62.0,,36.76
291,917.393,57.02,62.31,62.0,,36.8
292,917.393,,,,55.91,
293,917.543,57.18,62.26,62.0,,36.82
294,917.694,57.41,62.22,62.0,,36.83
295,917.843,57.79,62.18,62.0,,36.81
296,917.993,58.14,62.14,62.0,,36.79
297,917.993,,,,55.8,
298,918.143,58.52,62.1,62.0,,36.76
299,918.293,59.12,62.07,62.0,,36.71
300,918.443,59.58,62.03,62.0,,36.66
301,918.594,60.09,62.0,62.0,,36.62
302,918.594,,,,55.75,
303,918.743,60.81,61.97,62.0,,36.55
304,918.893,61.39,61.94,62.0,,36.51
305,919.043,61.96,61.91,62.0,,36.45
306,919.193,62.73,61.89,62.0,,36.38
307,919.193,,,,55.59,
308,919.343,63.32,61.86,62.0,,36.32
309,919.493,63.91,61.84,62.0,,36.27
310,919.643,64.69,61.83,62.0,,36.19
311,919.793,65.27,61.81,62.0,,36.14
312,919.793,,,,55.44,
313,919.943,65.83,61.8,62.0,,36.09
314,920.093,66.58,61.78,62.0,,36.01
315,920.243,67.11,61.78,62.0,,35.97
316,920.393,67.63,61.77,62.0,,35.92
317,920.393,,,,55.44,
318,920.543,68.28,61.76,62.0,,35.84
319,920.694,68.75,61.76,62.0,,35.81
320,920.843,69.19,61.76,62.0,,35.75
321,920.993,69.72,61.76,62.0,,35.7
322,920.993,,,,55.26,
323,921.143,70.11,61.76,62.0,,35.65
324,921.293,70.45,61.76,62.0,,35.61
325,921.443,70.87,61.76,62.0,,35.56
326,921.593,71.17,61.77,62.0,,35.53
327,921.593,,,,55.18,
328,921.743,71.4,61.77,62.0,,35.49
329,921.893,71.73,61.78,62.0,,35.45
330,922.043,71.91,61.78,62.0,,35.41
331,922.193,72.09,61.79,62.0,,35.38
332,922.193,,,,55.09,
333,922.343,72.27,61.8,62.0,,35.34
334,922.493,72.37,61.81,62.0,,35.32
335,922.643,72.46,61.82,62.0,,35.3
336,922.793,72.55,61.83,62.0,,35.27
337,922.793,,,,54.92,
338,922.943,72.58,61.83,62.0,,35.25
339,923.093,72.6,61.84,62.0,,35.22
340,923.243,72.6,61.85,62.0,,35.21
341,923.393,72.57,61.86,62.0,,35.19
342,923.393,,,,54.77,
343,923.543,72.51,61.87,62.0,,35.17
344,923.694,72.45,61.88,62.0,,35.16
345,923.843,72.36,61.89,62.0,,35.16
346,923.993,72.3,61.9,62.0,,35.15
