,timeSineBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
0,2082.636,nan,nan,nan,25.55,nan
1,2092.106,30.46,30.45,55.0,nan,30.59
2,2083.204,nan,nan,nan,25.62,nan
3,2083.754,nan,nan,nan,25.73,nan
4,2084.429,nan,nan,nan,25.78,nan
5,2084.971,nan,nan,nan,25.82,nan
6,2085.574,nan,nan,nan,25.88,nan
7,2086.186,nan,nan,nan,25.98,nan
8,2086.814,nan,nan,nan,26.06,nan
9,2087.851,nan,nan,nan,26.08,nan
10,2088.534,nan,nan,nan,26.19,nan
11,2089.111,nan,nan,nan,26.17,nan
12,2089.698,nan,nan,nan,26.25,nan
13,2090.279,nan,nan,nan,26.23,nan
14,2090.684,nan,nan,nan,26.28,nan
15,2091.498,nan,nan,nan,26.33,nan
16,2092.087,nan,nan,nan,26.34,nan
17,2092.757,nan,nan,nan,26.45,nan
18,2093.387,nan,nan,nan,26.55,nan
19,2093.928,nan,nan,nan,27.09,nan
20,2094.556,nan,nan,nan,28.44,nan
21,2095.139,nan,nan,nan,29.77,nan
22,2092.241,30.46,30.45,55.0,nan,30.59
23,2092.391,30.5,30.45,55.0,nan,30.59
24,2092.541,30.76,30.47,55.0,nan,30.56
25,2097.546,nan,nan,nan,31.93,nan
26,2092.691,31.39,30.56,55.0,nan,30.49
27,2092.841,32.36,30.73,55.0,nan,30.41
28,2092.991,33.32,30.97,55.0,nan,30.33
29,2093.142,35.3,31.4,55.0,nan,30.21
30,2100.5,nan,nan,nan,35.01,nan
31,2093.291,36.35,31.88,55.0,nan,30.14
32,2093.441,38.35,32.47,55.0,nan,30.02
33,2093.591,40.14,33.18,55.0,nan,29.92
34,2093.741,41.25,33.91,55.0,nan,29.86
35,2093.891,43.36,34.71,55.0,nan,29.76
36,2094.041,45.75,35.62,55.0,nan,29.64
37,2094.191,46.8,36.55,55.0,nan,29.6
38,2094.341,48.57,37.49,55.0,nan,29.51
39,2094.491,50.37,38.47,55.0,nan,29.44
40,2094.641,52.39,39.52,55.0,nan,29.36
41,2094.791,53.64,40.52,55.0,nan,29.31
