timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Alternate1 Thermocouple TempC
529.461,59.51,24.14,62,19.81,18.97,19.77
529.461,59.51,24.14,62,19.81,18.97,19.77
529.611,60.73,24.25,62,,18.93,
529.611,60.73,24.25,62,,18.93,
529.611,60.73,24.25,62,,18.93,
529.611,60.73,24.25,62,,18.93,
529.761,61.63,24.38,62,,18.89,
529.761,61.63,24.38,62,,18.89,
529.761,61.63,24.38,62,,18.89,
529.761,61.63,24.38,62,,18.89,
529.911,62.52,24.51,62,,18.86,
529.911,62.52,24.51,62,,18.86,
529.911,62.52,24.51,62,,18.86,
529.911,62.52,24.51,62,,18.86,
530.061,63.68,24.65,62,19.88,18.8,19.84
530.061,63.68,24.65,62,19.88,18.8,19.84
530.061,63.68,24.65,62,19.88,18.8,19.84
530.061,63.68,24.65,62,19.88,18.8,19.84
530.061,63.68,24.65,62,19.88,18.8,19.84
530.061,63.68,24.65,62,19.88,18.8,19.84
530.211,64.53,24.79,62,,18.77,
530.211,64.53,24.79,62,,18.77,
530.211,64.53,24.79,62,,18.77,
530.211,64.53,24.79,62,,18.77,
530.361,65.39,24.93,62,,18.74,
530.361,65.39,24.93,62,,18.74,
530.361,65.39,24.93,62,,18.74,
530.361,65.39,24.93,62,,18.74,
530.511,66.49,25.09,62,,18.7,
530.511,66.49,25.09,62,,18.7,
530.511,66.49,25.09,62,,18.7,
530.511,66.49,25.09,62,,18.7,
530.661,67.3,25.25,62,19.85,18.67,19.92
530.661,67.3,25.25,62,19.85,18.67,19.92
530.661,67.3,25.25,62,19.85,18.67,19.92
530.661,67.3,25.25,62,19.85,18.67,19.92
530.661,67.3,25.25,62,19.85,18.67,19.92
530.661,67.3,25.25,62,19.85,18.67,19.92
530.811,68.1,25.41,62,,18.63,
530.811,68.1,25.41,62,,18.63,
530.811,68.1,25.41,62,,18.63,
530.811,68.1,25.41,62,,18.63,
530.961,69.15,25.59,62,,18.6,
530.961,69.15,25.59,62,,18.6,
530.961,69.15,25.59,62,,18.6,
530.961,69.15,25.59,62,,18.6,
531.112,69.93,25.76,62,,18.58,
531.112,69.93,25.76,62,,18.58,
531.112,69.93,25.76,62,,18.58,
531.112,69.93,25.76,62,,18.58,
531.261,70.69,25.93,62,19.81,18.55,20.08
531.261,70.69,25.93,62,19.81,18.55,20.08
531.261,70.69,25.93,62,19.81,18.55,20.08
531.261,70.69,25.93,62,19.81,18.55,20.08
531.261,70.69,25.93,62,19.81,18.55,20.08
531.261,70.69,25.93,62,19.81,18.55,20.08
531.411,71.7,26.13,62,,18.51,
531.411,71.7,26.13,62,,18.51,
531.411,71.7,26.13,62,,18.51,
531.411,71.7,26.13,62,,18.51,
531.561,72.44,26.31,62,,18.5,
531.561,72.44,26.31,62,,18.5,
531.561,72.44,26.31,62,,18.5,
531.561,72.44,26.31,62,,18.5,
531.711,73.17,26.5,62,,18.46,
531.711,73.17,26.5,62,,18.46,
531.711,73.17,26.5,62,,18.46,
531.711,73.17,26.5,62,,18.46,
531.861,74.12,26.71,62,19.86,18.44,20.2
531.861,74.12,26.71,62,19.86,18.44,20.2
531.861,74.12,26.71,62,19.86,18.44,20.2
531.861,74.12,26.71,62,19.86,18.44,20.2
531.861,74.12,26.71,62,19.86,18.44,20.2
531.861,74.12,26.71,62,19.86,18.44,20.2
532.011,74.81,26.9,62,,18.41,
532.011,74.81,26.9,62,,18.41,
532.011,74.81,26.9,62,,18.41,
532.011,74.81,26.9,62,,18.41,
532.161,75.49,27.1,62,,18.4,
532.161,75.49,27.1,62,,18.4,
532.161,75.49,27.1,62,,18.4,
532.161,75.49,27.1,62,,18.4,
532.311,76.4,27.32,62,,18.38,
532.311,76.4,27.32,62,,18.38,
532.311,76.4,27.32,62,,18.38,
