***Stage1 ON***
[13]TC TEC set to 50°C
(1690363) _setStage1TecTempC: TEC Set Temp 50.000000
(1690364) _resetThermalControlState: RESET Peltier 0 control state
(1690368) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(1690375) _setThermalControlState: thermalControl-0: changing state 3->1
(1690382) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(1690390) thermalControlSetEnable: Enabling Peltier 0
(1695871) TC: TC-0 = 23.52, modeled = 21.28, target = 50.00, heatSink = -86.95, output = 100.0, timeout = 5450, exptTempC = 50.00, TecRate = 0.015
(1696022) TC: TC-0 = 23.57, modeled = 21.28, target = 50.00, heatSink = -87.36, output = 100.0, timeout = 5600, exptTempC = 50.00, TecRate = 0.016
(1696172) TC: TC-0 = 23.61, modeled = 21.28, target = 50.00, heatSink = -87.11, output = 100.0, timeout = 5750, exptTempC = 50.00, TecRate = 0.017
(1696324) TC: TC-0 = 23.65, modeled = 21.29, target = 50.00, heatSink = -87.61, output = 100.0, timeout = 5900, exptTempC = 50.00, TecRate = 0.017
(1696478) TC: TC-0 = 23.67, modeled = 21.29, target = 50.00, heatSink = -87.47, output = 100.0, timeout = 6050, exptTempC = 50.00, TecRate = 0.018
(1696623) TC: TC-0 = 23.70, modeled = 21.29, target = 50.00, heatSink = -87.84, output = 100.0, timeout = 6200, exptTempC = 50.00, TecRate = 0.018
(1696773) TC: TC-0 = 23.74, modeled = 21.29, target = 50.00, heatSink = -86.75, output = 100.0, timeout = 6350, exptTempC = 50.00, TecRate = 0.019
(1696924) TC: TC-0 = 23.77, modeled = 21.30, target = 50.00, heatSink = -87.44, output = 100.0, timeout = 6500, exptTempC = 50.00, TecRate = 0.019
(1697073) TC: TC-0 = 23.82, modeled = 21.30, target = 50.00, heatSink = -87.44, output = 100.0, timeout = 6650, exptTempC = 50.00, TecRate = 0.020
(1697226) TC: TC-0 = 23.89, modeled = 21.30, target = 50.00, heatSink = -87.92, output = 100.0, timeout = 6800, exptTempC = 50.00, TecRate = 0.021
(1697380) TC: TC-0 = 23.94, modeled = 21.31, target = 50.00, heatSink = -87.96, output = 100.0, timeout = 6950, exptTempC = 50.00, TecRate = 0.022
(1697526) TC: TC-0 = 24.25, modeled = 21.31, target = 50.00, heatSink = -87.74, output = 100.0, timeout = 7100, exptTempC = 50.00, TecRate = 0.028
(1697675) TC: TC-0 = 25.18, modeled = 21.32, target = 50.00, heatSink = -87.11, output = 100.0, timeout = 7250, exptTempC = 50.00, TecRate = 0.046
(1697825) TC: TC-0 = 26.64, modeled = 21.33, target = 50.00, heatSink = -87.36, output = 100.0, timeout = 7400, exptTempC = 50.00, TecRate = 0.074
(1697975) TC: TC-0 = 28.39, modeled = 21.34, target = 50.00, heatSink = -87.70, output = 100.0, timeout = 7550, exptTempC = 50.00, TecRate = 0.108
(1698127) TC: TC-0 = 30.26, modeled = 21.36, target = 50.00, heatSink = -88.05, output = 100.0, timeout = 7700, exptTempC = 50.00, TecRate = 0.144
(1698281) TC: TC-0 = 31.52, modeled = 21.38, target = 50.00, heatSink = -88.01, output = 100.0, timeout = 7850, exptTempC = 50.00, TecRate = 0.168
(1698426) TC: TC-0 = 33.42, modeled = 21.41, target = 50.00, heatSink = -87.51, output = 100.0, timeout = 8000, exptTempC = 50.00, TecRate = 0.205
(1698575) TC: TC-0 = 35.36, modeled = 21.45, target = 50.00, heatSink = -86.95, output = 100.0, timeout = 8150, exptTempC = 50.00, TecRate = 0.243
(1698726) TC: TC-0 = 37.20, modeled = 21.49, target = 50.00, heatSink = -87.36, output = 100.0, timeout = 8300, exptTempC = 50.00, TecRate = 0.279
(1698876) TC: TC-0 = 38.99, modeled = 21.53, target = 50.00, heatSink = -87.45, output = 100.0, timeout = 8450, exptTempC = 50.00, TecRate = 0.314
(1699027) TC: TC-0 = 40.77, modeled = 21.58, target = 50.00, heatSink = -87.55, output = 100.0, timeout = 8600, exptTempC = 50.00, TecRate = 0.349
(1699184) TC: TC-0 = 41.88, modeled = 21.64, target = 50.00, heatSink = -87.73, output = 100.0, timeout = 8750, exptTempC = 50.00, TecRate = 0.370
(1699330) TC: TC-0 = 43.51, modeled = 21.70, target = 50.00, heatSink = -87.80, output = 100.0, timeout = 8900, exptTempC = 50.00, TecRate = 0.402
(1699479) TC: TC-0 = 45.14, modeled = 21.76, target = 50.00, heatSink = -87.07, output = 100.0, timeout = 9050, exptTempC = 50.00, TecRate = 0.434
(1699630) TC: TC-0 = 46.71, modeled = 21.83, target = 50.00, heatSink = -87.12, output = 100.0, timeout = 9200, exptTempC = 50.00, TecRate = 0.464
(1699781) TC: TC-0 = 48.20, modeled = 21.90, target = 50.00, heatSink = -87.49, output = 100.0, timeout = 9350, exptTempC = 50.00, TecRate = 0.494
(1699930) TC: TC-0 = 49.64, modeled = 21.98, target = 50.00, heatSink = -87.96, output = 100.0, timeout = 9500, exptTempC = 50.00, TecRate = 0.522
(1700083) TC: TC-0 = 51.00, modeled = 22.06, target = 50.00, heatSink = -87.87, output = 100.0, timeout = 9650, exptTempC = 50.00, TecRate = 0.548
(1700237) TC: TC-0 = 51.86, modeled = 22.14, target = 50.00, heatSink = -87.74, output = 100.0, timeout = 9800, exptTempC = 50.00, TecRate = 0.564
(1700382) TC: TC-0 = 53.13, modeled = 22.23, target = 50.00, heatSink = -87.23, output = 100.0, timeout = 9950, exptTempC = 50.00, TecRate = 0.589
(1700532) TC: TC-0 = 54.42, modeled = 22.32, target = 50.00, heatSink = -86.98, output = 100.0, timeout = 10100, exptTempC = 50.00, TecRate = 0.614
(1700682) TC: TC-0 = 55.73, modeled = 22.42, target = 50.00, heatSink = -87.37, output = 100.0, timeout = 10250, exptTempC = 50.00, TecRate = 0.640
(1700832) TC: TC-0 = 57.07, modeled = 22.51, target = 50.00, heatSink = -87.96, output = 100.0, timeout = 10400, exptTempC = 50.00, TecRate = 0.666
(1700984) TC: TC-0 = 58.41, modeled = 22.62, target = 50.00, heatSink = -87.37, output = 100.0, timeout = 10550, exptTempC = 50.00, TecRate = 0.692
(1701138) TC: TC-0 = 59.28, modeled = 22.72, target = 50.00, heatSink = -87.57, output = 100.0, timeout = 10700, exptTempC = 50.00, TecRate = 0.709
(1701283) TC: TC-0 = 60.56, modeled = 22.83, target = 50.00, heatSink = -87.32, output = 100.0, timeout = 10850, exptTempC = 50.00, TecRate = 0.734
(1701434) TC: TC-0 = 61.79, modeled = 22.94, target = 50.00, heatSink = -86.98, output = 100.0, timeout = 11000, exptTempC = 50.00, TecRate = 0.758
(1701584) TC: TC-0 = 62.97, modeled = 23.06, target = 50.00, heatSink = -87.53, output = 100.0, timeout = 11150, exptTempC = 50.00, TecRate = 0.780
(1701734) TC: TC-0 = 64.11, modeled = 23.18, target = 50.00, heatSink = -87.92, output = 100.0, timeout = 11300, exptTempC = 50.00, TecRate = 0.802
(1701886) TC: TC-0 = 65.24, modeled = 23.30, target = 50.00, heatSink = -87.79, output = 100.0, timeout = 11450, exptTempC = 50.00, TecRate = 0.824
(1702040) TC: TC-0 = 65.95, modeled = 23.43, target = 50.00, heatSink = -87.48, output = 100.0, timeout = 11600, exptTempC = 50.00, TecRate = 0.837
(1702185) TC: TC-0 = 66.96, modeled = 23.55, target = 50.00, heatSink = -87.19, output = 100.0, timeout = 11750, exptTempC = 50.00, TecRate = 0.856
