,Unnamed: 0,consumableId,415,445,480,515,555,590,630,680,NIR,CLR,DARK
0,0,00773113-7bb2-4454-96f9-58a999e1bb17,29.6,30.5,29.4,29.4,29.4,29.2,29.2,29.4,29.8,29.4,
1,1,34c6c54b-bbb2-4971-a57c-bf34e70368c0,31.0,32.2,31.0,30.9,31.0,30.9,30.7,31.2,30.0,31.0,
2,2,1b9df22d-e4e9-43f2-bca5-c670974eda9d,30.5,29.1,30.4,30.2,30.2,30.4,30.0,30.0,31.2,30.2,
3,3,29eaefa6-e99b-473f-b9f2-797d41f3e34f,31.0,32.0,31.2,31.2,31.7,31.8,31.4,31.5,31.4,31.2,
4,4,0f8016ae-425b-49b8-bc2b-18debcc74ec6,30.0,,30.4,30.2,30.2,30.2,30.5,30.6,30.7,30.2,
5,5,0c566a1a-6259-4136-8c95-35c63d6c4950,30.2,29.6,29.3,29.3,29.2,29.3,29.3,29.7,30.0,29.1,
6,6,6182a201-8b8c-45db-a55a-6598ffd3a927,30.5,32.5,31.0,31.0,31.2,31.4,31.2,31.4,30.2,31.0,
7,7,91504913-b74b-44f6-93a7-dc25d7e01755,30.5,27.7,30.0,29.9,29.9,29.9,29.9,29.7,30.0,29.9,
8,8,ace623fa-d6ea-43f8-ab1e-20aacff55e93,30.2,30.0,30.0,29.9,29.9,29.8,29.9,29.4,30.2,29.8,
9,9,9c8a8a54-9956-4db7-9dd7-a6516da962eb,30.2,27.5,29.9,29.9,29.9,29.6,29.5,29.5,30.4,29.4,
10,10,b862a402-1f58-4f2e-8b08-ef405da86400,31.4,15.8,31.4,31.2,31.2,31.0,31.8,32.0,30.0,31.0,
11,11,60d28abb-7dac-476c-8369-3c336a995923,30.2,31.0,31.0,31.0,31.2,31.2,31.2,31.2,31.8,31.0,
12,18,d48e4ed2-73b5-4475-9af9-37684e3e599a,30.2,30.0,30.0,30.0,30.0,30.0,29.9,30.0,30.0,29.4,
13,39,0d739aa6-b977-4de0-82b4-97fd9a5b2199,31.2,27.7,31.0,31.0,31.0,31.0,30.2,30.9,30.8,30.9,
14,44,7ac2ca46-0a94-4202-99e3-cad96a2b1af0,31.0,31.0,30.9,30.8,30.8,30.9,31.0,30.7,30.0,30.2,
