Text,1: 12-13 0.5uM+,2: 12-13 0.2uM+,3: 14-15 0.5uM+,4: 14-15 0.2uM+,5: 12-13 0.5uM-,6: 12-13 0.2uM-,7: 14-15 0.5uM-,8: 14-15 0.2uM-
1,7.2159914970398,5.68856334686279,6.35385656356812,5.66872644424438,5.36812400817871,4.9225606918335,5.7267107963562,4.82185077667236
2,7.10612630844116,5.80758380889893,6.48203229904175,5.77248811721802,5.44441890716553,4.98054456710815,5.82436847686768,4.85236883163452
3,7.08628988265991,5.8960862159729,6.55985355377197,5.84267950057983,5.50240325927734,5.02174425125122,5.83352422714233,4.950026512146
4,7.14427423477173,5.92202663421631,6.6498818397522,5.93728542327881,5.58175039291382,5.07667636871338,5.92507839202881,4.89967203140259
5,7.14732599258423,5.99526977539063,6.73533248901367,5.99374389648438,5.62447547912598,5.11787605285645,5.99679565429688,5.05531406402588
6,7.19157695770264,6.01510620117187,6.78568696975708,6.04409837722778,5.63820838928223,5.13313484191895,6.01663255691528,4.98817443847656
7,7.6325626373291,6.11123847961426,6.86198234558105,6.11276435852051,5.69619274139404,5.16212701797485,6.04867649078369,4.99122619628906
8,7.78820466995239,6.16922235488892,6.93217372894287,6.15854120254517,5.7267107963562,5.20485258102417,6.06851291656494,4.98664855957031
9,7.94537258148193,6.22873258590698,6.98405408859253,6.22415494918823,5.77248811721802,5.23537063598633,6.11581611633301,5.08278036117554
10,7.90569925308228,6.21957731246948,6.99320983886719,6.22262907028198,5.75265121459961,5.23689651489258,6.12039375305176,5.06294345855713
11,7.67223644256592,6.24856948852539,7.00236511230469,6.25467300415039,5.75722885131836,5.25673294067383,6.12497138977051,5.1132984161377
12,7.8263521194458,6.30197620391846,7.075608253479,6.31418323516846,5.77706575393677,5.25978469848633,6.14175653457642,5.1346607208252
13,7.88891410827637,6.36148643493652,7.16716241836548,6.36301231384277,5.82284259796143,5.31776905059814,6.18448162078857,5.19417095184326
14,7.78515291213989,6.25314712524414,7.0481424331665,6.28213930130005,5.68856334686279,5.24452590942383,6.07919454574585,5.09346151351929
15,7.71648740768433,6.37369346618652,7.22972440719604,6.41489267349243,5.81673908233643,5.3543906211853,6.19363689422607,5.19722270965576
16,7.64019203186035,6.31570911407471,7.14274835586548,6.38590049743652,5.7145037651062,5.27809572219849,6.08529806137085,5.16823053359985
17,7.75768661499023,6.41641855239868,7.26634645462036,6.49118804931641,5.83199834823608,5.39253854751587,6.21042203903198,5.23689651489258
18,7.60967445373535,6.48508453369141,7.33196020126343,6.52018022537231,5.83810186386108,5.37880516052246,6.21499967575073,5.32082080841064
19,7.90417337417603,6.50034332275391,7.35179662704468,6.56443119049072,5.84115362167358,5.42305660247803,6.21194791793823,5.27656984329224
20,7.75158309936523,6.51102447509766,7.39604806900024,6.59342336654663,5.82894659042358,5.42458248138428,6.21347379684448,5.3421835899353
21,7.43114376068115,6.43472957611084,7.28618288040161,6.51102447509766,5.69924449920654,5.35286474227905,6.05020236968994,5.17280864715576
22,7.6203556060791,6.55832767486572,7.46318769454956,6.6498818397522,5.82284259796143,5.44136714935303,6.12191963195801,5.27809572219849
23,7.38231468200684,6.483558177948,7.38536643981934,6.61020851135254,5.7053484916687,5.37575340270996,6.07919454574585,5.18959331512451
24,7.36553001403809,6.57358646392822,7.48760223388672,6.68802928924561,5.74654769897461,5.42916011810303,6.08529806137085,5.23231840133667
25,7.32738208770752,6.52475786209106,7.4357213973999,6.62851905822754,5.62752723693848,5.3574423789978,5.94033718109131,5.1606011390686
26,7.4387731552124,6.62546730041504,7.67681407928467,6.72770261764526,5.68856334686279,5.41847848892212,6.03036546707153,5.20485258102417
27,7.82482624053955,6.63309669494629,7.78973054885864,6.70634031295776,5.57717227935791,5.31166553497314,5.93728542327881,5.12092781066895
28,8.41382503509522,6.8467230796814,8.26428604125977,6.82078266143799,5.68093395233154,5.36049461364746,6.01358032226563,5.1575493812561
29,8.86091423034668,6.98405408859253,8.88838005065918,6.81162738800049,5.58327627182007,5.29335451126099,5.98764038085938,5.04310655593872
30,10.60959815979,7.45403242111206,10.354772567749,6.96269178390503,5.67025232315063,5.33455419540405,6.12344551086426,5.07515048980713
31,13.6247806549072,8.11017036437988,12.7168684005737,7.05272006988525,5.61989784240723,5.25215530395508,6.21805143356323,4.96528577804565
32,18.7472343444824,9.64827919006348,17.6531620025635,7.44335079193115,5.86556816101074,5.30098438262939,6.67582225799561,5.02021837234497
33,25.7907981872559,11.8013277053833,24.8813610076904,7.82787799835205,6.04257249832153,5.22774076461792,7.26787233352661,4.92103433609009
34,35.1308479309082,15.6527042388916,35.8266563415527,8.82276630401611,6.6590371131897,5.28419923782349,8.67475414276123,4.97749280929565
35,43.419548034668,20.4760818481445,46.4591445922852,10.124361038208,7.48455047607422,5.25215530395508,10.8339052200317,4.95918226242065
36,50.7515068054199,26.4057369232178,57.0229644775391,12.4788284301758,9.26375198364258,5.34065771102905,14.4808120727539,5.08888387680054
37,55.2605476379395,31.2153816223145,63.5202560424805,15.3704128265381,11.8150606155396,5.39559030532837,19.6429386138916,5.17891216278076
38,58.5839614868164,35.294116973877,68.9005889892578,19.2065315246582,15.584038734436,5.58937978744507,25.5420761108398,5.50392913818359
39,59.951171875,37.2381172180176,70.5867080688477,22.3071632385254,19.3957424163818,5.88540458679199,30.4417495727539,5.96322584152222
40,61.2909126281738,39.1546516418457,72.730598449707,25.5573348999023,23.5370407104492,6.52018022537231,35.190357208252,6.88181877136231

