Text,X,1: 12-13 0.5uM+,X,2: 12-13 0.2uM+,X,3: 14-15 0.5uM+,X,4: 14-15 0.2uM+,X,5: 12-13 0.5uM-,X,6: 12-13 0.2uM-,X,7: 14-15 0.5uM-,X,8: 14-15 0.2uM-
59.99,59.99,26.6468296051025,60.87,7.79430818557739,60.95,56.368350982666,61,9.61470985412598,60.96,8.57862186431885,60.9,4.47852277755737,60.89,24.3656063079834,60.88,5.00190734863281
60.99,60.99,27.483024597168,61.05,7.89196634292602,61.07,57.8591575622559,61.08,9.87716484069824,61.1,8.83955097198486,61.14,4.54566240310669,61.16,25.1682300567627,61.2,4.83558416366577
61.27,61.27,27.9514770507813,61.37,7.86907768249512,61.39,58.2162208557129,61.42,9.94277858734131,61.45,8.92042446136475,61.46,4.52887773513794,61.47,25.5420761108398,61.5,4.70893430709839
61.64,61.64,27.8553447723389,61.77,7.77294588088989,61.79,57.9110412597656,61.82,9.84359455108643,61.84,8.83802509307861,61.85,4.48462677001953,61.86,25.5512313842773,61.89,4.59296560287476
62.1,62.1,27.8187236785889,62.17,7.63103675842285,62.2,57.5509262084961,62.23,9.78103256225586,62.27,8.70984935760498,62.3,4.3900203704834,62.32,25.4139003753662,62.34,4.47089338302612
62.54,62.54,27.4860763549805,62.61,7.47539472579956,62.64,56.743724822998,62.67,9.63607215881348,62.7,8.57557010650635,62.73,4.30151844024658,62.76,25.1621265411377,62.79,4.35339879989624
62.95,62.95,27.1351184844971,63.11,7.30754566192627,63.14,55.8358116149902,63.17,9.46364498138428,63.2,8.40924739837646,63.22,4.21301603317261,63.23,24.8187999725342,63.25,4.24658584594727
63.45,63.45,26.7322807312012,63.6,7.12901496887207,63.65,55.1247406005859,63.67,9.31868457794189,63.68,8.22919082641602,63.68,4.12756538391113,63.69,24.4907302856445,63.72,4.14282464981079
63.98,63.98,26.2623023986816,64.14,6.97795057296753,64.18,54.0596618652344,64.18,9.12642097473145,64.17,8.06134128570557,64.18,4.04364061355591,64.19,24.0970478057861,64.23,4.04364061355591
64.47,64.47,25.8808269500732,64.63,6.79636812210083,64.68,53.1639595031738,64.72,8.9372091293335,64.74,7.84008550643921,64.77,3.93072414398193,64.79,23.5370407104492,64.82,3.93987941741943
65.08,65.08,25.3192958831787,65.21,6.6437783241272,65.26,52.1217651367188,65.3,8.7525749206543,65.34,7.65392541885376,65.36,3.84222173690796,65.38,23.0930042266846,65.41,3.84527349472046
65.64,65.64,24.8523693084717,65.75,6.49271392822266,65.76,51.2321662902832,65.78,8.59082889556885,65.8,7.50896453857422,65.84,3.74608993530273,65.87,22.6550693511963,65.91,3.75066757202148
66.14,66.14,24.3335628509521,66.34,6.32028675079346,66.34,50.2830543518066,66.35,8.40924739837646,66.37,7.31670093536377,66.41,3.66674304008484,66.44,22.1759357452393,66.49,3.67742419242859
66.72,66.72,23.8147563934326,66.87,6.17990398406982,66.89,49.2851142883301,66.92,8.2169828414917,66.95,7.14274835586548,66.98,3.59349966049194,67.01,21.7303733825684,67.05,3.59349966049194
67.22,67.22,23.4042873382568,67.43,6.04562425613403,67.46,48.2612342834473,67.49,8.05066013336182,67.51,6.98710632324219,67.54,3.50194549560547,67.57,21.2634468078613,67.64,3.5187304019928
67.77,67.77,22.8961620330811,67.99,5.9143967628479,68.01,47.3838424682617,68.03,7.87670707702637,68.04,6.81010150909424,68.07,3.4332799911499,68.09,20.8331432342529,68.13,3.45616841316223
68.4,68.4,22.404821395874,68.56,5.77859163284302,68.6,46.3782730102539,68.62,7.74395370483398,68.64,6.65445947647095,68.65,3.36003661155701,68.66,20.3967342376709,68.69,3.38597702980041
68.96,68.96,22.0325012207031,69.07,5.67025232315063,69.11,45.4322128295898,69.15,7.54100847244263,69.2,6.50034332275391,69.25,3.29137110710144,69.27,19.8962383270264,69.31,3.30510425567627
69.53,69.53,21.5030136108398,69.66,5.54360246658325,69.69,44.3854446411133,69.73,7.40825510025024,69.76,6.34927892684937,69.79,3.21965360641479,69.81,19.5178146362305,69.85,3.25017166137695
70.08,70.08,21.0193023681641,70.24,5.40932321548462,70.3,43.553825378418,70.34,7.25261306762695,70.36,6.19516277313232,70.39,3.15556573867798,70.41,19.0463104248047,70.44,3.18455791473389
70.77,70.77,20.5371170043945,70.83,5.28877687454224,70.87,42.6306571960449,70.92,7.057297706604,70.97,6.03646898269653,71.03,3.08537411689758,71.07,18.5610733032227,71.13,3.12047004699707
71.31,71.31,20.0656147003174,71.48,5.17128229141235,71.52,41.5548934936523,71.57,6.90318155288696,71.6,5.89456033706665,71.64,3.0319676399231,71.65,18.1795978546143,71.67,3.0640115737915
71.95,71.95,19.539176940918,72.06,5.06294345855713,72.09,40.7431144714355,72.12,6.75822067260742,72.15,5.75570297241211,72.19,2.96330213546753,72.22,17.7492942810059,72.25,3.00907921791077
72.5,72.5,19.0905628204346,72.64,4.9637598991394,72.67,39.7772178649902,72.7,6.58121633529663,72.74,5.61532020568848,72.77,2.91599917411804,72.8,17.3495082855225,72.84,2.95414662361145
