Text,1: ACTB+,2: ACTB-,3: FAM+,4: FAM-,5: CF640+,6: CF640-
1,1.08339059352875,1.06813156604767,12.8206300735474,11.9417104721069,1.0879682302475,1.17341876029968
2,1.09407186508179,1.07728695869446,12.1232929229736,11.2687873840332,1.09254598617554,1.17341876029968
3,1.09102010726929,1.07270920276642,11.5922784805298,10.7103071212769,1.084916472435,1.16578924655914
4,1.09254598617554,1.07728695869446,11.2825212478638,10.4295415878296,1.08644235134125,1.17036700248718
5,1.08644235134125,1.07728695869446,10.9941253662109,10.2403297424316,1.08949410915375,1.16731512546539
6,1.09254598617554,1.07881283760071,10.7331962585449,10.0038146972656,1.084916472435,1.16426336765289
7,1.0879682302475,1.08033871650696,10.5851831436157,9.81918048858643,1.08033871650696,1.15968561172485
8,1.084916472435,1.07881283760071,10.403600692749,9.61318397521973,1.08186459541321,1.16426336765289
9,1.08644235134125,1.07881283760071,10.2800025939941,9.48500823974609,1.08339059352875,1.16578924655914
10,1.08339059352875,1.07881283760071,10.1670866012573,9.35072898864746,1.08033871650696,1.16578924655914
11,1.08033871650696,1.08033871650696,10.0572214126587,9.28664112091064,1.08644235134125,1.16273748874664
12,1.0879682302475,1.08033871650696,10.0038146972656,9.21644878387451,1.07881283760071,1.16121160984039
13,1.084916472435,1.08033871650696,9.95498561859131,9.1218433380127,1.08339059352875,1.16273748874664
14,1.08949410915375,1.08033871650696,9.86648368835449,8.95704555511475,1.07881283760071,1.16273748874664
15,1.08186459541321,1.08033871650696,9.79171466827393,8.95094203948975,1.084916472435,1.16731512546539
16,1.084916472435,1.08033871650696,9.72152328491211,8.90363883972168,1.08186459541321,1.15968561172485
17,1.08339059352875,1.084916472435,9.68490123748779,8.84260272979736,1.084916472435,1.16426336765289
18,1.08644235134125,1.08644235134125,9.60250282287598,8.77241134643555,1.08339059352875,1.16273748874664
19,1.08949410915375,1.084916472435,9.60250282287598,8.7525749206543,1.08339059352875,1.16121160984039
20,1.0879682302475,1.084916472435,9.55672550201416,8.66407299041748,1.0879682302475,1.16731512546539
21,1.09102010726929,1.08644235134125,9.51247406005859,8.67017650604248,1.08644235134125,1.16273748874664
22,1.09254598617554,1.084916472435,9.55367374420166,8.60608863830566,1.09407186508179,1.16731512546539
23,1.10170137882233,1.0879682302475,9.60402870178223,8.61524391174316,1.10475313663483,1.16426336765289
24,1.11085677146912,1.084916472435,9.73373031616211,8.55420780181885,1.12153816223145,1.17036700248718
25,1.13221943378448,1.0879682302475,9.93667507171631,8.48706817626953,1.15205609798431,1.16731512546539
26,1.15968561172485,1.08644235134125,10.4341192245483,8.51758575439453,1.20088505744934,1.16731512546539
27,1.20698857307434,1.08949410915375,11.1238269805908,8.47333526611328,1.28175783157349,1.17189288139343
28,1.27718007564545,1.084916472435,12.1812772750854,8.45654964447021,1.39009690284729,1.16884112358093
29,1.36873424053192,1.09102010726929,13.4187841415405,8.43976497650146,1.53200578689575,1.17494463920593
30,1.47096967697144,1.09102010726929,14.9294271469116,8.41077327728271,1.6800183057785,1.16731512546539
31,1.60067141056061,1.084916472435,16.3607234954834,8.3680477142334,1.84176397323608,1.17189288139343
32,1.72274363040924,1.09102010726929,17.917142868042,8.34821128845215,2.00503540039062,1.17036700248718
33,1.83871209621429,1.0879682302475,19.3469142913818,8.33600330352783,2.15457391738892,1.17494463920593
34,1.93789577484131,1.08949410915375,20.8804454803467,8.30853748321533,2.30258631706238,1.17036700248718
35,2.01266503334045,1.0879682302475,22.3712520599365,8.31921863555908,2.45365071296692,1.17036700248718
36,2.07522702217102,1.09102010726929,23.7735557556152,8.26428604125977,2.58945608139038,1.17036700248718
37,2.11184859275818,1.08949410915375,25.2109565734863,8.28259754180908,2.74052023887634,1.17494463920593
38,2.13626313209534,1.08949410915375,26.65598487854,8.27496719360352,2.87479972839355,1.17647063732147
39,2.15152215957642,1.08949410915375,28.0186157226562,8.29633045196533,3.00450134277344,1.17647063732147
40,2.16220331192017,1.08949410915375,29.4361782073975,8.23682022094727,3.12809944152832,1.17799651622772
41,2.16525530815125,1.084916472435,30.8735790252686,8.21850872039795,3.26543068885803,1.17647063732147
42,2.175936460495,1.09102010726929,32.3521766662598,8.23834609985352,3.37987327575684,1.17952239513397
43,2.18814373016357,1.09102010726929,33.7209129333496,8.21545696258545,3.49889373779297,1.18104827404022
44,2.19272136688232,1.09102010726929,35.1171112060547,8.2017240524292,3.61181044578552,1.17952239513397
45,2.19729924201965,1.09407186508179,36.385139465332,8.21545696258545,3.73235678672791,1.17952239513397

