timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Output
1039.384,26.5,26.5,70,70,25.01,100
1039.384,26.5,26.5,70,70,25.01,100
1039.384,26.5,26.5,70,70,25.01,100
1039.384,26.5,26.5,70,70,25.01,100
1039.384,26.5,26.5,70,70,25.01,100
1039.534,26.5,26.5,70,70,25.01,100
1039.534,26.5,26.5,70,70,25.01,100
1039.534,26.5,26.5,70,70,25.01,100
1039.534,26.5,26.5,70,70,25.01,100
1039.534,26.5,26.5,70,70,25.01,100
1039.534,26.5,26.5,70,70,25.01,100
1039.684,26.54,26.54,70,70,,100
1039.684,26.54,26.54,70,70,,100
1039.684,26.54,26.54,70,70,,100
1039.684,26.54,26.54,70,70,,100
1039.684,26.54,26.54,70,70,,100
1039.833,26.75,26.75,70,70,,100
1039.833,26.75,26.75,70,70,,100
1039.833,26.75,26.75,70,70,,100
1039.833,26.75,26.75,70,70,,100
1039.833,26.75,26.75,70,70,,100
1039.983,27.42,27.42,70,70,,100
1039.983,27.42,27.42,70,70,,100
1039.983,27.42,27.42,70,70,,100
1039.983,27.42,27.42,70,70,,100
1039.983,27.42,27.42,70,70,,100
1040.133,28.2,28.2,70,70,24.94,100
1040.133,28.2,28.2,70,70,24.94,100
1040.133,28.2,28.2,70,70,24.94,100
1040.133,28.2,28.2,70,70,24.94,100
1040.133,28.2,28.2,70,70,24.94,100
1040.133,28.2,28.2,70,70,24.94,100
1040.283,29.16,29.16,70,70,,100
1040.283,29.16,29.16,70,70,,100
1040.283,29.16,29.16,70,70,,100
1040.283,29.16,29.16,70,70,,100
1040.283,29.16,29.16,70,70,,100
1040.434,30.64,30.64,70,70,,100
1040.434,30.64,30.64,70,70,,100
1040.434,30.64,30.64,70,70,,100
1040.434,30.64,30.64,70,70,,100
1040.434,30.64,30.64,70,70,,100
1040.584,31.84,31.84,70,70,,100
1040.584,31.84,31.84,70,70,,100
1040.584,31.84,31.84,70,70,,100
1040.584,31.84,31.84,70,70,,100
1040.584,31.84,31.84,70,70,,100
1040.734,33.08,33.08,70,70,24.98,100
1040.734,33.08,33.08,70,70,24.98,100
1040.734,33.08,33.08,70,70,24.98,100
1040.734,33.08,33.08,70,70,24.98,100
1040.734,33.08,33.08,70,70,24.98,100
1040.734,33.08,33.08,70,70,24.98,100
1040.884,34.79,34.79,70,70,,100
1040.884,34.79,34.79,70,70,,100
1040.884,34.79,34.79,70,70,,100
1040.884,34.79,34.79,70,70,,100
1040.884,34.79,34.79,70,70,,100
1041.034,36.07,36.07,70,70,,100
1041.034,36.07,36.07,70,70,,100
1041.034,36.07,36.07,70,70,,100
1041.034,36.07,36.07,70,70,,100
1041.034,36.07,36.07,70,70,,100
1041.184,37.37,37.37,70,70,,100
1041.184,37.37,37.37,70,70,,100
1041.184,37.37,37.37,70,70,,100
1041.184,37.37,37.37,70,70,,100
1041.184,37.37,37.37,70,70,,100
1041.334,39.1,39.1,70,70,24.91,100
1041.334,39.1,39.1,70,70,24.91,100
1041.334,39.1,39.1,70,70,24.91,100
1041.334,39.1,39.1,70,70,24.91,100
1041.334,39.1,39.1,70,70,24.91,100
1041.334,39.1,39.1,70,70,24.91,100
1041.484,40.38,40.38,70,70,,100
1041.484,40.38,40.38,70,70,,100
1041.484,40.38,40.38,70,70,,100
1041.484,40.38,40.38,70,70,,100
1041.484,40.38,40.38,70,70,,100
1041.634,41.66,41.66,70,70,,100
1041.634,41.66,41.66,70,70,,100
1041.634,41.66,41.66,70,70,,100
1041.634,41.66,41.66,70,70,,100
1041.634,41.66,41.66,70,70,,100
1041.784,43.33,43.33,70,70,,100
1041.784,43.33,43.33,70,70,,100
1041.784,43.33,43.33,70,70,,100
1041.784,43.33,43.33,70,70,,100
1041.784,43.33,43.33,70,70,,100
1041.934,44.57,44.57,70,70,24.97,100
1041.934,44.57,44.57,70,70,24.97,100
1041.934,44.57,44.57,70,70,24.97,100
1041.934,44.57,44.57,70,70,24.97,100
1041.934,44.57,44.57,70,70,24.97,100
1041.934,44.57,44.57,70,70,24.97,100
1042.084,45.81,45.81,70,70,,100
1042.084,45.81,45.81,70,70,,100
1042.084,45.81,45.81,70,70,,100
1042.084,45.81,45.81,70,70,,100
1042.084,45.81,45.81,70,70,,100
1042.234,47.41,47.41,70,70,,100
1042.234,47.41,47.41,70,70,,100
1042.234,47.41,47.41,70,70,,100
1042.234,47.41,47.41,70,70,,100
1042.234,47.41,47.41,70,70,,100
1042.384,48.6,48.6,70,70,,100
1042.384,48.6,48.6,70,70,,100
1042.384,48.6,48.6,70,70,,100
1042.384,48.6,48.6,70,70,,100
1042.384,48.6,48.6,70,70,,100
1042.534,49.78,49.78,70,70,24.94,100
1042.534,49.78,49.78,70,70,24.94,100
1042.534,49.78,49.78,70,70,24.94,100
1042.534,49.78,49.78,70,70,24.94,100
1042.534,49.78,49.78,70,70,24.94,100
1042.534,49.78,49.78,70,70,24.94,100
1042.684,51.3,51.3,70,70,,100
1042.684,51.3,51.3,70,70,,100
1042.684,51.3,51.3,70,70,,100
1042.684,51.3,51.3,70,70,,100
