,channel,metric,mean diff,sig diff mean,std diff,sig diff std,config 0 std of means,config 0 std of stds,config 1 std of means,config 1 std of stds
0,415,cq,1.1236666666666686,True,-0.05770653838453127,False,0.38908725099762537,0.4302372669590128,0.20266666666666747,0.0625750249871573
1,415,fmax,-10.103333333333333,True,-1.3576315630547353,False,2.641758673476608,1.9686164417018,0.7110555533852466,0.9005269699436588
2,415,mean pcr,-42.84851851851851,True,-5.647806632989962,False,9.435639148748994,6.322843313719505,2.9979585189270264,4.610502106441683
3,415,melt range,-5.246666666666668,True,-0.46689226266687744,False,1.783878421367954,1.037057274289682,0.3804091364716561,0.3166864395306203
4,415,melt start,-43.68666666666665,True,-7.39251110728094,False,9.512564790259717,6.449025802312577,2.4849413138610217,3.7799698499018732
5,415,melt stop,-38.440000000000005,True,-8.01806292100623,True,9.113116310510302,6.584606830689797,2.605839595984373,3.803602345565404
6,415,pcr min,-40.09333333333333,True,-5.683899198067925,False,8.970569163164127,6.096868344447361,2.6477999253048647,4.510217535142256
7,415,pcr start,-41.59333333333335,True,-4.558353123151518,False,8.745538545135139,6.261738941334824,2.7785207895169295,4.4306199541240945
8,415,pcr stop,-50.153333333333336,True,-5.130159567243077,False,10.240225691957296,7.0696762274861555,3.642807220323969,5.136456307349841
9,415,reverse cq,0.3000000000000007,False,0.5327315024637622,False,1.730767331432956,1.2997428962993847,1.7549928774784245,2.19260119492807
10,445,cq,3.453333333333344,False,-2.4870337159454947,False,3.425823501972433,2.4344882310345026,1.5951314818673874,1.9328284886424794
11,445,fmax,-119.55999999999997,True,-160.73250168378183,False,96.67301128604151,160.139407813863,14.257604598560336,14.012090820552137
12,445,mean pcr,-1257.6285185185184,True,-607.023984899087,True,257.62683975551585,256.4845154858732,110.16789009362827,94.27093382318162
13,445,melt range,-57.86666666666666,True,-39.82264714029681,False,41.78840881286473,52.094941449177895,4.25258091568455,3.370665097539661
14,445,melt start,-1268.21,True,-628.7843110119495,True,321.1330098261467,244.8614863813205,120.16148097918528,96.65834014083322
15,445,melt stop,-1208.5099999999998,True,-607.8931969344635,True,284.1723283893458,233.4321883063108,123.82339825556217,92.24093582012551
16,445,pcr min,-1183.6366666666668,True,-568.0355067635269,True,161.0296211536526,260.07368169963354,98.9074665196381,88.53645803469139
17,445,pcr start,-1249.4733333333336,True,-567.8329274945651,True,188.56893817499332,273.86213077694725,96.69817049860755,88.534675559336
18,445,pcr stop,-1322.8200000000002,True,-648.5684556384674,True,347.66398848441133,260.6886026603078,121.49284313626599,101.79088832408783
19,445,reverse cq,2.3499999999999996,False,0.253570214625479,False,2.939387691339814,1.0,5.356071321407137,0.0
20,480,cq,0.9753333333333281,True,0.3239092860341768,True,0.2327612033346138,0.15462571133934422,0.2678440674057294,0.11797149785671457
21,480,fmax,-539.9133333333331,True,-37.87402124249547,False,129.96614943899814,71.84669361395524,21.87212939895071,42.87094002819311
22,480,mean pcr,-730.0067407407406,True,-0.7786846610839007,False,95.00338066614921,32.642031823598394,62.01090860200397,40.42964614116304
23,480,melt range,-251.87333333333333,True,-17.986194005543844,False,67.10820449923473,37.99332861894092,15.518510810569992,12.02304926370706
24,480,melt start,-803.7799999999999,True,-52.09700136986051,True,99.95710190988041,20.775708360817823,33.49484603802667,26.724414031701293
25,480,melt stop,-551.9066666666666,True,-67.92969060032875,True,96.62113870393189,40.74317422408883,36.76724629340631,21.122792145148946
26,480,pcr min,-624.4266666666665,True,-26.12824096301736,False,80.88741146391897,49.23923245687421,58.30056374798903,44.155096569358186
27,480,pcr start,-659.78,True,-10.9374361940595,False,82.27274423795798,59.82030711691335,61.30918945077575,50.43664200694065
28,480,pcr stop,-1145.153333333333,True,3.068411912665397,False,177.79733781284054,60.843226773597884,82.51553281386207,62.168735244160764
29,480,reverse cq,1.916666666666666,False,3.7078531458908093,True,0.5333333333333333,0.0,3.0168047850517454,0.035693895543914334
30,515,cq,0.8610000000000007,True,0.27504634596171595,True,0.28049559315215317,0.14837435204111585,0.30124482475960357,0.12185807035185603
31,515,fmax,-291.0433333333333,True,-22.206778474694048,False,80.94428124745235,21.82490349037098,13.6086639069871,19.928419820633952
32,515,mean pcr,-120.46770370370362,True,18.97094881190428,False,52.38073571266185,13.084190761157393,27.717483780595447,33.17393740907118
33,515,melt range,-135.45666666666668,True,-3.425498905216905,False,41.94730821717487,17.011368832535307,9.840740712861907,5.304264820169652
34,515,melt start,-155.73333333333335,True,-0.0053750857149807985,False,44.77469523439922,14.747651045404929,10.735196525655434,7.706261869510615
35,515,melt stop,-20.276666666666664,True,3.5002234142055126,False,3.849819620594075,2.363759744752152,2.5237009859859922,4.079365841037726
36,515,pcr min,-69.40333333333334,True,19.434638357690464,False,36.844432716792134,19.410451884924257,24.241796779758534,29.727298560383996
37,515,pcr start,-84.86666666666673,True,40.900565880836616,True,46.63427447227582,17.20122161001094,27.917815896743143,17.83845816779571
38,515,pcr stop,-345.0433333333332,True,14.094832087468063,False,112.17977139890733,44.85204264076255,43.5996044834252,43.136422616666415
39,515,reverse cq,-0.13666666666666671,False,0.7915623245637802,False,1.183685393637647,1.2798421962272517,0.8818163074019443,1.5960750331302853
40,555,cq,0.9339999999999975,True,0.4176821772832659,True,0.2935605180840533,0.1545143776820784,0.3457577829123224,0.2147841369648876
41,555,fmax,-93.72999999999996,True,-2.1860696976986063,False,22.571589812564525,6.557856594968547,4.435292800055281,5.698209240119639
42,555,mean pcr,-55.76659259259259,True,6.014354768256606,False,15.457757101058883,5.846525539633814,10.35904068520321,10.888600682036301
