DATAQ: | Stg1ThermoTempC = 27.79 | stg1AltThermoTempC2 = 23.82 | stg1AltThermoTempC3 = 21.88  |
DATAQ: | Stg1ThermoTempC = 28.57 | stg1AltThermoTempC2 = 23.88 | stg1AltThermoTempC3 = 22.14  |
DATAQ: | Stg1ThermoTempC = 29.84 | stg1AltThermoTempC2 = 24.04 | stg1AltThermoTempC3 = 22.71  |
DATAQ: | Stg1ThermoTempC = 30.61 | stg1AltThermoTempC2 = 24.08 | stg1AltThermoTempC3 = 23.01  |
DATAQ: | Stg1ThermoTempC = 31.92 | stg1AltThermoTempC2 = 24.24 | stg1AltThermoTempC3 = 23.97  |
DATAQ: | Stg1ThermoTempC = 32.7 | stg1AltThermoTempC2 = 24.38 | stg1AltThermoTempC23= 24.32  |
DATAQ: | Stg1ThermoTempC = 33.64 | stg1AltThermoTempC2 = 24.46 | stg1AltThermoTempC3 = 25.14  |
DATAQ: | Stg1ThermoTempC = 34.37 | stg1AltThermoTempC2 = 24.46 | stg1AltThermoTempC3 = 25.51  |
DATAQ: | Stg1ThermoTempC = 35.55 | stg1AltThermoTempC2 = 24.74 | stg1AltThermoTempC3 = 26.48  |
DATAQ: | Stg1ThermoTempC = 36.15 | stg1AltThermoTempC2 = 24.8 | stg1AltThermoTempC23= 26.73  |
DATAQ: | Stg1ThermoTempC = 37.32 | stg1AltThermoTempC2 = 25.1 | stg1AltThermoTempC23= 27.76  |
DATAQ: | Stg1ThermoTempC = 38.06 | stg1AltThermoTempC2 = 25.31 | stg1AltThermoTempC3 = 28.01  |
DATAQ: | Stg1ThermoTempC = 39.12 | stg1AltThermoTempC2 = 25.66 | stg1AltThermoTempC3 = 28.94  |
DATAQ: | Stg1ThermoTempC = 39.85 | stg1AltThermoTempC2 = 25.94 | stg1AltThermoTempC3 = 29.28  |
DATAQ: | Stg1ThermoTempC = 40.87 | stg1AltThermoTempC2 = 26.4 | stg1AltThermoTempC23= 30.19  |
DATAQ: | Stg1ThermoTempC = 41.51 | stg1AltThermoTempC2 = 26.81 | stg1AltThermoTempC3 = 30.62  |
DATAQ: | Stg1ThermoTempC = 42.95 | stg1AltThermoTempC2 = 27.41 | stg1AltThermoTempC3 = 32.05  |
DATAQ: | Stg1ThermoTempC = 44.49 | stg1AltThermoTempC2 = 27.82 | stg1AltThermoTempC3 = 32.58  |
DATAQ: | Stg1ThermoTempC = 47.29 | stg1AltThermoTempC2 = 28.61 | stg1AltThermoTempC3 = 34.13  |
DATAQ: | Stg1ThermoTempC = 48.16 | stg1AltThermoTempC2 = 29.14 | stg1AltThermoTempC3 = 34.56  |
DATAQ: | Stg1ThermoTempC = 48.4 | stg1AltThermoTempC2 = 29.91 | stg1AltThermoTempC23= 35.99  |
DATAQ: | Stg1ThermoTempC = 48.64 | stg1AltThermoTempC2 = 30.44 | stg1AltThermoTempC3 = 36.44  |
DATAQ: | Stg1ThermoTempC = 49.89 | stg1AltThermoTempC2 = 31.27 | stg1AltThermoTempC3 = 37.76  |
DATAQ: | Stg1ThermoTempC = 51.31 | stg1AltThermoTempC2 = 31.82 | stg1AltThermoTempC3 = 38.22  |
DATAQ: | Stg1ThermoTempC = 51.41 | stg1AltThermoTempC2 = 32.7 | stg1AltThermoTempC23= 39.36  |
DATAQ: | Stg1ThermoTempC = 52.36 | stg1AltThermoTempC2 = 33.34 | stg1AltThermoTempC3 = 39.7  |
DATAQ: | Stg1ThermoTempC = 54.03 | stg1AltThermoTempC2 = 34.22 | stg1AltThermoTempC3 = 40.93  |
DATAQ: | Stg1ThermoTempC = 54.45 | stg1AltThermoTempC2 = 34.67 | stg1AltThermoTempC3 = 41.32  |
DATAQ: | Stg1ThermoTempC = 55.28 | stg1AltThermoTempC2 = 35.59 | stg1AltThermoTempC3 = 42.46  |
DATAQ: | Stg1ThermoTempC = 55.71 | stg1AltThermoTempC2 = 36.13 | stg1AltThermoTempC3 = 42.88  |
DATAQ: | Stg1ThermoTempC = 56.54 | stg1AltThermoTempC2 = 37.05 | stg1AltThermoTempC3 = 43.81  |
