consumable/lot,numericValue
TKM-1664,1.262
TKM-1789,1.014
TKM-1719,1.164
TKM-1820,1.244
TKM-1636,1.072
TKM-1613,0.944
TKM-1657,1.022
TKM-1750,1.268
TKM-1729,1.294
TKM-1771,1.195
TKM-1751,1.261
TKM-1636,1.144
TKM-1636,
TKM-1856,1.1
TKM-1657,1.118
TKM-1829,1.3
TKM-1773,0.922
TKM-1651,1.194
TKM-1651,1.27
TKM-1790,1.224
TKM-1750,1.192
TKM-1856,1.204
TKM-1667,1.04
TKM-1750,1.26
TKM-1925,1.3
TKM-1749,1.252
TKM-1881,1.243
TKM-1694,1.195
TKM-1790,1.283
TKM-1830,1.139
TKM-1881,1.326
TKM-1790,1.261
TKM-1572,1.22
3221,1.202
TKM-1751,1.259
TKM-1636,1.276
TKM-1694,1.1
TKM-1697,1.031
TKM-1947,1.1
TKM-2033,1.3
TKM-1966,1.3
TKM-1829,1.267
TKM-1572,1.237
TKM-1667,1.046
TKM-1751,1.25
TKM-1667,1.13
TKM-1684,1.079
TKM-1949,1
TKM-1651,1.223
TKM-1948,1.2
TKM-1613,1.073
TKM-1750,1.25
TKM-1856,1.227
TKM-1856,1.3
TKM-1751,1.325
TKM-1790,1.29
TKM-1830,1.258
TKM-1751,1.235
TKM-1684,1.079
TKM-1750,1.259
TKM-1694,1.2
TKM-1925,1.3
TKM-1664,1.28
TKM-1657,1.032
TKM-1789,1.201
TKM-1790,1.227
TKM-1749,1.178
TKM-1657,1.062
TKM-1664,1.267
TKM-1729,1.361
TKM-1667,1.098
TKM-1775,1.162
TKM-1604,1.328
TKM-1953,1.3
TKM-1636,1.031
TKM-1694,1.281
TKM-1830,1.2
TKM-1636,1.26
TKM-1949,1.3
TKM-1947,1.3
TKM-1856,1.2
TKM-1697,1.147
TKM-1882,1.383
TKM-1830,1.231
TKM-1767,1.141
TKM-1657,1.073
TKM-1664,1.328
TKM-1954,1.3
TKM-1572,1.235
TKM-1751,1.288
TKM-1970,1.3
TKM-1572,1.26
TKM-1689,0.985
TKM-1856,1.2
TKM-1750,1.267
TKM-1966,1.3
TKM-1648,1.073
TKM-1636,1.198
TKM-1969,1.3
TKM-1667,1.037
TKM-1952,1.2
TKM-1790,1.332
TKM-1657,1.134
TKM-1875,1.221
TKM-1657,1.172
TKM-1687,1.051
TKM-1750,1.252
TKM-1925,1.4
TKM-1750,1.207
TKM-2009,1.2
TKM-1657,1.016
TKM-1657,1.113
TKM-1572,1.239
TKM-1664,1.205
TKM-1751,1.206
TKM-1572,1.243
TKM-1789,1.272
TKM-1636,1.265
TKM-1910,1.3
TKM-1651,1.226
TKM-1688,0.935
TKM-1949,1.2
TKM-1750,1.27
TKM-1966,1.3
TKM-1856,1.3
TKM-1657,0.513
TKM-1874,1.224
TKM-1636,1.147
TKM-1598,1.07
TKM-1657,1.256
TKM-1751,1.293
TKM-1749,1.385
TKM-1829,1.292
TKM-1952,1.3
TKM-1750,1.162
TKM-1636,1.226
TKM-1742,1.037
TKM-1769,1.032
TKM-1910,1.4
TKM-1881,1.347
TKM-1830,1.304
TKM-1751,1.271
TKM-1694,1.195
TKM-1657,1.029
TKM-1667,1.031
TKM-1914,1.3
3221,1.145
TKM-1790,1.193
TKM-2009,1.3
TKM-1856,1.2
TKM-1926,1.3
TKM-1830,1.3
TKM-1572,1.262
TKM-1899,1.2
3221,1.235
TKM-1750,1.255
TKM-2009,1.3
TKM-1636,1.085
TKM-1636,1.038
TKM-1749,1.271
TKM-1856,1.1
TKM-1830,1.251
TKM-1952,1.3
TKM-1689,1.056
