consumable/lot,numericValue
TKM-1773,1.065
TKM-1636,1.24
TKM-1913,1.2
TKM-2033,1.3
TKM-1771,1.264
TKM-1749,1.291
TKM-1790,1.31
TKM-1829,1.33
TKM-1749,1.249
TKM-1636,1.005
TKM-1657,1.1
TKM-1613,1.052
TKM-1775,0.9
TKM-1829,1.3
TKM-1694,1.2
TKM-1856,1.3
TKM-1899,1.2
TKM-1729,1.254
TKM-1572,1.207
TKM-1925,1.2
TKM-1651,1.234
TKM-1667,1.052
TKM-1830,1.3
TKM-1773,1.106
TKM-1913,1.3
TKM-1789,1.298
TKM-1750,1.275
TKM-1729,1.292
TKM-1664,1.252
TKM-1949,1.1
TKM-1572,1.27
TKM-1790,1.147
TKM-1636,1.287
TKM-1662,1.011
TKM-1856,1.1
TKM-1875,1.152
TKM-1769,1.041
TKM-1750,1.251
TKM-1830,1.3
TKM-1874,1.196
TKM-1830,1.306
TKM-1664,1.247
TKM-1651,1.242
TKM-1657,1.066
TKM-1667,1.048
TKM-1856,1.2
TKM-1667,1.051
TKM-1966,1.4
TKM-1598,1.073
TKM-1882,1.151
TKM-1613,1.13
TKM-1664,1.226
TKM-1572,1.229
TKM-1769,1.176
TKM-1948,1.354
TKM-1947,1.3
TKM-1667,1.143
TKM-1636,1.025
TKM-1657,0.978
TKM-1947,1.3
TKM-1777,1.145
TKM-1684,1.087
TKM-1750,1.258
TKM-1751,1.225
TKM-1572,1.303
TKM-1651,1.072
TKM-1648,1.127
TKM-1969,1.3
TKM-1684,1.078
TKM-1874,1.169
TKM-1881,1.147
TKM-1913,1.3
TKM-1667,1.01
TKM-1657,1.065
TKM-1771,1.138
TKM-1636,1.195
TKM-1881,1.321
TKM-1970,1.3
TKM-1875,1.16
TKM-1829,1.2
TKM-1829,1.402
TKM-1572,1.199
TKM-1966,1.4
TKM-1830,1.3
TKM-1969,1.3
TKM-1966,1.2
TKM-1648,1.094
TKM-1751,1.302
TKM-1830,1.31
3221,1.183
TKM-1829,1.3
TKM-1944,1.4
TKM-1771,1.057
TKM-1882,1.336
TKM-1664,1.163
TKM-1944,1.3
TKM-1856,1.2
TKM-1636,1.222
TKM-1749,1.336
TKM-1689,1.036
TKM-1790,1.296
TKM-1789,1.079
TKM-1648,1.136
TKM-1881,1.441
TKM-2033,1.3
TKM-1598,1.213
TKM-1667,1.146
TKM-1954,1.4
TKM-1664,1.243
TKM-1664,1.268
TKM-2033,1.3
TKM-1829,1.29
TKM-1829,1.3
TKM-2008,1.401
TKM-1750,1.199
TKM-1830,1.379
TKM-1689,1.079
TKM-1751,1.293
TKM-1953,1.4
TKM-1636,1.241
TKM-1636,1.227
TKM-1648,1.054
TKM-1657,1.123
TKM-1820,1.085
TKM-1829,1.323
TKM-1856,1
TKM-1830,1.4
TKM-1790,1.32
TKM-1750,1.304
TKM-1688,1.085
TKM-1970,1.3
TKM-1970,1.3
TKM-1829,1.511
TKM-1851,1.155
TKM-1657,1.042
TKM-1572,1.261
TKM-1914,1.2
TKM-1874,1.146
TKM-1636,1.178
TKM-1694,1.2
TKM-1751,1.283
TKM-1729,1.362
TKM-1789,1.169
TKM-1572,1.327
TKM-1657,1.132
TKM-1572,1.208
TKM-1572,1.277
TKM-1856,1.312
TKM-1648,1.045
TKM-1636,1.279
TKM-1664,1.96
TKM-1657,1.145
TKM-1657,1.005
TKM-1749,1.309
TKM-1689,1.063
TKM-1966,1.3
TKM-1830,1.3
TKM-1598,1.007
TKM-1750,1.255
TKM-1662,1.037
TKM-1751,1.295
TKM-1613,1.131
TKM-1750,1.301
TKM-1969,1.4
TKM-1789,1.158
TKM-1953,1.3
TKM-1697,1.133
TKM-1651,1.198
TKM-1952,1.4
TKM-1947,1.2
TKM-1664,1.245
TKM-2033,1.3
TKM-1694,1.2
TKM-1598,1.168
TKM-1953,1.2
TKM-1636,1.224
TKM-1790,1.32
TKM-1751,1.238
TKM-1954,1.3
TKM-1829,1.316
TKM-1875,1.164
TKM-1750,1.268
TKM-1749,1.297
TKM-1820,1.272
TKM-1694,1.21
TKM-1830,1.3
TKM-1657,1.059
TKM-1856,1.3
TKM-1881,1.155
TKM-1789,1.1
TKM-1769,1.242
TKM-1662,1.063
TKM-1790,1.287
TKM-1749,1.262
TKM-1664,1.193
TKM-1689,1.073
TKM-1636,1.224
TKM-1694,1.2
TKM-1636,1.21
TKM-1651,1.254
TKM-1694,1.247
TKM-1613,1.088
TKM-1684,1.105
TKM-1954,1.3
TKM-1613,0.971
TKM-1899,1.3
TKM-1948,1.3
TKM-1769,1.191
TKM-1572,1.283
TKM-1899,1.2
TKM-1926,1.3
TKM-1749,1.321
TKM-1636,1.188
TKM-1830,1.3
TKM-1771,1.034
TKM-1651,1.21
TKM-1952,1.3
TKM-1773,1.102
TKM-1830,1.3
TKM-1970,1.3
TKM-1572,1.255
TKM-1769,1.084
TKM-1664,1.259
TKM-1648,0.993
TKM-1651,1.235
TKM-1572,1.175
TKM-1613,1.094
TKM-1790,1.321
TKM-1657,0.959
TKM-1694,1.086
TKM-1790,1.344
TKM-1910,1.3
TKM-2008,1.394
TKM-1830,1.3
TKM-1636,1.23
TKM-1750,1.228
TKM-1749,1.271
TKM-1751,1.284
TKM-1830,1.3
TKM-1969,1.3
TKM-1667,1.063
TKM-1598,0.992
TKM-1947,1.325
TKM-1749,1.302
TKM-1651,1.308
TKM-1749,1.269
TKM-1651,1.227
TKM-1694,1.032
TKM-1944,1.4
TKM-1689,1.115
TKM-1657,1.126
TKM-1664,1.182
TKM-1667,1.062
TKM-1613,0.957
TKM-1689,1.181
TKM-1686,0.95
TKM-1572,1.242
TKM-1657,1.002
TKM-1664,1.257
TKM-1875,1.185
TKM-1688,1.018
TKM-1749,1.269
TKM-1914,1.3
TKM-2033,1.3
TKM-1694,1.2
TKM-1694,1.111
TKM-1829,1.09
TKM-1657,1.172
TKM-1613,1.073
TKM-1926,1.3
3221,1.192
TKM-1771,1.13
TKM-1899,1.2
TKM-1613,0.844
TKM-1820,1.367
TKM-1598,1.06
TKM-1948,1.3
TKM-1657,1.059
TKM-1651,1.221
TKM-1751,1.255
TKM-1830,1.215
TKM-1790,1.3
TKM-1775,1.057
TKM-1790,1.311
TKM-1662,1.065
TKM-1572,1.246
TKM-1636,1.174
TKM-1874,1.19
TKM-2024,1.3
TKM-1830,1.346
TKM-1751,1.216
TKM-1771,1.072
TKM-1881,1.345
TKM-1750,1.222
TKM-1952,1.4
TKM-1771,1.073
TKM-1598,1.127
TKM-1664,1.215
TKM-1657,1.075
TKM-1830,1.353
TKM-1769,1
TKM-1771,0.989
TKM-1750,1.174
TKM-2009,1.4
TKM-1664,1.308
TKM-1667,1.061
TKM-1856,1.2
TKM-1947,1.2
TKM-1829,1.334
TKM-1949,1.2
TKM-1970,1.3
TKM-1664,1.226
TKM-1829,1.285
TKM-1750,1.211
TKM-1789,1.1
TKM-1926,1.3
TKM-1694,1.2
TKM-1657,1.104
TKM-1664,1.345
TKM-1882,1.212
TKM-1829,1388
TKM-1771,1.23
TKM-1899,1.3
TKM-1664,1.231
TKM-1697,0.984
TKM-1695,1.045
TKM-1749,1.268
TKM-1657,1.054
TKM-1572,1.324
TKM-1790,1.337
TKM-1667,1.075
TKM-1856,1.342
TKM-1856,1.256
TKM-1689,1.104
TKM-1689,1.038
TKM-1613,0.951
TKM-1750,1.239
TKM-1949,1.3
TKM-1694,1.201
TKM-1948,1.3
TKM-1830,1.2
TKM-2008,1.491
TKM-1667,1.1
TKM-2024,1.3
TKM-1830,1.311
TKM-1613,0.988
TKM-1598,1.167
TKM-1667,1.074
TKM-1749,1.244
TKM-1789,1
TKM-1723,0.939
TKM-1613,1.003
TKM-1636,1.115
TKM-1572,1.285
TKM-1636,1.263
TKM-1790,1.245
TKM-1790,1.306
TKM-1944,1.3
TKM-1910,1.2
TKM-1657,1.06
TKM-1657,0.999
TKM-1750,1.212
TKM-1572,1.026
TKM-1789,1.357
TKM-1790,1.231
TKM-1790,1.319
TKM-1694,1.2
TKM-1750,1.288
TKM-1689,1.191
TKM-1664,1.261
TKM-1689,1.039
TKM-1856,1.381
TKM-1694,1.2
TKM-1694,1.204
TKM-1664,1.357
TKM-1749,1.338
TKM-1751,1.218
TKM-1689,1.067
TKM-1789,1.2
TKM-2009,1.2
TKM-1969,1.4
TKM-1851,1.133
TKM-1751,1.235
TKM-1667,1.117
TKM-1636,1.269
TKM-1944,1.2
TKM-1686,0.926
TKM-1830,1.362
TKM-1790,1.351
TKM-1790,1.176
TKM-1664,1.235
TKM-1684,0.965
TKM-1694,1.2
TKM-1572,1.268
TKM-1613,0.96
TKM-1944,1.3
TKM-1613,0.991
TKM-1749,1.247
TKM-1651,1.165
TKM-1830,1.2
TKM-1664,1.24
TKM-1664,1.141
TKM-1829,1.376
TKM-1874,1.193
TKM-1966,1.3
TKM-1651,1.111
TKM-1689,1.027
TKM-1830,1.2
TKM-1789,1.168
TKM-1914,1.2
TKM-1820,1.144
TKM-1667,1.065
TKM-1636,1.156
TKM-1948,1.209
TKM-1697,1.101
TKM-1970,1.2
TKM-1952,1.3
TKM-1969,1.3
TKM-1648,1.068
TKM-1657,1.068
TKM-1684,1.052
TKM-1882,1.194
TKM-1636,1.221
TKM-1882,1.315
TKM-1914,1.2
TKM-1749,1.328
TKM-1636,1.23
TKM-1751,1.226
TKM-1830,1.2
TKM-1687,1.109
TKM-1719,1.123
TKM-1856,1.3
TKM-1856,1.3
TKM-1651,1.224
TKM-1613,1.035
TKM-1572,1.232
TKM-1947,1.278
TKM-1651,1.247
TKM-1925,1.5
TKM-1657,1.086
TKM-1944,1.3
TKM-1829,1.3
TKM-1771,1.136
TKM-1749,1.298
TKM-1664,1.28
TKM-1790,1.372
TKM-1742,1.121
TKM-1657,1.083
TKM-1613,1.105
TKM-1651,1.24
TKM-1830,1.3
TKM-1829,1.361
TKM-1697,1.079
TKM-1657,1.13
TKM-1689,1.109
TKM-1657,1.102
TKM-1790,1.329
TKM-1790,1.237
TKM-1694,1.2
TKM-1914,1.3
TKM-1952,1.2
TKM-1856,1.3
TKM-1767,1.181
TKM-1750,1.314
TKM-1657,1.049
TKM-1540,0.893
TKM-1664,1.182
TKM-1651,1.101
TKM-1636,1.201
TKM-1664,1.274
TKM-1913,1.2
TKM-1969,1.3
TKM-2008,1.33
TKM-1749,1.207
TKM-1689,1.127
TKM-1830,1.3
TKM-1789,1.1
TKM-1694,0.9
TKM-1751,1.262
TKM-1966,1.4
TKM-1820,1.253
TKM-1694,1.202
TKM-1689,1.186
TKM-1613,1.167
TKM-1750,1.172
TKM-1697,1.136
TKM-1771,1.102
TKM-1948,1.2
TKM-1749,1.325
TKM-1697,1.073
TKM-1667,1.067
TKM-1687,1.044
TKM-1694,1.126
TKM-1689,1.068
TKM-1954,1.3
TKM-1789,1.269
TKM-1664,1.393
TKM-1662,1.036
TKM-1751,1.204
TKM-1751,1.187
TKM-1657,1.123
TKM-1694,0.9
TKM-1750,1.202
TKM-1604,1.212
TKM-1910,1.3
TKM-1613,0.978
TKM-1648,1.003
TKM-1749,1.395
TKM-1636,1.176
TKM-1636,1.23
TKM-1953,1.4
TKM-1947,1.3
TKM-1969,1.3
TKM-1598,1.093
TKM-2033,1.2
TKM-1830,1.231
TKM-1636,1.276
TKM-1789,1.1
TKM-1664,1.233
TKM-1636,1.131
TKM-1830,1.2
TKM-1829,1.221
TKM-1657,1.215
3221,1.155
TKM-1701,1.29
TKM-1572,1.362
TKM-1881,1.434
TKM-1830,1.2
TKM-1664,1.293
TKM-1771,1.137
TKM-1667,1.029
TKM-1944,1.3
TKM-1694,1.083
TKM-1910,1.4
TKM-1657,1.031
TKM-1651,1.245
TKM-1664,1.357
TKM-1789,1.171
TKM-1613,1.049
TKM-1948,1.3
TKM-1969,1.3
TKM-1651,1.146
TKM-1750,1.266
TKM-1572,1.241
TKM-1636,1.177
TKM-1970,1.3
TKM-1927,1.1
TKM-1749,1.289
TKM-1954,1.4
TKM-1856,1.234
TKM-1856,1.1
TKM-2009,1.3
TKM-1949,1.208
TKM-1894,1.201
TKM-1572,1.263
TKM-1750,1.267
TKM-1613,0.992
TKM-1829,1.4
TKM-1651,1.256
TKM-1914,1.2
TKM-2009,1.3
TKM-1636,1.06
TKM-1830,1.2
TKM-1750,1.318
TKM-1790,1.253
TKM-1947,1.3
TKM-1925,1.4
TKM-1875,1.128
TKM-1969,1.3
TKM-1664,1.205
TKM-1947,1.3
TKM-1790,1.269
TKM-1750,1.322
TKM-2008,1.331
TKM-1689,1.084
TKM-2033,1.4
TKM-1789,1.148
TKM-1881,1.376
TKM-1966,1.4
TKM-1636,1.23
3221,1.137
TKM-1694,1.2
TKM-1613,0.988
TKM-1657,1.136
TKM-1613,1.114
TKM-1751,1.284
TKM-1952,1.3
TKM-1664,1.261
TKM-1750,1.177
TKM-1830,1.2
TKM-1657,1.044
TKM-1694,1.3
TKM-1689,1.047
TKM-1949,1.2
TKM-1751,1.29
TKM-1667,1.137
TKM-1829,1.308
TKM-1572,1.308
TKM-1572,1.244
TKM-1751,1.334
TKM-1664,1.263
TKM-1949,1.2
TKM-1954,1.3
TKM-1652,0.922
TKM-1652,1.1
TKM-1829,1.319
TKM-1613,1.038
TKM-1689,1.113
TKM-1664,1.272
TKM-1947,1.4
TKM-1751,1.2
TKM-1790,1.248
TKM-1751,1.205
TKM-1952,1.4
TKM-2033,1.3
TKM-1657,1.176
TKM-1749,1.272
TKM-1751,1.259
TKM-1953,1.3
TKM-1910,1.2
TKM-1694,1.2
TKM-1789,1.299
TKM-1598,1.061
TKM-1694,1.2
TKM-1856,1.3
TKM-1749,1.177
TKM-1790,1.249
TKM-1979,1.358
TKM-1728,1.324
TKM-1651,1.285
TKM-1856,1
TKM-1829,1.349
TKM-1830,1.397
TKM-1927,0.966
TKM-1948,1.1
TKM-1750,1.22
TKM-1636,1.193
TKM-1694,0.8
TKM-1751,1.221
TKM-1688,0.913
3221,1.236
TKM-1598,1.026
TKM-1613,1.012
TKM-1773,1.185
TKM-1830,1.3
TKM-1949,1.307
TKM-1636,1.247
TKM-1790,1.33
TKM-1664,1.298
TKM-1751,1.217
TKM-1751,1.261
TKM-1751,1.309
TKM-1598,1.071
TKM-1657,1.121
TKM-1910,1.3
TKM-1947,1.218
TKM-1884,1.108
TKM-1944,1.3
TKM-1636,1.018
TKM-1750,1.288
TKM-1598,1.159
TKM-1664,1.271
TKM-1636,1.221
TKM-1694,1.223
TKM-1790,1.236
TKM-1657,1.127
TKM-1613,1.07
TKM-1684,1.032
TKM-1749,1.321
TKM-1572,1.232
TKM-1651,1.273
TKM-1613,1.046
TKM-1636,1.105
TKM-1820,1.304
TKM-1687,1.087
TKM-1667,1.093
TKM-1657,1.096
TKM-1777,1.028
TKM-1750,1.215
TKM-1664,1.285
TKM-1830,1.3
TKM-1789,1.294
TKM-1750,1.231
TKM-1856,1.3
TKM-1875,1.257
TKM-1697,1.151
TKM-1881,1.335
TKM-1664,1.229
TKM-1952,1.3
TKM-1664,1.229
TKM-1750,1.272
TKM-1667,1.047
TKM-1925,1.4
TKM-1664,1.227
TKM-1949,1.325
TKM-1926,1.3
TKM-1830,1.1
TKM-1657,1.095
TKM-1598,1.134
TKM-1881,1.239
TKM-1657,0.964
TKM-1830,1.241
TKM-1949,1.3
TKM-1604,1.254
TKM-1851,1.186
TKM-1613,0.966
TKM-2008,1.417
TKM-1856,1.336
TKM-1914,1.4
TKM-1914,1.2
TKM-1657,1.116
TKM-1657,0.97
TKM-1636,1.016
TKM-1750,1.158
TKM-2033,1.3
TKM-1689,1.088
TKM-1926,1.2
TKM-1751,1.277
TKM-1953,1.4
TKM-1636,1.239
TKM-1664,1.268
TKM-2033,1.3
TKM-2009,1.3
TKM-1874,1.097
TKM-1657,1.099
TKM-1749,1.324
TKM-1790,1.256
TKM-1953,1.4
TKM-1694,0.952
TKM-1613,1.024
TKM-1667,0.944
TKM-1771,1.022
TKM-1572,1.26
TKM-1820,1.328
TKM-1664,1.248
TKM-1664,1.25
TKM-1657,0.931
TKM-1751,1.276
TKM-1751,1.248
TKM-1790,1.387
TKM-1653,0.982
TKM-1572,1.205
TKM-1689,1.02
TKM-1667,1.109
TKM-1749,1.319
TKM-1750,1.239
TKM-1636,1.158
TKM-1667,1.017
TKM-1667,1.116
TKM-1790,1.246
TKM-1789,1.2
TKM-1820,1.278
TKM-1636,1.209
TKM-1648,1.042
TKM-1771,1.129
TKM-1948,1.2
TKM-1636,1.223
TKM-1694,1.141
TKM-1751,1.297
TKM-1773,1.121
TKM-1829,1.2
TKM-1651,1.056
TKM-1856,1.2
TKM-1830,1.3
TKM-1830,1.353
TKM-1749,1.085
TKM-1750,1.254
TKM-1751,1.235
TKM-1657,1.066
TKM-1750,1.233
TKM-1944,1.3
TKM-1636,1.25
TKM-1598,1.017
TKM-1664,1.313
TKM-1636,1.244
TKM-1882,1.174
TKM-1636,1.247
TKM-1664,1.224
TKM-1613,1.101
TKM-1694,1.1
TKM-1664,1.332
TKM-1751,1.231
TKM-1830,1.316
TKM-1949,1.259
TKM-1697,1.102
TKM-1664,1.32
TKM-1927,1.049
TKM-1664,1.412
TKM-1829,1.027
TKM-1657,1.07
TKM-1751,1.301
TKM-1969,1.3
TKM-1874,1.153
TKM-1948,1.282
TKM-1875,1.255
TKM-1664,1.27
TKM-1927,1.169
TKM-1572,1.291
TKM-1687,1.035
TKM-1613,0.889
TKM-1751,1.28
TKM-1694,1
TKM-1684,1.007
TKM-1657,1.044
TKM-1664,1.284
TKM-1636,1.203
TKM-1689,1.14
TKM-1750,1.179
TKM-1689,1.106
TKM-1776,1.045
TKM-1750,1.227
TKM-1572,1.228
TKM-1829,1.401
TKM-1572,1.248
TKM-1636,1.253
TKM-1751,1.292
TKM-1969,1.3
TKM-1948,1.299
TKM-1664,1.231
TKM-1688,0.741
TKM-1664,1.22
TKM-1829,1.132
TKM-1598,1.002
TKM-1689,1
TKM-1775,1.141
TKM-1750,1.29
TKM-1881,1.382
TKM-1572,1.259
TKM-1751,1.239
TKM-2009,1.3
TKM-1697,1.04
TKM-1884,1.219
TKM-1651,1.128
TKM-1636,1.192
TKM-1651,1.235
TKM-1657,1.033
TKM-1829,1.433
TKM-1651,1.053
TKM-1662,0.923
TKM-1697,1.082
TKM-1662,1.049
TKM-1697,1.133
TKM-1636,1.133
TKM-1651,1.207
TKM-1970,1.3
TKM-1830,1.2
TKM-1694,1
TKM-1881,1.244
TKM-1829,1.2
TKM-1613,1.004
TKM-1598,1.137
TKM-1789,1.3
TKM-1750,1.282
TKM-1613,1.027
TKM-1697,1.044
TKM-1689,1.049
TKM-1789,1.221
TKM-1899,1.306
TKM-1771,1.046
TKM-1830,1.3
TKM-1926,1.3
TKM-1613,1.014
TKM-1749,1.125
TKM-1636,1.22
TKM-1636,1.215
TKM-1790,1.208
TKM-1969,1.3
TKM-1829,1.358
TKM-1856,1.3
TKM-1651,1.255
TKM-1947,1.2
TKM-1750,1.208
TKM-1572,1.239
TKM-1776,1.16
TKM-1572,1.247
TKM-1657,1.132
TKM-2009,1.3
TKM-1830,1.1
TKM-1947,1.334
TKM-1694,1.2
TKM-1598,1.023
TKM-1636,1.206
TKM-1664,1.373
TKM-1969,1.3
TKM-1664,1.255
TKM-1664,1.233
TKM-1954,1.2
TKM-1613,1.109
TKM-1913,1.3
TKM-1790,1.216
TKM-1790,1.381
TKM-1751,1.317
TKM-1657,1.061
TKM-1790,1.287
TKM-1657,1.052
TKM-1664,1.206
TKM-1694,1.15
TKM-1751,1.243
TKM-1751,1.22
TKM-1771,1.093
TKM-1820,1.252
TKM-1664,1.267
TKM-1667,1.088
TKM-1830,1.2
TKM-1856,1.222
TKM-1789,1.256
TKM-1689,1.148
TKM-1750,1.331
TKM-2008,1.471
TKM-1751,1.245
TKM-1751,1.263
TKM-1657,1.13
TKM-1790,1.321
TKM-1636,1.174
TKM-1749,1.267
TKM-1636,1.165
TKM-1925,1.2
TKM-1829,1.3
TKM-1856,1.2
TKM-1910,1.3
TKM-1914,1.3
TKM-1773,1.063
TKM-1664,1.252
TKM-1874,1.137
TKM-1789,1.2
TKM-1927,1
TKM-1651,1.22
TKM-1729,1.162
TKM-1657,0.97
TKM-1667,1.142
TKM-1790,1.333
TKM-1947,1.2
TKM-1944,1.3
TKM-1948,1.3
TKM-1750,1.179
TKM-1750,1.27
TKM-1657,1.631
TKM-1667,1.075
TKM-1926,1.2
TKM-1790,1.232
TKM-1613,0.954
TKM-1636,1.334
TKM-1694,1.3
TKM-1613,1.07
TKM-1949,1.303
TKM-1771,1.144
TKM-1651,1.21
TKM-1771,1.07
TKM-1949,1.3
TKM-1875,1.166
TKM-1689,1.143
TKM-1664,1.774
TKM-1636,1.035
TKM-1636,1.211
TKM-1751,1.191
TKM-1751,1.269
TKM-1636,1.007
TKM-2009,1.3
TKM-1636,0.937
TKM-2009,1.5
TKM-1572,1.244
TKM-1751,1.324
TKM-1598,1.074
TKM-1790,1.298
TKM-1636,1.11
TKM-1572,1.266
TKM-1820,1.28
TKM-1604,1.326
TKM-1913,1.3
TKM-1830,1.3
TKM-1829,1.3
TKM-1829,1.303
TKM-1966,1.5
TKM-1648,1.068
TKM-1910,1.2
TKM-1636,1.081
TKM-2033,1.3
TKM-1966,1.4
TKM-1751,1.322
TKM-1651,1.251
TKM-1751,1.32
TKM-1664,1.312
TKM-1856,1.2
TKM-1662,0.994
TKM-1694,1.196
TKM-1657,1.063
TKM-1657,0.989
TKM-1948,1.3
TKM-1881,1.286
TKM-1948,1.2
TKM-1790,1.367
TKM-1598,1.198
TKM-1925,1.4
TKM-1572,1.355
TKM-1687,0.989
TKM-1694,1.3
TKM-1657,1.108
TKM-1949,1.2
TKM-1790,1.363
TKM-1790,1.215
TKM-1771,1.095
TKM-1749,1.315
TKM-1954,1.3
TKM-1856,1.258
TKM-1636,1.204
TKM-1652,1
TKM-1790,1.328
TKM-1830,1.3
TKM-1773,1.018
TKM-1820,1.28
TKM-2009,1.2
TKM-1572,1.3
TKM-1751,1.325
TKM-1750,1.247
TKM-1829,1.2
TKM-1830,1.4
TKM-1694,1.2
TKM-1689,1.087
TKM-1667,1.001
TKM-1771,1.177
TKM-1949,1.1
TKM-1572,1.384
TKM-1910,1.3
TKM-1540,1.139
TKM-1694,1.1
TKM-1652,1
TKM-1830,1.3
TKM-1856,1.346
TKM-1829,1.2
TKM-1944,1.4
TKM-1952,1.4
TKM-1913,1.2
TKM-1657,1.031
TKM-1751,1.25
TKM-1750,1.218
TKM-1729,1.271
TKM-1789,1.3
TKM-1948,1.2
TKM-1882,1.306
TKM-1750,1.268
3221,1.216
TKM-1686,0.974
TKM-1771,1.013
TKM-1790,1.283
