consumableId,consumable/lot,numericValue,instrument
c71055f7-4d4d-419f-97e8-9371952a2703,TKM-1572,1.026,115
c2050425-008c-4978-9102-0194ef54d96f,TKM-1572,1.043,118
f40e033c-5f63-4d30-85c7-1eef607d3d48,TKM-1572,1.065,118
e277be97-ff05-4fdf-a2b3-cb85bba697da,TKM-1572,1.175,115
9b9b2840-3adb-4a5e-a353-20334901ab45,TKM-1572,1.179,109
5822e1a1-e073-40d9-ac69-0b168233d40b,TKM-1572,1.183,119
a9a320db-28a1-43e2-aa9e-a24aa411b828,TKM-1572,1.191,109
36723104-7f59-4212-bcb0-3fbcdf7115bb,TKM-1572,1.196,118
fded91b4-afc1-49e0-9327-c4c699211303,TKM-1572,1.199,109
d6e32e75-981b-4357-a179-019e7ddb1161,TKM-1572,1.204,109
bd83de61-bbdd-4a95-bbe1-33f952fac618,TKM-1572,1.205,118
051affdc-3dcd-4af5-8bf5-e03c6bb2aed8,TKM-1572,1.207,118
374f1e08-ecde-445b-8fe3-c68e907364a3,TKM-1572,1.208,111
2ee4a603-d06f-4f89-aa5a-af6dddc0933d,TKM-1572,1.21,118
92831dcb-74ae-43a8-9259-0c62edde1c38,TKM-1572,1.216,109
fa98653c-b79a-4711-92c8-5f949f9b2828,TKM-1572,1.218,111
fa9ebf81-2949-418e-abf9-c78163db236f,TKM-1572,1.22,115
3865e1f8-8e88-495e-9fa3-248380024b11,TKM-1572,1.225,118
3db7d349-dbb4-4b0d-a3c5-0feb1c4a9369,TKM-1572,1.225,119
85f3ce38-df4f-4e2c-a66b-5406c9d00a3d,TKM-1572,1.225,115
071d681a-2e6e-4e42-9298-a169b754c409,TKM-1572,1.227,111
23c01574-3d25-412f-ab16-1e4b334939b3,TKM-1572,1.228,118
7c420891-4797-4e75-95a6-e170042f02fd,TKM-1572,1.228,118
cfefed6d-7347-429f-bcb1-9700c3d99302,TKM-1572,1.228,118
cf726e02-818d-4afc-be42-0162ea9d0da4,TKM-1572,1.229,109
d4faeee8-03ab-453d-b785-6e0a4243bbd5,TKM-1572,1.229,109
1bfd9c12-f410-4729-8ebb-c3e04a5b778e,TKM-1572,1.232,119
346f17fd-44d5-451a-9a12-2258b6b69256,TKM-1572,1.232,111
c7209507-4738-4dea-8871-51a034332c11,TKM-1572,1.232,119
9e3055d6-e542-4a2a-9adc-597f74bc5ab6,TKM-1572,1.234,111
e54aa7a4-c0c9-4801-be09-14c28fe6bc29,TKM-1572,1.235,119
5df2ada2-e93b-4b63-97d8-43874ad87d04,TKM-1572,1.237,115
73f3e59d-4c49-402f-b486-68c46c208d8d,TKM-1572,1.239,111
cfdc8b54-542e-41c9-9784-64d3b19c9ef8,TKM-1572,1.239,119
ade04b0d-5ba3-4b70-a0ef-7e8f65a7b115,TKM-1572,1.241,115
6d7519c4-02b3-4586-9397-a82afa5fb23b,TKM-1572,1.242,109
7c98bdd7-5bb6-4897-9e2b-414ba36cd447,TKM-1572,1.243,109
85b1fda5-ac38-40e9-a381-ca7521946fee,TKM-1572,1.243,115
6cf21e7b-21d2-4e9e-a09a-c074e4603c08,TKM-1572,1.244,118
b410491c-248a-446f-bff4-aec9f94136bd,TKM-1572,1.244,111
12b73c2c-ef49-41b4-8972-ae9da0ccdf54,TKM-1572,1.246,111
3d85e091-3b70-48ec-bd84-9f404d235a0c,TKM-1572,1.247,118
ec5fe9c0-3889-4be3-9698-7f7f37d80880,TKM-1572,1.248,109
65670783-7c85-425e-9952-4098dbcfabd4,TKM-1572,1.255,119
6f237422-cc8e-44bd-85f9-647f8848864e,TKM-1572,1.256,111
d09b93b7-5e37-4711-b9c6-d6a59637d677,TKM-1572,1.256,109
db4e148f-4465-4889-8b29-64fe8e12dd79,TKM-1572,1.256,119
cb517386-597b-4ef9-a2d4-cc2529c6f6c2,TKM-1572,1.257,119
ec305e17-d755-4883-a2f6-8769e65e2385,TKM-1572,1.257,119
a9d636dc-f8f1-4bf8-8273-7f1cd88e6990,TKM-1572,1.259,119
02dcb7a3-7d54-4600-ba45-88949b14a042,TKM-1572,1.26,109
aa344ccb-714b-4f8b-84e6-f318b93af6b2,TKM-1572,1.26,109
e6f9bcd1-fb3e-406b-9d44-09178893f7be,TKM-1572,1.26,119
f352cd6e-03d5-40a3-8503-91728f55ea00,TKM-1572,1.261,109
f461d229-1522-4f62-be54-942b5660493d,TKM-1572,1.262,102
ada8028b-401c-4405-b5a8-c951a0748fde,TKM-1572,1.263,118
c1123adf-0ec8-4d63-914d-f7039315a55a,TKM-1572,1.263,111
1bde2caf-6147-4cda-b881-7b00de32629d,TKM-1572,1.265,119
b5ad8b62-3bf5-4e08-9445-f470a9d35769,TKM-1572,1.266,115
a8d1a4cb-7108-4234-88f5-c3c51be9b1b6,TKM-1572,1.268,115
d97485c5-22eb-4c32-b647-adb40ff59e1a,TKM-1572,1.27,119
6cbc5d0e-9342-4eda-b92e-d1565ad9ce63,TKM-1572,1.277,115
3a05233c-d745-4c9d-bd18-f8a1219342af,TKM-1572,1.278,119
47176b4f-e2cc-49e0-907c-d6a5e3128cf0,TKM-1572,1.279,102
2db7f5c0-b4b5-40eb-a03a-1d84dfee9527,TKM-1572,1.28,111
4085d7f4-0183-41b5-a65a-02e6728858ca,TKM-1572,1.283,115
b5fc86a4-933b-4e27-8d1c-ae8d4a936a7e,TKM-1572,1.285,102
ca668f3d-0c79-4103-a66c-808288ef1368,TKM-1572,1.291,115
a2842f9a-b807-4fd3-a43e-384aadb4c94c,TKM-1572,1.294,115
72eb7830-4fa1-4ac1-97d2-619af52500ad,TKM-1572,1.3,111
c1100796-a554-435c-9413-71a3cc3afb9e,TKM-1572,1.303,115
79b9c422-aa82-4b75-bb9b-24ef0386198e,TKM-1572,1.305,118
a5ab84ad-1fd4-4546-8569-7f225d7c5628,TKM-1572,1.308,102
614f7a71-b06a-4781-b394-fb86f9a27521,TKM-1572,1.312,111
39856a14-fdb7-4cfa-9890-e45bac3af5d1,TKM-1572,1.313,102
78fe5663-6c3d-4b63-bd0b-173de77a06c5,TKM-1572,1.315,109
06639a58-fd23-419d-a45f-5e49c72c3683,TKM-1572,1.316,102
947ca998-2bf5-4794-93ff-481b19ae4b94,TKM-1572,1.324,118
bf1472fc-c580-42e0-940a-28f07b6f68cd,TKM-1572,1.327,102
aff9a178-13f0-4760-91cd-5d87e1680ba9,TKM-1572,1.329,102
ce717174-2e8c-40f5-aef1-1b663743993e,TKM-1572,1.355,102
e280bf11-0cb5-4b09-9dcf-39a83ac47ce3,TKM-1572,1.355,102
ce883753-b489-4d61-ac31-84cceaf11981,TKM-1572,1.362,111
15773611-1ee3-4cd1-bf31-b5d5b14be480,TKM-1572,1.384,102
75b94946-9cc1-4f37-85ad-c313f7feb276,TKM-1572,1.384,102
1961baaf-2af8-4422-a6be-55144e916d69,TKM-1572,1256,111
1cf2ea4c-1354-4b56-9df5-e79573a156eb,TKM-1598,0.963,AdvBuild14 (New)
f59a9dcc-075d-4d73-9e18-3c738070db04,TKM-1598,0.968,100
8ce20cd8-4abf-40a0-bced-69beca397c90,TKM-1598,0.992,AdvBuild14 (New)
efbe7afc-1945-4b1b-890b-514e0bf55990,TKM-1598,1.002,AdvBuild04
4016cb81-52c3-4cfb-9186-28825e50d3dc,TKM-1598,1.007,AdvBuild14 (New)
00881193-f9ee-40f8-8aa9-4db04d34bf7e,TKM-1598,1.016,113
90284609-5cde-422b-87a2-8655518f3510,TKM-1598,1.017,104
a3374d5b-b7a6-409a-896d-d5c95535aab6,TKM-1598,1.017,203
270cd012-a9ed-4e70-afc9-7f689a46322d,TKM-1598,1.02,AdvBuild14 (New)
95a094ef-5538-4923-87d7-d1403c6daf34,TKM-1598,1.023,AdvBuild06
e2685c2e-ead6-4756-a19e-c367af491e07,TKM-1598,1.023,AdvBuild14 (New)
2b62ac93-ec45-46f8-a008-952d296f9cb9,TKM-1598,1.026,AdvBuild14 (New)
6e6d615e-bee3-4355-a373-9590a5cab029,TKM-1598,1.033,AdvBuild04
6792e0ae-fa1b-4ac9-9082-42a8f6165d58,TKM-1598,1.038,AdvBuild27
93deac32-3995-4146-97eb-260818d8c8bf,TKM-1598,1.05,AdvBuild04
3e933190-8489-490c-a4df-89780ad3261a,TKM-1598,1.057,AdvBuild27
4de78e90-5dd8-43e4-bbec-bf148f912268,TKM-1598,1.057,216
