[16]Set PCR TEC:  HEAT: True  POW: 100
(96255) RAW PELTIER: TC-1 = 21.8, HSTemp = 21.8, modeled = 22.0, rawRR C/s = -0.0, output = 100.0
(96306) RAW PELTIER: TC-1 = 21.8, HSTemp = 21.8, modeled = 22.0, rawRR C/s = -0.0, output = 100.0
(96356) RAW PELTIER: TC-1 = 21.8, HSTemp = 21.8, modeled = 22.0, rawRR C/s = -0.0, output = 100.0
(96406) RAW PELTIER: TC-1 = 21.8, HSTemp = 21.8, modeled = 22.0, rawRR C/s = -0.0, output = 100.0
(96453) systemTasksMonitorStack: Stack Watermark(Thermal Control): 2160
(96456) RAW PELTIER: TC-1 = 21.8, HSTemp = 21.8, modeled = 22.0, rawRR C/s = 0.0, output = 100.0
(96506) RAW PELTIER: TC-1 = 21.8, HSTemp = 21.8, modeled = 22.0, rawRR C/s = 0.2, output = 100.0
(96556) RAW PELTIER: TC-1 = 21.9, HSTemp = 21.8, modeled = 22.0, rawRR C/s = 0.6, output = 100.0
(96605) RAW PELTIER: TC-1 = 21.9, HSTemp = 21.8, modeled = 22.0, rawRR C/s = 1.2, output = 100.0
(96656) RAW PELTIER: TC-1 = 22.0, HSTemp = 21.7, modeled = 22.0, rawRR C/s = 2.0, output = 100.0
(96707) RAW PELTIER: TC-1 = 22.2, HSTemp = 21.7, modeled = 22.0, rawRR C/s = 2.8, output = 100.0
(96756) RAW PELTIER: TC-1 = 22.4, HSTemp = 21.7, modeled = 22.0, rawRR C/s = 3.7, output = 100.0
(96807) RAW PELTIER: TC-1 = 22.6, HSTemp = 21.7, modeled = 22.1, rawRR C/s = 4.6, output = 100.0
(96856) RAW PELTIER: TC-1 = 22.9, HSTemp = 21.7, modeled = 22.1, rawRR C/s = 5.4, output = 100.0
(96910) RAW PELTIER: TC-1 = 23.2, HSTemp = 21.6, modeled = 22.2, rawRR C/s = 6.2, output = 100.0
(96962) RAW PELTIER: TC-1 = 23.6, HSTemp = 21.6, modeled = 22.2, rawRR C/s = 6.9, output = 100.0
(97014) RAW PELTIER: TC-1 = 24.0, HSTemp = 21.6, modeled = 22.3, rawRR C/s = 7.5, output = 100.0
