[49]Set PCR TEC:  HEAT: True  POW: 100
(115055) RAW PELTIER: TC-1 = 25.1, HSTemp = 20.6, modeled = 22.0, rawRR C/s = 8.9, output = 100.0
(115104) RAW PELTIER: TC-1 = 25.1, HSTemp = 20.6, modeled = 22.1, rawRR C/s = 8.9, output = 100.0
(115155) RAW PELTIER: TC-1 = 25.6, HSTemp = 20.6, modeled = 22.3, rawRR C/s = 9.1, output = 100.0
(115206) RAW PELTIER: TC-1 = 26.1, HSTemp = 20.6, modeled = 22.4, rawRR C/s = 9.4, output = 100.0
(115255) RAW PELTIER: TC-1 = 26.6, HSTemp = 20.5, modeled = 22.6, rawRR C/s = 9.5, output = 100.0
(115305) RAW PELTIER: TC-1 = 27.2, HSTemp = 20.5, modeled = 22.7, rawRR C/s = 9.7, output = 100.0
(115355) RAW PELTIER: TC-1 = 27.7, HSTemp = 20.5, modeled = 22.9, rawRR C/s = 9.8, output = 100.0
(115405) RAW PELTIER: TC-1 = 28.2, HSTemp = 20.4, modeled = 23.1, rawRR C/s = 9.8, output = 100.0
(115456) RAW PELTIER: TC-1 = 28.7, HSTemp = 20.4, modeled = 23.3, rawRR C/s = 10.0, output = 100.0
(115505) RAW PELTIER: TC-1 = 29.3, HSTemp = 20.4, modeled = 23.5, rawRR C/s = 10.1, output = 100.0
(115556) RAW PELTIER: TC-1 = 29.8, HSTemp = 20.3, modeled = 23.7, rawRR C/s = 10.1, output = 100.0
(115605) RAW PELTIER: TC-1 = 30.4, HSTemp = 20.3, modeled = 24.0, rawRR C/s = 10.2, output = 100.0
(115655) RAW PELTIER: TC-1 = 30.9, HSTemp = 20.3, modeled = 24.2, rawRR C/s = 10.3, output = 100.0
(115705) RAW PELTIER: TC-1 = 31.4, HSTemp = 20.3, modeled = 24.4, rawRR C/s = 10.3, output = 100.0
(115756) RAW PELTIER: TC-1 = 32.0, HSTemp = 20.2, modeled = 24.7, rawRR C/s = 10.3, output = 100.0
(115806) RAW PELTIER: TC-1 = 32.5, HSTemp = 20.2, modeled = 24.9, rawRR C/s = 10.4, output = 100.0
(115859) RAW PELTIER: TC-1 = 33.1, HSTemp = 20.2, modeled = 25.2, rawRR C/s = 10.4, output = 100.0
(115911) RAW PELTIER: TC-1 = 33.6, HSTemp = 20.1, modeled = 25.5, rawRR C/s = 10.4, output = 100.0
(115955) systemTasksMonitorStack: Stack Watermark(Thermal Control): 2160
(115959) RAW PELTIER: TC-1 = 34.2, HSTemp = 20.1, modeled = 25.7, rawRR C/s = 10.4, output = 100.0
