,timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink
140,5492.868,113.22,45.7,62.0,,32.12
141,5493.018,113.21,45.93,62.0,,32.14
142,5493.018,,,,45.18,
143,5493.169,113.2,46.16,62.0,,32.15
144,5493.319,113.21,46.39,62.0,,32.16
145,5493.468,113.19,46.6,62.0,,32.18
146,5493.619,113.21,46.84,62.0,,32.19
147,5493.619,,,,45.88,
148,5493.768,113.21,47.06,62.0,,32.2
149,5493.918,113.22,47.28,62.0,,32.22
150,5494.068,113.22,47.5,62.0,,32.23
151,5494.219,113.22,47.73,62.0,,32.24
152,5494.219,,,,46.76,
153,5494.368,113.24,47.95,62.0,,32.27
154,5494.519,113.24,48.17,62.0,,32.28
155,5494.669,113.25,48.39,62.0,,32.3
156,5494.818,113.29,48.62,62.0,,32.32
157,5494.818,,,,47.74,
158,5494.968,113.27,48.84,62.0,,32.32
159,5495.118,113.27,49.05,62.0,,32.34
160,5495.268,113.29,49.27,62.0,,32.36
161,5495.418,113.26,49.48,62.0,,32.38
162,5495.418,,,,48.51,
163,5495.568,113.3,49.7,62.0,,32.39
164,5495.718,113.33,49.93,62.0,,32.41
165,5495.899,113.35,50.19,62.0,,32.43
166,5496.049,113.35,50.4,62.0,,32.44
167,5496.049,,,,49.48,
168,5496.199,113.36,50.61,62.0,,32.46
169,5496.349,113.35,50.82,62.0,,32.48
170,5496.499,113.37,51.04,62.0,,32.5
171,5496.65,113.38,51.25,62.0,,32.51
172,5496.65,,,,50.19,
173,5496.799,113.38,51.46,62.0,,32.53
174,5496.949,113.39,51.67,62.0,,32.54
175,5497.099,113.41,51.88,62.0,,32.57
176,5497.249,113.42,52.09,62.0,,32.58
177,5497.249,,,,51.03,
178,5497.399,113.42,52.29,62.0,,32.6
179,5497.549,113.45,52.51,62.0,,32.62
180,5497.699,113.44,52.71,62.0,,32.63
181,5497.849,113.45,52.91,62.0,,32.65
182,5497.849,,,,51.92,
183,5497.999,113.46,53.12,62.0,,32.67
184,5498.149,113.49,53.33,62.0,,32.69
185,5498.299,113.49,53.53,62.0,,32.71
186,5498.45,113.49,53.73,62.0,,32.73
187,5498.511,,,,52.75,
188,5498.599,113.5,53.93,62.0,,32.74
189,5498.749,113.51,54.13,62.0,,32.76
190,5498.9,113.49,54.32,62.0,,32.78
191,5499.049,113.5,54.52,62.0,,32.79
192,5499.049,,,,53.54,
193,5499.199,113.51,54.72,62.0,,32.81
194,5499.349,113.53,54.92,62.0,,32.83
195,5499.499,113.53,55.11,62.0,,32.85
196,5499.65,113.53,55.31,62.0,,32.86
197,5499.65,,,,54.21,
198,5499.799,113.53,55.5,62.0,,32.89
199,5499.949,113.55,55.7,62.0,,32.9
200,5500.099,113.56,55.89,62.0,,32.92
201,5500.249,113.57,56.08,62.0,,32.94
202,5500.249,,,,54.98,
203,5500.399,113.55,56.26,62.0,,32.96
204,5500.549,113.54,56.43,62.0,,32.97
205,5500.699,113.56,56.61,62.0,,33.0
206,5500.849,113.59,56.78,62.0,,33.02
207,5500.849,,,,55.7,
208,5500.999,113.6,56.95,62.0,,33.03
209,5501.149,113.6,57.13,62.0,,33.05
210,5501.299,113.61,57.3,62.0,,33.07
211,5501.449,113.61,57.47,62.0,,33.08
212,5501.449,,,,56.53,
213,5501.599,113.64,57.64,62.0,,33.1
214,5501.749,113.65,57.81,62.0,,33.12
215,5501.899,113.66,57.98,62.0,,33.14
216,5502.049,113.66,58.15,62.0,,33.16
217,5502.049,,,,57.26,
218,5502.199,113.66,58.32,62.0,,33.18
219,5502.349,113.67,58.49,62.0,,33.2
220,5502.499,113.7,58.65,62.0,,33.22
221,5502.649,113.67,58.82,62.0,,33.24
222,5502.649,,,,57.98,
223,5502.799,113.68,58.99,62.0,,33.26
224,5502.95,113.71,59.15,62.0,,33.28
225,5503.099,113.73,59.32,62.0,,33.3
226,5503.249,113.75,59.48,62.0,,33.32
227,5503.249,,,,58.56,
228,5503.399,113.77,59.65,62.0,,33.34
229,5503.549,113.77,59.81,62.0,,33.36
230,5503.699,113.76,59.97,62.0,,33.37
231,5503.849,113.78,60.13,62.0,,33.39
232,5503.849,,,,59.3,
233,5503.999,113.79,60.3,62.0,,33.41
234,5504.149,113.75,60.46,62.0,,33.44
235,5504.299,113.45,60.62,62.0,,33.47
236,5504.449,112.93,60.77,62.0,,33.53
237,5504.449,,,,59.92,
238,5504.599,112.2,60.93,62.0,,33.63
239,5504.749,110.97,61.08,62.0,,33.79
240,5504.899,109.88,61.22,62.0,,33.92
241,5505.049,108.72,61.37,62.0,,34.09
242,5505.049,,,,60.5,
243,5505.199,107.09,61.5,62.0,,34.32
244,5505.349,105.79,61.63,62.0,,34.51
245,5505.499,104.47,61.75,62.0,,34.71
246,5505.649,102.74,61.87,62.0,,34.98
247,5505.649,,,,61.12,
248,5505.799,101.44,61.98,62.0,,35.19
249,5505.949,100.13,62.09,62.0,,35.41
250,5506.099,98.4,62.19,62.0,,35.7
251,5506.249,97.15,62.28,62.0,,35.93
252,5506.265,,,,61.73,
253,5506.401,95.89,62.37,62.0,,36.16
254,5506.548,94.22,62.46,62.0,,36.46
255,5506.698,93.01,62.54,62.0,,36.69
256,5506.848,91.8,62.61,62.0,,36.93
257,5506.848,,,,62.11,
258,5506.998,90.21,62.68,62.0,,37.25
259,5507.148,89.05,62.74,62.0,,37.48
260,5507.298,87.92,62.8,62.0,,37.71
261,5507.448,86.45,62.86,62.0,,38.03
262,5507.448,,,,62.32,
263,5507.598,85.35,62.91,62.0,,38.26
264,5507.748,84.29,62.96,62.0,,38.49
265,5507.898,83.17,63.0,62.0,,38.75
266,5508.048,81.94,63.04,62.0,,39.03
267,5508.048,,,,62.48,
268,5508.198,80.93,63.07,62.0,,39.26
269,5508.348,79.61,63.1,62.0,,39.57
270,5508.498,78.65,63.13,62.0,,39.81
271,5508.648,77.7,63.15,62.0,,40.04
272,5508.648,,,,62.68,
273,5508.798,76.47,63.17,62.0,,40.35
274,5508.948,75.57,63.18,62.0,,40.59
275,5509.098,74.68,63.2,62.0,,40.82
276,5509.248,73.52,63.21,62.0,,41.13
277,5509.248,,,,62.72,
278,5509.398,72.66,63.21,62.0,,41.36
279,5509.548,71.81,63.21,62.0,,41.58
280,5509.698,70.7,63.21,62.0,,41.89
281,5509.848,69.89,63.21,62.0,,42.11
282,5509.848,,,,62.76,
283,5509.998,69.09,63.2,62.0,,42.35
284,5510.148,68.06,63.19,62.0,,42.65
285,5510.298,67.3,63.18,62.0,,42.87
286,5510.448,66.55,63.16,62.0,,43.09
287,5510.448,,,,62.74,
288,5510.598,65.57,63.15,62.0,,43.39
289,5510.748,64.84,63.13,62.0,,43.6
290,5510.898,64.13,63.1,62.0,,43.83
291,5511.048,63.2,63.08,62.0,,44.12
292,5511.048,,,,62.68,
293,5511.198,62.51,63.05,62.0,,44.34
294,5511.348,61.85,63.02,62.0,,44.55
295,5511.498,60.97,62.99,62.0,,44.84
296,5511.648,60.32,62.95,62.0,,45.05
297,5511.798,59.68,62.92,62.0,,45.27
298,5511.798,,,,62.5,
