,cup id,instrument,fmax,melt start,melt stop,melt range,pcr start,pcr stop,pcr min,reverse cq,mean pcr,mean pcr 90% ci
0,03f649d3-0fb5-4f82-a7e7-1ef203459579,588,44,513,432,81,451,477,433,5.0,444.7111111111111,2.671460636238976
1,04253c41-edfe-4b1c-899e-f0addd248ff3,585,-95,1348,1218,130,1408,1290,1238,5.0,1275.3777777777777,10.14655232932273
2,05b9771e-d498-4a12-9b58-93abab8d020c,599,45,414,327,87,350,371,326,5.0,336.1333333333333,2.541808039381692
3,0bcf09e8-2abc-47bf-a732-c51ec02518f2,588,52,557,480,77,529,521,469,6.0,490.6222222222222,3.758735748986112
4,126244a2-341a-439d-86b3-fc7a89197ba7,599,34,473,388,85,457,441,407,6.0,420.3777777777778,3.3791994979967512
5,14e4acd7-6a79-40ad-8f02-6ecce7b6e63b,588,-72,536,455,81,569,504,486,11.0,508.5111111111111,6.104023253659136
6,1702b695-af70-4f5f-ba3d-72f86008a229,591,-44,988,889,99,991,940,915,5.0,933.1555555555556,4.3648610426930645
7,1d442680-947c-49d6-819d-da83bc717e25,599,83,458,371,87,356,418,335,7.0,358.55555555555554,5.69081471566534
8,1f62e832-6c40-4a54-8413-6f4f134de352,585,42,1358,1236,122,1320,1309,1267,7.0,1287.111111111111,3.6560228633079532
9,1fa3dab9-dfcf-4ecd-ae90-3c637cecc629,591,-105,1065,992,73,1136,1021,993,8.0,1041.8666666666666,8.6124421186355
10,211f97ac-8c39-4e54-869b-572a11f91dea,588,-50,543,462,81,531,500,466,16.0,486.5777777777778,4.221901772518038
11,2438c0c5-227c-4ed4-890b-a75da183d343,602,84,499,432,67,414,476,392,5.0,420.5111111111111,6.775774961599097
12,327f8d0e-207a-4d8d-b775-c329b9740e0b,585,-94,1259,1127,132,1321,1214,1180,9.0,1213.9777777777779,8.767804315042667
13,370d78cd-eda4-48a5-bf65-d1cfd3689492,599,84,445,374,71,363,410,337,11.0,371.0444444444444,7.139595650455021
14,493e0288-8d0e-4f6f-a7da-6d1f334d78e7,602,-23,469,414,55,491,454,452,8.0,462.9111111111111,2.1729912841845476
