,cup id,instrument,fmax,melt start,melt stop,melt range,pcr start,pcr stop,pcr min,reverse cq,mean pcr,mean pcr 90% ci
0,03f649d3-0fb5-4f82-a7e7-1ef203459579,588,27,135,69,66,84,107,80,5.0,84.42222222222222,1.7373778595486584
1,04253c41-edfe-4b1c-899e-f0addd248ff3,585,47,256,156,100,191,218,171,5.0,180.44444444444446,2.928585853284119
2,05b9771e-d498-4a12-9b58-93abab8d020c,599,30,142,68,74,87,109,79,5.0,83.35555555555555,1.7824774570713373
3,0bcf09e8-2abc-47bf-a732-c51ec02518f2,588,37,153,79,74,93,122,85,6.0,91.02222222222223,2.1196238780918293
4,126244a2-341a-439d-86b3-fc7a89197ba7,599,25,149,77,72,105,118,93,7.0,97.71111111111111,1.4659797760438948
5,14e4acd7-6a79-40ad-8f02-6ecce7b6e63b,588,24,136,72,64,90,108,84,11.0,88.22222222222223,1.4157757524910295
6,1702b695-af70-4f5f-ba3d-72f86008a229,591,26,194,116,78,137,156,130,5.0,133.6888888888889,1.443633672150611
7,1d442680-947c-49d6-819d-da83bc717e25,599,33,146,72,74,89,114,81,,87.11111111111111,1.9911007874149078
8,1f62e832-6c40-4a54-8413-6f4f134de352,585,30,231,148,83,181,196,166,6.0,172.04444444444445,1.7062966940198976
9,1fa3dab9-dfcf-4ecd-ae90-3c637cecc629,591,21,192,124,68,144,156,135,8.0,140.6888888888889,0.9712889954352022
10,211f97ac-8c39-4e54-869b-572a11f91dea,588,31,152,74,78,96,118,87,8.0,92.22222222222223,1.8773309707500374
11,2438c0c5-227c-4ed4-890b-a75da183d343,602,39,192,108,84,133,163,124,5.0,130.84444444444443,2.512103200672584
12,327f8d0e-207a-4d8d-b775-c329b9740e0b,585,29,224,148,76,177,194,165,9.0,171.13333333333333,1.7472890308299611
13,370d78cd-eda4-48a5-bf65-d1cfd3689492,599,22,136,76,60,91,108,86,5.0,89.75555555555556,1.2179171658606123
14,493e0288-8d0e-4f6f-a7da-6d1f334d78e7,602,28,177,104,73,142,152,124,11.0,131.13333333333333,1.500564614034488
15,4ddaaa5d-1e1a-4262-a50b-15a2d485df55,599,40,172,78,94,112,136,96,7.0,103.46666666666667,2.450411753640566
16,518fe108-0973-4370-805d-32b76b018387,599,21,141,71,70,100,108,87,10.0,91.44444444444444,1.2160425648105786
17,523ca906-8a4a-4ac7-b269-27d29fc0148a,585,33,253,165,88,196,217,184,10.0,191.7111111111111,1.7971886621834585
18,52b510de-a47a-46da-9153-790d64e90ac1,599,37,144,58,86,83,109,72,9.0,78.55555555555556,2.2822729029597326
19,53052f32-13d3-44f1-9e68-a4c89c5238d7,591,24,185,119,66,131,149,125,5.0,129.95555555555555,1.3551241285010747
20,59799041-5fa8-41b8-9a24-c8af9795ed6e,585,47,284,178,106,205,236,189,10.0,197.88888888888889,2.922087023201982
21,5a481eef-2c5e-47c1-b7bb-fc80f36fc250,588,23,135,75,60,96,108,85,5.0,90.15555555555555,1.2793526202618608
22,60fded9e-c28d-46b4-acf3-9d2e8f65ebb1,591,27,192,117,75,137,155,128,10.0,133.48888888888888,1.5927732099870013
23,649ca710-98a3-4a63-8674-dd37cdb05078,602,27,182,113,69,141,157,130,5.0,135.48888888888888,1.629937871348858
24,6813ef38-b5e1-4ece-9b0b-f29b4b0ababe,602,38,200,115,85,143,169,131,9.0,137.86666666666667,2.372360581017233
