,cup id,instrument,fmax,melt start,melt stop,melt range,pcr start,pcr stop,pcr min,reverse cq,mean pcr,mean pcr 90% ci
0,03f649d3-0fb5-4f82-a7e7-1ef203459579,588,111,301,38,263,87,188,77,5.0,93.73333333333333,7.300826818773459
1,04253c41-edfe-4b1c-899e-f0addd248ff3,585,217,504,60,444,153,339,122,5.0,154.0888888888889,13.999454170514241
2,05b9771e-d498-4a12-9b58-93abab8d020c,599,127,355,39,316,103,216,89,9.0,103.97777777777777,7.442429882594354
3,0bcf09e8-2abc-47bf-a732-c51ec02518f2,588,134,346,42,304,104,219,85,6.0,102.37777777777778,8.038486174716752
4,126244a2-341a-439d-86b3-fc7a89197ba7,599,119,352,41,311,121,215,96,7.0,111.71111111111111,7.002612241515891
5,14e4acd7-6a79-40ad-8f02-6ecce7b6e63b,588,102,294,40,254,85,187,85,15.0,98.66666666666667,6.276857847385443
6,1702b695-af70-4f5f-ba3d-72f86008a229,591,118,361,47,314,111,215,97,5.0,110.44444444444444,6.805995851424356
7,1d442680-947c-49d6-819d-da83bc717e25,599,134,352,39,313,103,216,82,10.0,101.0,7.930574733328953
8,1f62e832-6c40-4a54-8413-6f4f134de352,585,136,404,58,346,134,247,111,5.0,128.15555555555557,8.169330849584753
9,1fa3dab9-dfcf-4ecd-ae90-3c637cecc629,591,83,324,50,274,107,179,96,9.0,107.2,4.41379690602092
10,211f97ac-8c39-4e54-869b-572a11f91dea,588,123,327,38,289,103,206,83,5.0,99.93333333333334,7.813092197269896
11,2438c0c5-227c-4ed4-890b-a75da183d343,602,159,366,39,327,93,242,83,5.0,106.02222222222223,10.61227225809894
12,327f8d0e-207a-4d8d-b775-c329b9740e0b,585,130,368,57,311,129,239,109,5.0,128.77777777777777,8.22706128497321
13,370d78cd-eda4-48a5-bf65-d1cfd3689492,599,95,298,39,259,104,179,84,5.0,95.22222222222223,5.498481335135537
14,493e0288-8d0e-4f6f-a7da-6d1f334d78e7,602,116,315,38,277,99,201,85,11.0,101.42222222222222,6.705519005682703
15,4ddaaa5d-1e1a-4262-a50b-15a2d485df55,599,187,449,45,404,127,291,104,9.0,129.82222222222222,11.679406977342353
16,518fe108-0973-4370-805d-32b76b018387,599,101,330,38,292,101,191,90,8.0,102.11111111111111,5.891154127467132
17,523ca906-8a4a-4ac7-b269-27d29fc0148a,585,157,448,64,384,128,286,128,10.0,149.0,9.442204495896448
18,52b510de-a47a-46da-9153-790d64e90ac1,599,171,406,35,371,98,256,85,5.0,107.82222222222222,10.862296432368112
19,53052f32-13d3-44f1-9e68-a4c89c5238d7,591,70,303,48,255,110,165,95,5.0,102.57777777777778,3.8006844543650686
20,59799041-5fa8-41b8-9a24-c8af9795ed6e,585,209,539,66,473,172,338,129,10.0,162.0222222222222,13.07266617108931
21,5a481eef-2c5e-47c1-b7bb-fc80f36fc250,588,87,274,42,232,97,169,82,5.0,94.17777777777778,5.22084989791685
22,60fded9e-c28d-46b4-acf3-9d2e8f65ebb1,591,109,357,48,309,110,209,100,5.0,112.06666666666666,6.0492993379428555
23,649ca710-98a3-4a63-8674-dd37cdb05078,602,107,306,40,266,101,195,88,5.0,103.11111111111111,6.722027705908644
24,6813ef38-b5e1-4ece-9b0b-f29b4b0ababe,602,157,368,41,327,95,243,86,9.0,109.13333333333334,10.385211322431601
25,6fd99e6c-f81c-4f60-971b-2e20b78b2692,591,67,323,51,272,99,168,99,7.0,109.06666666666666,3.3737566800231207
26,70b801f3-82bb-48c6-8d8b-dc91be6ad534,602,119,332,39,293,106,209,90,10.0,107.17777777777778,7.022470592971587
27,7178d64f-938b-4391-be28-324d1acbafc9,602,128,318,34,284,87,204,76,5.0,94.5111111111111,8.342839090014408
28,71b99c09-2a47-4e41-91f0-a8b43225b8d6,602,114,291,41,250,120,195,81,9.0,102.73333333333333,7.112672870631016
29,74e2f338-994b-4491-afcf-1edc0635caf8,599,169,406,40,366,100,259,90,,111.6,10.682965933698014
30,82fcfc63-96d5-47e8-b904-3b4c707a7344,599,158,390,40,350,104,250,92,7.0,112.31111111111112,9.900248409508336
31,83a1ad6c-0240-4c15-8c1c-21343cc28b55,599,197,443,39,404,112,290,93,5.0,120.37777777777778,13.029271264544924
32,84729d16-ffd0-4e23-83f4-1d5b2dab2f1a,602,112,307,38,269,112,197,85,5.0,102.4888888888889,7.037344466348671
33,85ee79c6-5bef-4c3b-978a-e5613f918ff5,585,203,531,64,467,156,335,132,10.0,159.95555555555555,12.260429803793272
34,8667674a-1d2e-4e35-95e5-0d2729987edd,591,157,443,50,393,127,261,104,7.0,124.08888888888889,9.174263651545587
35,87e41688-98ea-4a31-9041-c93ec9dabbf4,602,172,389,43,346,115,271,99,11.0,128.33333333333334,11.140906280315022
36,8af4a1d1-c450-44db-a8d7-0ef58ee2c01c,591,97,326,48,278,99,190,93,14.0,103.37777777777778,5.235304500114381
37,93c062d6-9723-41c0-8a0e-7ad3ee9a4dec,588,145,373,42,331,92,238,92,14.0,113.53333333333333,8.800448794482762
38,959584ee-1848-4314-9238-60e493772361,585,167,455,62,393,156,291,124,5.0,146.77777777777777,10.182407183496252
39,95aa9155-9c15-4b60-aaac-0a1ef5428e65,588,130,333,39,294,91,215,85,6.0,102.28888888888889,8.30824426513702
40,96239bec-a039-4689-bd57-1e2ff5885902,602,154,356,40,316,96,236,82,5.0,104.6,10.218681970023695
41,96ff4b86-f467-4294-b846-81ee11e70f15,602,108,305,43,262,116,199,91,5.0,107.17777777777778,6.5453615397128
42,a2172f61-fa8b-4b1c-bb4f-f3995e37c944,599,238,496,44,452,120,341,103,5.0,136.93333333333334,15.984402649490022
43,a63c8f1f-171a-430c-88f2-982f908939f1,591,57,279,42,237,94,145,88,14.0,94.2,3.032888093744589
44,a911f8a1-0397-45cc-8fa7-fb740d6f30f5,602,155,353,42,311,121,249,94,7.0,118.35555555555555,10.21962455046458
45,acd04ff1-8361-4707-9449-a7354f0c85bd,585,172,420,50,370,133,275,103,5.0,127.73333333333333,10.771886628053167
46,adc2b8c7-d515-4d68-8f07-d792b890e56a,602,159,354,38,316,109,243,84,7.0,109.26666666666667,10.237640890320876
47,b1494efa-6f26-4240-8d90-49dcae63de8d,591,103,349,47,302,105,197,94,5.0,105.5111111111111,5.764517532460616
48,b1cdf860-aff3-4aa2-b099-1725cba9b301,588,110,313,41,272,100,197,87,5.0,103.26666666666667,7.087972738068061
49,b4c80a7d-7675-46c7-8912-e8d3b7782c7f,599,172,402,38,364,102,257,85,5.0,107.77777777777777,10.906521636898873
50,bb80a39d-55d3-4780-934e-023d53b577fe,585,136,399,60,339,125,248,112,8.0,130.44444444444446,8.26487185989646
51,bfb26223-878f-425c-898a-f060e372c3af,585,144,445,62,383,160,274,130,11.0,151.26666666666668,8.21743879171845
52,c1e15e14-f5d2-48bf-b217-ee8c8cdc70f2,588,110,314,39,275,97,195,85,5.0,99.66666666666667,6.814672862549855
53,c2f666db-c914-4eef-af64-818e7ed64f5d,585,116,387,61,326,135,234,118,9.0,133.9111111111111,6.768237277176553
54,c57f4c85-1425-4438-a8da-729dfd6eae71,588,101,288,38,250,92,181,80,5.0,94.2,6.12709994918815
55,c679a438-40aa-4ee3-be53-551e8808ca19,591,71,307,47,260,102,164,93,5.0,101.28888888888889,3.7596207751928716
56,cb3322c3-cffa-45f5-b0fc-d2ec3dddf2fd,588,230,427,36,391,110,319,89,5.0,129.95555555555555,15.922515234534387
