,cup id,instrument,fmax,melt start,melt stop,melt range,pcr start,pcr stop,pcr min,reverse cq,mean pcr,mean pcr 90% ci
0,03f649d3-0fb5-4f82-a7e7-1ef203459579,588,237,2109,1432,677,1785,1883,1646,5.0,1713.3555555555556,14.04798646093468
1,04253c41-edfe-4b1c-899e-f0addd248ff3,585,548,3358,2253,1105,2743,2967,2419,5.0,2549.266666666667,37.11074716454914
2,05b9771e-d498-4a12-9b58-93abab8d020c,599,308,1818,1010,808,1337,1486,1178,5.0,1227.4666666666667,18.32148884181038
3,0bcf09e8-2abc-47bf-a732-c51ec02518f2,588,446,2646,2106,540,2007,2390,1944,10.0,2068.9333333333334,23.065640499880033
4,126244a2-341a-439d-86b3-fc7a89197ba7,599,318,2042,1220,822,1664,1705,1387,5.0,1463.5777777777778,21.201189184033638
5,14e4acd7-6a79-40ad-8f02-6ecce7b6e63b,588,-422,2159,1551,608,2220,1910,1710,11.0,1863.1777777777777,35.77643377784716
6,1702b695-af70-4f5f-ba3d-72f86008a229,591,330,2111,1404,707,1522,1744,1414,5.0,1462.8,19.17033672270486
7,1d442680-947c-49d6-819d-da83bc717e25,599,363,2023,1259,764,1474,1695,1332,,1423.6444444444444,20.267653663593364
8,1f62e832-6c40-4a54-8413-6f4f134de352,585,290,2852,2046,806,2432,2506,2216,6.0,2306.2,16.42767515323476
9,1fa3dab9-dfcf-4ecd-ae90-3c637cecc629,591,248,1998,1276,722,1534,1633,1385,5.0,1458.7333333333333,12.103641693221107
10,211f97ac-8c39-4e54-869b-572a11f91dea,588,292,2507,1785,722,2183,2184,1892,15.0,1982.3111111111111,21.410145924773587
11,2438c0c5-227c-4ed4-890b-a75da183d343,602,386,2199,1419,780,1865,1892,1506,8.0,1629.6666666666667,27.41022469917357
12,327f8d0e-207a-4d8d-b775-c329b9740e0b,585,311,2391,1594,797,1944,2083,1772,5.0,1849.4444444444443,18.739303656471748
13,370d78cd-eda4-48a5-bf65-d1cfd3689492,599,223,2031,1404,627,1753,1689,1466,,1579.0,19.0987559010523
14,493e0288-8d0e-4f6f-a7da-6d1f334d78e7,602,-285,2192,1567,625,2075,1951,1680,7.0,1813.6222222222223,26.567911130411403
15,4ddaaa5d-1e1a-4262-a50b-15a2d485df55,599,469,2346,1325,1021,1710,1920,1451,9.0,1561.5333333333333,28.83727861855118
16,518fe108-0973-4370-805d-32b76b018387,599,249,1911,1135,776,1606,1585,1336,9.0,1409.2,18.318764812133168
17,523ca906-8a4a-4ac7-b269-27d29fc0148a,585,313,3228,2521,707,2947,2950,2637,9.0,2756.9333333333334,21.440264921227026
18,52b510de-a47a-46da-9153-790d64e90ac1,599,453,2096,1173,923,1466,1749,1296,13.0,1391.8666666666666,27.61202196409681
19,53052f32-13d3-44f1-9e68-a4c89c5238d7,591,192,1839,1126,713,1472,1471,1279,5.0,1332.5555555555557,12.900627629132487
20,59799041-5fa8-41b8-9a24-c8af9795ed6e,585,-456,3240,2327,913,2988,2798,2461,10.0,2653.266666666667,33.067832456998076
