,cup id,instrument,fmax,melt start,melt stop,melt range,pcr start,pcr stop,pcr min,reverse cq,mean pcr,mean pcr 90% ci
0,03f649d3-0fb5-4f82-a7e7-1ef203459579,588,10,41,16,25,23,31,21,12.0,22.555555555555557,0.6486776187400913
1,04253c41-edfe-4b1c-899e-f0addd248ff3,585,20,64,23,41,35,49,29,5.0,32.06666666666667,1.2953509948795965
2,05b9771e-d498-4a12-9b58-93abab8d020c,599,12,44,14,30,23,31,19,5.0,20.511111111111113,0.7016159970869822
3,0bcf09e8-2abc-47bf-a732-c51ec02518f2,588,14,49,23,26,27,38,24,7.0,26.31111111111111,0.807793269742703
4,126244a2-341a-439d-86b3-fc7a89197ba7,599,12,46,15,31,27,33,21,7.0,23.044444444444444,0.7223105061249342
5,14e4acd7-6a79-40ad-8f02-6ecce7b6e63b,588,9,42,18,24,28,32,23,14.0,24.955555555555556,0.5496838754376085
6,1702b695-af70-4f5f-ba3d-72f86008a229,591,11,44,15,29,23,31,20,5.0,21.244444444444444,0.6455929735683448
7,1d442680-947c-49d6-819d-da83bc717e25,599,13,46,15,31,24,32,19,7.0,21.555555555555557,0.7352235163943206
8,1f62e832-6c40-4a54-8413-6f4f134de352,585,13,53,19,34,30,38,25,7.0,27.244444444444444,0.7479136118964576
9,1fa3dab9-dfcf-4ecd-ae90-3c637cecc629,591,9,42,15,27,23,29,20,8.0,21.733333333333334,0.451232359442848
10,211f97ac-8c39-4e54-869b-572a11f91dea,588,12,46,18,28,28,35,23,7.0,25.11111111111111,0.7149029019168509
11,2438c0c5-227c-4ed4-890b-a75da183d343,602,15,47,17,30,25,36,21,5.0,23.68888888888889,0.9444955789475351
12,327f8d0e-207a-4d8d-b775-c329b9740e0b,585,12,47,16,31,26,34,22,9.0,24.022222222222222,0.7561296798495611
13,370d78cd-eda4-48a5-bf65-d1cfd3689492,599,10,42,15,27,24,30,20,5.0,21.91111111111111,0.5308580883435035
