timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Output
11184.833,55.71,24,40,65,23.56,29.64,100
11184.833,55.71,24,40,65,23.56,29.64,100
11184.833,55.71,24,40,65,23.56,29.64,100
11184.984,57.25,24,40,65,,29.57,100
11184.984,57.25,24,40,65,,29.57,100
11184.984,57.25,24,40,65,,29.57,100
11184.984,57.25,24,40,65,,29.57,100
11184.984,57.25,24,40,65,,29.57,100
11184.984,57.25,24,40,65,,29.57,100
11185.133,58.4,24,40,65,,29.52,100
11185.133,58.4,24,40,65,,29.52,100
11185.133,58.4,24,40,65,,29.52,100
11185.133,58.4,24,40,65,,29.52,100
11185.133,58.4,24,40,65,,29.52,100
11185.133,58.4,24,40,65,,29.52,100
11185.283,59.53,24,40,65,,29.47,100
11185.283,59.53,24,40,65,,29.47,100
11185.283,59.53,24,40,65,,29.47,100
11185.283,59.53,24,40,65,,29.47,100
11185.283,59.53,24,40,65,,29.47,100
11185.283,59.53,24,40,65,,29.47,100
11185.434,61.02,24,40,65,23.61,29.4,100
11185.434,61.02,24,40,65,23.61,29.4,100
11185.434,61.02,24,40,65,23.61,29.4,100
11185.434,61.02,24,40,65,23.61,29.4,100
11185.434,61.02,24,40,65,23.61,29.4,100
11185.434,61.02,24,40,65,23.61,29.4,100
11185.434,61.02,24,40,65,23.61,29.4,100
11185.584,62.11,24,40,65,,29.35,100
11185.584,62.11,24,40,65,,29.35,100
11185.584,62.11,24,40,65,,29.35,100
11185.584,62.11,24,40,65,,29.35,100
11185.584,62.11,24,40,65,,29.35,100
11185.584,62.11,24,40,65,,29.35,100
11185.734,63.17,24,40,65,,29.3,100
11185.734,63.17,24,40,65,,29.3,100
11185.734,63.17,24,40,65,,29.3,100
11185.734,63.17,24,40,65,,29.3,100
11185.734,63.17,24,40,65,,29.3,100
11185.734,63.17,24,40,65,,29.3,100
11185.884,64.59,24,40,65,,29.24,100
11185.884,64.59,24,40,65,,29.24,100
11185.884,64.59,24,40,65,,29.24,100
11185.884,64.59,24,40,65,,29.24,100
11185.884,64.59,24,40,65,,29.24,100
11185.884,64.59,24,40,65,,29.24,100
11186.034,65.63,24,40,65,23.65,29.19,100
11186.034,65.63,24,40,65,23.65,29.19,100
11186.034,65.63,24,40,65,23.65,29.19,100
11186.034,65.63,24,40,65,23.65,29.19,100
11186.034,65.63,24,40,65,23.65,29.19,100
11186.034,65.63,24,40,65,23.65,29.19,100
11186.034,65.63,24,40,65,23.65,29.19,100
11186.184,66.66,24,40,65,,29.15,100
11186.184,66.66,24,40,65,,29.15,100
11186.184,66.66,24,40,65,,29.15,100
11186.184,66.66,24,40,65,,29.15,100
11186.184,66.66,24,40,65,,29.15,100
11186.184,66.66,24,40,65,,29.15,100
11186.334,67.98,24,40,65,,29.09,100
11186.334,67.98,24,40,65,,29.09,100
11186.334,67.98,24,40,65,,29.09,100
11186.334,67.98,24,40,65,,29.09,100
11186.334,67.98,24,40,65,,29.09,100
11186.334,67.98,24,40,65,,29.09,100
11186.484,68.95,24,40,65,,29.06,100
11186.484,68.95,24,40,65,,29.06,100
11186.484,68.95,24,40,65,,29.06,100
11186.484,68.95,24,40,65,,29.06,100
11186.484,68.95,24,40,65,,29.06,100
11186.484,68.95,24,40,65,,29.06,100
11186.634,69.93,24.04,40,65,23.92,29.01,100
11186.634,69.93,24.04,40,65,23.92,29.01,100
11186.634,69.93,24.04,40,65,23.92,29.01,100
11186.634,69.93,24.04,40,65,23.92,29.01,100
11186.634,69.93,24.04,40,65,23.92,29.01,100
11186.634,69.93,24.04,40,65,23.92,29.01,100
11186.634,69.93,24.04,40,65,23.92,29.01,100
11186.784,71.2,24.16,40,65,,28.96,100
11186.784,71.2,24.16,40,65,,28.96,100
11186.784,71.2,24.16,40,65,,28.96,100
11186.784,71.2,24.16,40,65,,28.96,100
11186.784,71.2,24.16,40,65,,28.96,100
11186.784,71.2,24.16,40,65,,28.96,100
11186.934,72.15,24.28,40,65,,28.91,100
11186.934,72.15,24.28,40,65,,28.91,100
11186.934,72.15,24.28,40,65,,28.91,100
11186.934,72.15,24.28,40,65,,28.91,100
11186.934,72.15,24.28,40,65,,28.91,100
11186.934,72.15,24.28,40,65,,28.91,100
11187.084,73.06,24.4,40,65,,28.87,100
11187.084,73.06,24.4,40,65,,28.87,100
11187.084,73.06,24.4,40,65,,28.87,100
11187.084,73.06,24.4,40,65,,28.87,100
11187.084,73.06,24.4,40,65,,28.87,100
11187.084,73.06,24.4,40,65,,28.87,100
11187.235,74.3,24.54,40,65,24.11,28.82,100
11187.235,74.3,24.54,40,65,24.11,28.82,100
11187.235,74.3,24.54,40,65,24.11,28.82,100
11187.235,74.3,24.54,40,65,24.11,28.82,100
11187.235,74.3,24.54,40,65,24.11,28.82,100
11187.235,74.3,24.54,40,65,24.11,28.82,100
11187.235,74.3,24.54,40,65,24.11,28.82,100
11187.384,75.18,24.68,40,65,,28.79,100
11187.384,75.18,24.68,40,65,,28.79,100
11187.384,75.18,24.68,40,65,,28.79,100
11187.384,75.18,24.68,40,65,,28.79,100
