timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Output
3937.851,65.35,24,40,65,,39.92,100
3937.851,65.35,24,40,65,,39.92,100
3937.851,65.35,24,40,65,,39.92,100
3938,66.51,24,40,65,,39.84,100
3938,66.51,24,40,65,,39.84,100
3938,66.51,24,40,65,,39.84,100
3938,66.51,24,40,65,,39.84,100
3938,66.51,24,40,65,,39.84,100
3938,66.51,24,40,65,,39.84,100
3938.15,67.66,24,40,65,,39.78,100
3938.15,67.66,24,40,65,,39.78,100
3938.15,67.66,24,40,65,,39.78,100
3938.15,67.66,24,40,65,,39.78,100
3938.15,67.66,24,40,65,,39.78,100
3938.15,67.66,24,40,65,,39.78,100
3938.3,69.15,24,40,65,,39.68,100
3938.3,69.15,24,40,65,,39.68,100
3938.3,69.15,24,40,65,,39.68,100
3938.3,69.15,24,40,65,,39.68,100
3938.3,69.15,24,40,65,,39.68,100
3938.3,69.15,24,40,65,,39.68,100
3938.45,70.26,24,40,65,,39.61,100
3938.45,70.26,24,40,65,,39.61,100
3938.45,70.26,24,40,65,,39.61,100
3938.45,70.26,24,40,65,,39.61,100
3938.45,70.26,24,40,65,,39.61,100
3938.45,70.26,24,40,65,,39.61,100
3938.601,71.34,24,40,65,,39.55,100
3938.601,71.34,24,40,65,,39.55,100
3938.601,71.34,24,40,65,,39.55,100
3938.601,71.34,24,40,65,,39.55,100
3938.601,71.34,24,40,65,,39.55,100
3938.601,71.34,24,40,65,,39.55,100
3938.752,72.78,24,40,65,,39.45,100
3938.752,72.78,24,40,65,,39.45,100
3938.752,72.78,24,40,65,,39.45,100
3938.752,72.78,24,40,65,,39.45,100
3938.752,72.78,24,40,65,,39.45,100
3938.752,72.78,24,40,65,,39.45,100
3938.901,73.83,24,40,65,,39.39,100
3938.901,73.83,24,40,65,,39.39,100
3938.901,73.83,24,40,65,,39.39,100
3938.901,73.83,24,40,65,,39.39,100
3938.901,73.83,24,40,65,,39.39,100
3938.901,73.83,24,40,65,,39.39,100
3939.052,74.88,24,40,65,,39.33,100
3939.052,74.88,24,40,65,,39.33,100
3939.052,74.88,24,40,65,,39.33,100
3939.052,74.88,24,40,65,,39.33,100
3939.052,74.88,24,40,65,,39.33,100
3939.052,74.88,24,40,65,,39.33,100
3939.202,76.21,24,40,65,25.71,39.24,100
3939.202,76.21,24,40,65,25.71,39.24,100
3939.202,76.21,24,40,65,25.71,39.24,100
3939.202,76.21,24,40,65,25.71,39.24,100
3939.202,76.21,24,40,65,25.71,39.24,100
3939.202,76.21,24,40,65,25.71,39.24,100
3939.202,76.21,24,40,65,25.71,39.24,100
3939.351,77.21,24,40,65,,39.18,100
3939.351,77.21,24,40,65,,39.18,100
3939.351,77.21,24,40,65,,39.18,100
3939.351,77.21,24,40,65,,39.18,100
3939.351,77.21,24,40,65,,39.18,100
3939.351,77.21,24,40,65,,39.18,100
3939.502,78.19,24,40,65,,39.13,100
3939.502,78.19,24,40,65,,39.13,100
3939.502,78.19,24,40,65,,39.13,100
3939.502,78.19,24,40,65,,39.13,100
3939.502,78.19,24,40,65,,39.13,100
3939.502,78.19,24,40,65,,39.13,100
3939.651,79.47,24.05,40,65,,39.06,100
3939.651,79.47,24.05,40,65,,39.06,100
3939.651,79.47,24.05,40,65,,39.06,100
3939.651,79.47,24.05,40,65,,39.06,100
3939.651,79.47,24.05,40,65,,39.06,100
3939.651,79.47,24.05,40,65,,39.06,100
3939.802,80.41,24.19,40,65,,39.02,100
3939.802,80.41,24.19,40,65,,39.02,100
3939.802,80.41,24.19,40,65,,39.02,100
3939.802,80.41,24.19,40,65,,39.02,100
3939.802,80.41,24.19,40,65,,39.02,100
3939.802,80.41,24.19,40,65,,39.02,100
3939.951,81.35,24.34,40,65,,38.98,100
3939.951,81.35,24.34,40,65,,38.98,100
3939.951,81.35,24.34,40,65,,38.98,100
3939.951,81.35,24.34,40,65,,38.98,100
3939.951,81.35,24.34,40,65,,38.98,100
3939.951,81.35,24.34,40,65,,38.98,100
3940.102,82.57,24.5,40,65,,38.9,100
3940.102,82.57,24.5,40,65,,38.9,100
3940.102,82.57,24.5,40,65,,38.9,100
3940.102,82.57,24.5,40,65,,38.9,100
3940.102,82.57,24.5,40,65,,38.9,100
3940.102,82.57,24.5,40,65,,38.9,100
3940.251,83.46,24.65,40,65,,38.84,100
3940.251,83.46,24.65,40,65,,38.84,100
3940.251,83.46,24.65,40,65,,38.84,100
3940.251,83.46,24.65,40,65,,38.84,100
3940.251,83.46,24.65,40,65,,38.84,100
3940.251,83.46,24.65,40,65,,38.84,100
3940.402,84.33,24.82,40,65,,38.78,100
3940.402,84.33,24.82,40,65,,38.78,100
3940.402,84.33,24.82,40,65,,38.78,100
3940.402,84.33,24.82,40,65,,38.78,100
3940.402,84.33,24.82,40,65,,38.78,100
3940.402,84.33,24.82,40,65,,38.78,100
3940.552,85.47,24.99,40,65,,38.71,100
3940.552,85.47,24.99,40,65,,38.71,100
3940.552,85.47,24.99,40,65,,38.71,100
3940.552,85.47,24.99,40,65,,38.71,100
3940.552,85.47,24.99,40,65,,38.71,100
3940.552,85.47,24.99,40,65,,38.71,100
3940.702,86.32,25.16,40,65,,38.66,100
3940.702,86.32,25.16,40,65,,38.66,100
3940.702,86.32,25.16,40,65,,38.66,100
3940.702,86.32,25.16,40,65,,38.66,100
3940.702,86.32,25.16,40,65,,38.66,100
3940.702,86.32,25.16,40,65,,38.66,100
3940.852,87.14,25.34,40,65,,38.6,100
3940.852,87.14,25.34,40,65,,38.6,100
3940.852,87.14,25.34,40,65,,38.6,100
3940.852,87.14,25.34,40,65,,38.6,100
3940.852,87.14,25.34,40,65,,38.6,100
3940.852,87.14,25.34,40,65,,38.6,100
3941.003,88.23,25.52,40,65,,38.55,100
3941.003,88.23,25.52,40,65,,38.55,100
3941.003,88.23,25.52,40,65,,38.55,100
3941.003,88.23,25.52,40,65,,38.55,100
3941.003,88.23,25.52,40,65,,38.55,100
3941.003,88.23,25.52,40,65,,38.55,100
3941.152,89.04,25.71,40,65,,38.52,100
3941.152,89.04,25.71,40,65,,38.52,100
3941.152,89.04,25.71,40,65,,38.52,100
3941.152,89.04,25.71,40,65,,38.52,100
3941.152,89.04,25.71,40,65,,38.52,100
3941.152,89.04,25.71,40,65,,38.52,100
3941.303,89.83,25.9,40,65,,38.48,100
3941.303,89.83,25.9,40,65,,38.48,100
3941.303,89.83,25.9,40,65,,38.48,100
3941.303,89.83,25.9,40,65,,38.48,100
3941.303,89.83,25.9,40,65,,38.48,100
3941.303,89.83,25.9,40,65,,38.48,100
3941.454,90.87,26.1,40,65,,38.43,100
3941.454,90.87,26.1,40,65,,38.43,100
3941.454,90.87,26.1,40,65,,38.43,100
3941.454,90.87,26.1,40,65,,38.43,100
3941.454,90.87,26.1,40,65,,38.43,100
3941.454,90.87,26.1,40,65,,38.43,100
3941.604,91.65,26.29,40,65,,38.38,100
3941.604,91.65,26.29,40,65,,38.38,100
3941.604,91.65,26.29,40,65,,38.38,100
3941.604,91.65,26.29,40,65,,38.38,100
3941.604,91.65,26.29,40,65,,38.38,100
3941.604,91.65,26.29,40,65,,38.38,100
3941.754,92.4,26.49,40,65,26.14,38.35,100
3941.754,92.4,26.49,40,65,26.14,38.35,100
3941.754,92.4,26.49,40,65,26.14,38.35,100
3941.754,92.4,26.49,40,65,26.14,38.35,100
3941.754,92.4,26.49,40,65,26.14,38.35,100
3941.754,92.4,26.49,40,65,26.14,38.35,100
3941.754,92.4,26.49,40,65,26.14,38.35,100
3941.905,93.37,26.71,40,65,,38.3,100
3941.905,93.37,26.71,40,65,,38.3,100
3941.905,93.37,26.71,40,65,,38.3,100
3941.905,93.37,26.71,40,65,,38.3,100
3941.905,93.37,26.71,40,65,,38.3,100
3941.905,93.37,26.71,40,65,,38.3,100
3942.055,94.1,26.91,40,65,,38.26,100
3942.055,94.1,26.91,40,65,,38.26,100
