cons,inst,lot
b472d391-961b-428a-8204-4291f65e0949,585,TKM-3386
27279278-db8d-47e4-95f5-b137f22b6dae,585,TKM-3386
a173a7ef-000f-494c-9ef6-b08e33fa47ad,585,TKM-3386
8e8ae301-31b1-4045-ad3a-d97b53f6aca7,585,TKM-3386
01793407-6af3-4147-844b-1ba2140a0005,585,TKM-3386
ec7d317c-2176-466a-bcea-3cc2e5f5bb5a,588,TKM-3386
2120c92a-8922-49cf-bfd2-c53072dc7ddb,588,TKM-3386
ae481235-7540-4077-b61f-755779b045cf,588,TKM-3386
e899e3a4-a518-4d0c-8c25-5df0c48ad169,588,TKM-3386
47dd2c37-fc9b-418b-8741-575de809a487,588,TKM-3386
750a2c23-f2e6-488c-9f2d-64847d5d881a,591,TKM-3386
afe0e555-ba5b-4f98-b529-93a7fa4a7f6c,591,TKM-3386
f32b3d00-036c-4a21-9d81-8a864d8dd701,591,TKM-3386
28bcebd4-8800-4212-921e-c1fccf1cc5c2,591,TKM-3386
223ed35c-70ef-4eac-8447-e18cdcdc15b3,591,TKM-3386
54d6262c-d950-4b38-82d1-0c252daa3591,599,TKM-3386
c3301970-3343-4077-a230-acca81c5d52a,599,TKM-3386
29f7a75f-7d15-4977-80f6-43bc3092c260,599,TKM-3386
bbf53361-434e-4d56-8125-b555425321fe,599,TKM-3386
783688f4-1c4f-485d-8dae-eba90d334d2d,599,TKM-3386
37e4b4c9-010f-4a46-a64b-7315d5ae08ac,602,TKM-3386
72557edd-9fa7-483f-885a-db11f8ef79cd,602,TKM-3386
6b756b3f-e5c7-4977-9dac-c7b9a3aa92e8,602,TKM-3386
d2efbfad-a339-4879-abfd-e6aa02aa64f4,602,TKM-3386
4db3519d-6a33-4c27-be92-fdeb2881bf32,602,TKM-3386
