(2464480)	2464480	TC-0	=	22.57	(	)	","
(2464631)	2464631	TC-0	=	22.57	(	)	","
(2464785)	2464785	TC-0	=	22.57	(	)	","
(2464931)	2464931	TC-0	=	22.57	(	)	","
(2465081)	2465081	TC-0	=	22.57	(	)	","
(2465232)	2465232	TC-0	=	22.57	(	)	","
(2465381)	2465381	TC-0	=	22.57	(	)	","
(2465532)	2465532	TC-0	=	22.57	(	)	","
(2465686)	2465686	TC-0	=	22.57	(	)	","
(2465832)	2465832	TC-0	=	22.57	(	)	","
(2465981)	2465981	TC-0	=	22.57	(	)	","
(2466132)	2466132	TC-0	=	22.57	(	)	","
(2466282)	2466282	TC-0	=	22.6	(	)	","
(2466432)	2466432	TC-0	=	22.65	(	)	","
(2466587)	2466587	TC-0	=	22.73	(	)	","
(2466733)	2466733	TC-0	=	22.79	(	)	","
(2466882)	2466882	TC-0	=	22.88	(	)	","
(2467033)	2467033	TC-0	=	22.96	(	)	","
(2467183)	2467183	TC-0	=	23.02	(	)	","
(2467333)	2467333	TC-0	=	23.05	(	)	","
(2467487)	2467487	TC-0	=	23.08	(	)	","
(2467633)	2467633	TC-0	=	23.1	(	)	","
(2467782)	2467782	TC-0	=	23.12	(	)	","
(2467933)	2467933	TC-0	=	23.14	(	)	","
(2468084)	2468084	TC-0	=	23.17	(	)	","
(2468234)	2468234	TC-0	=	23.19	(	)	","
(2468386)	2468386	TC-0	=	23.22	(	)	","
(2468535)	2468535	TC-0	=	23.24	(	)	","
(2468686)	2468686	TC-0	=	23.27	(	)	","
(2468835)	2468835	TC-0	=	23.3	(	)	","
(2468985)	2468985	TC-0	=	23.34	(	)	","
(2469135)	2469135	TC-0	=	23.38	(	)	","
(2469290)	2469290	TC-0	=	23.4	(	)	","
(2469435)	2469435	TC-0	=	23.43	(	)	","
(2469585)	2469585	TC-0	=	23.46	(	)	","
(2469734)	2469734	TC-0	=	23.49	(	)	","
(2469885)	2469885	TC-0	=	23.52	(	)	","
(2470035)	2470035	TC-0	=	23.55	(	)	","
(2470190)	2470190	TC-0	=	23.57	(	)	","
(2470336)	2470336	TC-0	=	23.6	(	)	","
(2470486)	2470486	TC-0	=	23.62	(	)	","
