***Stage1 ON***
[46]TC TEC set to 50°C
(1912774) _setStage1TecTempC: TEC Set Temp 50.000000
(1912775) _resetThermalControlState: RESET Peltier 0 control state
(1912779) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(1912786) _setThermalControlState: thermalControl-0: changing state 3->1
(1912793) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(1912801) thermalControlSetEnable: Enabling Peltier 0
(1918289) TC: TC-0 = 70.28, modeled = 11.58, target = 50.00, heatSink = -86.94, output = 100.0, timeout = 5500, exptTempC = 50.00, TecRate = 1.217
(1918441) TC: TC-0 = 71.95, modeled = 11.77, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 5650, exptTempC = 50.00, TecRate = 1.250
(1918595) TC: TC-0 = 73.04, modeled = 11.95, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 5800, exptTempC = 50.00, TecRate = 1.270
(1918740) TC: TC-0 = 74.58, modeled = 12.15, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 5950, exptTempC = 50.00, TecRate = 1.300
(1918889) TC: TC-0 = 76.03, modeled = 12.35, target = 50.00, heatSink = -86.71, output = 100.0, timeout = 6100, exptTempC = 50.00, TecRate = 1.328
(1919041) TC: TC-0 = 77.38, modeled = 12.55, target = 50.00, heatSink = -86.63, output = 100.0, timeout = 6250, exptTempC = 50.00, TecRate = 1.354
(1919190) TC: TC-0 = 78.66, modeled = 12.75, target = 50.00, heatSink = -86.98, output = 100.0, timeout = 6400, exptTempC = 50.00, TecRate = 1.378
(1919342) TC: TC-0 = 79.90, modeled = 12.96, target = 50.00, heatSink = -86.98, output = 100.0, timeout = 6550, exptTempC = 50.00, TecRate = 1.401
(1919496) TC: TC-0 = 80.70, modeled = 13.17, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 6700, exptTempC = 50.00, TecRate = 1.414
(1919641) TC: TC-0 = 81.79, modeled = 13.39, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 6850, exptTempC = 50.00, TecRate = 1.434
(1919791) TC: TC-0 = 82.81, modeled = 13.60, target = 50.00, heatSink = -86.44, output = 100.0, timeout = 7000, exptTempC = 50.00, TecRate = 1.453
(1919942) TC: TC-0 = 83.76, modeled = 13.82, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 7150, exptTempC = 50.00, TecRate = 1.469
(1920091) TC: TC-0 = 84.65, modeled = 14.05, target = 50.00, heatSink = -86.94, output = 100.0, timeout = 7300, exptTempC = 50.00, TecRate = 1.485
(1920244) TC: TC-0 = 85.49, modeled = 14.27, target = 50.00, heatSink = -87.02, output = 100.0, timeout = 7450, exptTempC = 50.00, TecRate = 1.499
(1920399) TC: TC-0 = 86.04, modeled = 14.50, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 7600, exptTempC = 50.00, TecRate = 1.506
(1920543) TC: TC-0 = 86.82, modeled = 14.72, target = 50.00, heatSink = -87.06, output = 100.0, timeout = 7750, exptTempC = 50.00, TecRate = 1.519
(1920694) TC: TC-0 = 87.57, modeled = 14.95, target = 50.00, heatSink = -86.63, output = 100.0, timeout = 7900, exptTempC = 50.00, TecRate = 1.531
(1920844) TC: TC-0 = 88.29, modeled = 15.18, target = 50.00, heatSink = -87.02, output = 100.0, timeout = 8050, exptTempC = 50.00, TecRate = 1.542
(1920994) TC: TC-0 = 88.93, modeled = 15.42, target = 50.00, heatSink = -86.98, output = 100.0, timeout = 8200, exptTempC = 50.00, TecRate = 1.552
(1921146) TC: TC-0 = 89.53, modeled = 15.65, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 8350, exptTempC = 50.00, TecRate = 1.560
(1921301) TC: TC-0 = 89.92, modeled = 15.88, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 8500, exptTempC = 50.00, TecRate = 1.564
