timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Output,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR HeatSink TempC,PCR Ramp Set TempC,PCR Output,Stage1 Error Time Ms,PCR Error Time Ms,PCR Target Rate,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
3104.312,27.85,24.0,62.0,,27.93,100.0,,,,,,,50.0,,,,,,,,,,,,,,,
3104.312,27.85,24.0,62.0,,27.93,100.0,,,,,,,50.0,,,,,,,,,,,,,,,
3104.312,27.85,24.0,62.0,,27.93,100.0,,,,,,,50.0,,,,,,,,,,,,,,,
3104.312,27.85,24.0,62.0,,27.93,100.0,,,,,,,50.0,,,,,,,,,,,,,,,
3104.312,27.85,24.0,62.0,,27.93,100.0,,,,,,,50.0,,,,,,,,,,,,,,,
3104.312,27.85,24.0,62.0,,27.93,100.0,,,,,,,50.0,,,,,,,,,,,,,,,
3104.462,27.86,24.0,62.0,23.64,27.92,100.0,,,,,,,200.0,,,,,,,,,,,,,,,
3104.462,27.86,24.0,62.0,23.64,27.92,100.0,,,,,,,200.0,,,,,,,,,,,,,,,
3104.462,27.86,24.0,62.0,23.64,27.92,100.0,,,,,,,200.0,,,,,,,,,,,,,,,
3104.462,27.86,24.0,62.0,23.64,27.92,100.0,,,,,,,200.0,,,,,,,,,,,,,,,
3104.462,27.86,24.0,62.0,23.64,27.92,100.0,,,,,,,200.0,,,,,,,,,,,,,,,
3104.462,27.86,24.0,62.0,23.64,27.92,100.0,,,,,,,200.0,,,,,,,,,,,,,,,
3104.462,27.86,24.0,62.0,23.64,27.92,100.0,,,,,,,200.0,,,,,,,,,,,,,,,
3104.612,27.87,24.0,62.0,,27.92,100.0,,,,,,,350.0,,,,,,,,,,,,,,,
3104.612,27.87,24.0,62.0,,27.92,100.0,,,,,,,350.0,,,,,,,,,,,,,,,
3104.612,27.87,24.0,62.0,,27.92,100.0,,,,,,,350.0,,,,,,,,,,,,,,,
3104.612,27.87,24.0,62.0,,27.92,100.0,,,,,,,350.0,,,,,,,,,,,,,,,
3104.612,27.87,24.0,62.0,,27.92,100.0,,,,,,,350.0,,,,,,,,,,,,,,,
3104.612,27.87,24.0,62.0,,27.92,100.0,,,,,,,350.0,,,,,,,,,,,,,,,
3104.762,28.09,24.0,62.0,,27.9,100.0,,,,,,,500.0,,,,,,,,,,,,,,,
3104.762,28.09,24.0,62.0,,27.9,100.0,,,,,,,500.0,,,,,,,,,,,,,,,
3104.762,28.09,24.0,62.0,,27.9,100.0,,,,,,,500.0,,,,,,,,,,,,,,,
3104.762,28.09,24.0,62.0,,27.9,100.0,,,,,,,500.0,,,,,,,,,,,,,,,
3104.762,28.09,24.0,62.0,,27.9,100.0,,,,,,,500.0,,,,,,,,,,,,,,,
3104.762,28.09,24.0,62.0,,27.9,100.0,,,,,,,500.0,,,,,,,,,,,,,,,
3104.912,28.49,24.0,62.0,,27.87,100.0,,,,,,,650.0,,,,,,,,,,,,,,,
3104.912,28.49,24.0,62.0,,27.87,100.0,,,,,,,650.0,,,,,,,,,,,,,,,
3104.912,28.49,24.0,62.0,,27.87,100.0,,,,,,,650.0,,,,,,,,,,,,,,,
3104.912,28.49,24.0,62.0,,27.87,100.0,,,,,,,650.0,,,,,,,,,,,,,,,
3104.912,28.49,24.0,62.0,,27.87,100.0,,,,,,,650.0,,,,,,,,,,,,,,,
3104.912,28.49,24.0,62.0,,27.87,100.0,,,,,,,650.0,,,,,,,,,,,,,,,
3105.062,29.09,24.0,62.0,23.74,27.82,100.0,,,,,,,800.0,,,,,,,,,,,,,,,
