timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Output,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR HeatSink TempC,PCR Output,Stage1 Error Time Ms,PCR Error Time Ms,PCR Target Rate,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
53.646,29.3,24.0,62.0,,29.65,100.0,,,,,,100.0,,,,,,,,,,,,,,,
53.646,29.3,24.0,62.0,,29.65,100.0,,,,,,100.0,,,,,,,,,,,,,,,
53.646,29.3,24.0,62.0,,29.65,100.0,,,,,,100.0,,,,,,,,,,,,,,,
53.646,29.3,24.0,62.0,,29.65,100.0,,,,,,100.0,,,,,,,,,,,,,,,
53.646,29.3,24.0,62.0,,29.65,100.0,,,,,,100.0,,,,,,,,,,,,,,,
53.646,29.3,24.0,62.0,,29.65,100.0,,,,,,100.0,,,,,,,,,,,,,,,
53.784,,,,25.19,,,,,,,,,,,,,,,,,,,,,,,
53.824,29.34,24.0,62.0,,29.64,100.0,,,,,,250.0,,,,,,,,,,,,,,,
53.824,29.34,24.0,62.0,,29.64,100.0,,,,,,250.0,,,,,,,,,,,,,,,
53.824,29.34,24.0,62.0,,29.64,100.0,,,,,,250.0,,,,,,,,,,,,,,,
53.824,29.34,24.0,62.0,,29.64,100.0,,,,,,250.0,,,,,,,,,,,,,,,
53.824,29.34,24.0,62.0,,29.64,100.0,,,,,,250.0,,,,,,,,,,,,,,,
53.824,29.34,24.0,62.0,,29.64,100.0,,,,,,250.0,,,,,,,,,,,,,,,
53.974,29.54,24.0,62.0,,29.64,100.0,,,,,,400.0,,,,,,,,,,,,,,,
53.974,29.54,24.0,62.0,,29.64,100.0,,,,,,400.0,,,,,,,,,,,,,,,
53.974,29.54,24.0,62.0,,29.64,100.0,,,,,,400.0,,,,,,,,,,,,,,,
53.974,29.54,24.0,62.0,,29.64,100.0,,,,,,400.0,,,,,,,,,,,,,,,
53.974,29.54,24.0,62.0,,29.64,100.0,,,,,,400.0,,,,,,,,,,,,,,,
53.974,29.54,24.0,62.0,,29.64,100.0,,,,,,400.0,,,,,,,,,,,,,,,
54.125,29.98,24.0,62.0,,29.63,100.0,,,,,,550.0,,,,,,,,,,,,,,,
54.125,29.98,24.0,62.0,,29.63,100.0,,,,,,550.0,,,,,,,,,,,,,,,
54.125,29.98,24.0,62.0,,29.63,100.0,,,,,,550.0,,,,,,,,,,,,,,,
54.125,29.98,24.0,62.0,,29.63,100.0,,,,,,550.0,,,,,,,,,,,,,,,
54.125,29.98,24.0,62.0,,29.63,100.0,,,,,,550.0,,,,,,,,,,,,,,,
54.125,29.98,24.0,62.0,,29.63,100.0,,,,,,550.0,,,,,,,,,,,,,,,
54.278,31.03,24.0,62.0,,29.57,100.0,,,,,,700.0,,,,,,,,,,,,,,,
54.278,31.03,24.0,62.0,,29.57,100.0,,,,,,700.0,,,,,,,,,,,,,,,
54.278,31.03,24.0,62.0,,29.57,100.0,,,,,,700.0,,,,,,,,,,,,,,,
54.278,31.03,24.0,62.0,,29.57,100.0,,,,,,700.0,,,,,,,,,,,,,,,
54.278,31.03,24.0,62.0,,29.57,100.0,,,,,,700.0,,,,,,,,,,,,,,,
54.278,31.03,24.0,62.0,,29.57,100.0,,,,,,700.0,,,,,,,,,,,,,,,
54.357,,,,25.19,,,,,,,,,,,,,,,,,,,,,,,
54.424,32.0,24.0,62.0,,29.53,100.0,,,,,,850.0,,,,,,,,,,,,,,,
54.424,32.0,24.0,62.0,,29.53,100.0,,,,,,850.0,,,,,,,,,,,,,,,
54.424,32.0,24.0,62.0,,29.53,100.0,,,,,,850.0,,,,,,,,,,,,,,,
54.424,32.0,24.0,62.0,,29.53,100.0,,,,,,850.0,,,,,,,,,,,,,,,
54.424,32.0,24.0,62.0,,29.53,100.0,,,,,,850.0,,,,,,,,,,,,,,,
54.424,32.0,24.0,62.0,,29.53,100.0,,,,,,850.0,,,,,,,,,,,,,,,
54.58,33.08,24.0,62.0,,29.47,100.0,,,,,,1000.0,,,,,,,,,,,,,,,
54.58,33.08,24.0,62.0,,29.47,100.0,,,,,,1000.0,,,,,,,,,,,,,,,
54.58,33.08,24.0,62.0,,29.47,100.0,,,,,,1000.0,,,,,,,,,,,,,,,
54.58,33.08,24.0,62.0,,29.47,100.0,,,,,,1000.0,,,,,,,,,,,,,,,
