timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Output,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR HeatSink TempC,PCR Ramp Set TempC,PCR Output,Stage1 Error Time Ms,PCR Error Time Ms,PCR Target Rate,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
8732.855,34.3,24.0,62.0,,34.64,100.0,,,,,,,50.0,,,,,,,,,,,,,,,
8732.855,34.3,24.0,62.0,,34.64,100.0,,,,,,,50.0,,,,,,,,,,,,,,,
8732.855,34.3,24.0,62.0,,34.64,100.0,,,,,,,50.0,,,,,,,,,,,,,,,
8732.855,34.3,24.0,62.0,,34.64,100.0,,,,,,,50.0,,,,,,,,,,,,,,,
8732.855,34.3,24.0,62.0,,34.64,100.0,,,,,,,50.0,,,,,,,,,,,,,,,
8732.855,34.3,24.0,62.0,,34.64,100.0,,,,,,,50.0,,,,,,,,,,,,,,,
8733.005,34.3,24.0,62.0,,34.64,100.0,,,,,,,200.0,,,,,,,,,,,,,,,
8733.005,34.3,24.0,62.0,,34.64,100.0,,,,,,,200.0,,,,,,,,,,,,,,,
8733.005,34.3,24.0,62.0,,34.64,100.0,,,,,,,200.0,,,,,,,,,,,,,,,
8733.005,34.3,24.0,62.0,,34.64,100.0,,,,,,,200.0,,,,,,,,,,,,,,,
8733.005,34.3,24.0,62.0,,34.64,100.0,,,,,,,200.0,,,,,,,,,,,,,,,
8733.005,34.3,24.0,62.0,,34.64,100.0,,,,,,,200.0,,,,,,,,,,,,,,,
8733.155,34.33,24.0,62.0,,34.63,100.0,,,,,,,350.0,,,,,,,,,,,,,,,
8733.155,34.33,24.0,62.0,,34.63,100.0,,,,,,,350.0,,,,,,,,,,,,,,,
8733.155,34.33,24.0,62.0,,34.63,100.0,,,,,,,350.0,,,,,,,,,,,,,,,
8733.155,34.33,24.0,62.0,,34.63,100.0,,,,,,,350.0,,,,,,,,,,,,,,,
8733.155,34.33,24.0,62.0,,34.63,100.0,,,,,,,350.0,,,,,,,,,,,,,,,
8733.155,34.33,24.0,62.0,,34.63,100.0,,,,,,,350.0,,,,,,,,,,,,,,,
8733.305,34.52,24.0,62.0,29.16,34.61,100.0,,,,,,,500.0,,,,,,,,,,,,,,,
8733.305,34.52,24.0,62.0,29.16,34.61,100.0,,,,,,,500.0,,,,,,,,,,,,,,,
8733.305,34.52,24.0,62.0,29.16,34.61,100.0,,,,,,,500.0,,,,,,,,,,,,,,,
8733.305,34.52,24.0,62.0,29.16,34.61,100.0,,,,,,,500.0,,,,,,,,,,,,,,,
8733.305,34.52,24.0,62.0,29.16,34.61,100.0,,,,,,,500.0,,,,,,,,,,,,,,,
8733.305,34.52,24.0,62.0,29.16,34.61,100.0,,,,,,,500.0,,,,,,,,,,,,,,,
8733.305,34.52,24.0,62.0,29.16,34.61,100.0,,,,,,,500.0,,,,,,,,,,,,,,,
8733.455,34.9,24.0,62.0,,34.58,100.0,,,,,,,650.0,,,,,,,,,,,,,,,
8733.455,34.9,24.0,62.0,,34.58,100.0,,,,,,,650.0,,,,,,,,,,,,,,,
8733.455,34.9,24.0,62.0,,34.58,100.0,,,,,,,650.0,,,,,,,,,,,,,,,
8733.455,34.9,24.0,62.0,,34.58,100.0,,,,,,,650.0,,,,,,,,,,,,,,,
8733.455,34.9,24.0,62.0,,34.58,100.0,,,,,,,650.0,,,,,,,,,,,,,,,
8733.455,34.9,24.0,62.0,,34.58,100.0,,,,,,,650.0,,,,,,,,,,,,,,,
8733.605,35.74,24.0,62.0,,34.52,100.0,,,,,,,800.0,,,,,,,,,,,,,,,
8733.605,35.74,24.0,62.0,,34.52,100.0,,,,,,,800.0,,,,,,,,,,,,,,,
8733.605,35.74,24.0,62.0,,34.52,100.0,,,,,,,800.0,,,,,,,,,,,,,,,
8733.605,35.74,24.0,62.0,,34.52,100.0,,,,,,,800.0,,,,,,,,,,,,,,,
8733.605,35.74,24.0,62.0,,34.52,100.0,,,,,,,800.0,,,,,,,,,,,,,,,
8733.605,35.74,24.0,62.0,,34.52,100.0,,,,,,,800.0,,,,,,,,,,,,,,,
8733.755,36.57,24.0,62.0,,34.46,100.0,,,,,,,950.0,,,,,,,,,,,,,,,
8733.755,36.57,24.0,62.0,,34.46,100.0,,,,,,,950.0,,,,,,,,,,,,,,,
8733.755,36.57,24.0,62.0,,34.46,100.0,,,,,,,950.0,,,,,,,,,,,,,,,
8733.755,36.57,24.0,62.0,,34.46,100.0,,,,,,,950.0,,,,,,,,,,,,,,,
8733.755,36.57,24.0,62.0,,34.46,100.0,,,,,,,950.0,,,,,,,,,,,,,,,
8733.755,36.57,24.0,62.0,,34.46,100.0,,,,,,,950.0,,,,,,,,,,,,,,,
8733.905,37.54,24.0,62.0,,34.4,100.0,,,,,,,1100.0,,,,,,,,,,,,,,,
8733.905,37.54,24.0,62.0,,34.4,100.0,,,,,,,1100.0,,,,,,,,,,,,,,,
8733.905,37.54,24.0,62.0,,34.4,100.0,,,,,,,1100.0,,,,,,,,,,,,,,,
8733.905,37.54,24.0,62.0,,34.4,100.0,,,,,,,1100.0,,,,,,,,,,,,,,,
8733.905,37.54,24.0,62.0,,34.4,100.0,,,,,,,1100.0,,,,,,,,,,,,,,,
8733.905,37.54,24.0,62.0,,34.4,100.0,,,,,,,1100.0,,,,,,,,,,,,,,,
8733.919,,,,29.14,,,,,,,,,,,,307.0,9000.0,3380.0,136.0,228.0,243.0,842.0,871.0,56.0,9000.0,0.28859857482185275,41.51,41.51
8733.919,,,,29.14,,,,,,,,,,,,307.0,9000.0,3380.0,136.0,228.0,243.0,842.0,871.0,56.0,9000.0,0.28859857482185275,41.51,41.51
8733.919,,,,29.14,,,,,,,,,,,,307.0,9000.0,3380.0,136.0,228.0,243.0,842.0,871.0,56.0,9000.0,0.28859857482185275,41.51,41.51
8733.919,,,,29.14,,,,,,,,,,,,307.0,9000.0,3380.0,136.0,228.0,243.0,842.0,871.0,56.0,9000.0,0.28859857482185275,41.51,41.51
8733.919,,,,29.14,,,,,,,,,,,,307.0,9000.0,3380.0,136.0,228.0,243.0,842.0,871.0,56.0,9000.0,0.28859857482185275,41.51,41.51
8733.919,,,,29.14,,,,,,,,,,,,307.0,9000.0,3380.0,136.0,228.0,243.0,842.0,871.0,56.0,9000.0,0.28859857482185275,41.51,41.51
8733.919,,,,29.14,,,,,,,,,,,,307.0,9000.0,3380.0,136.0,228.0,243.0,842.0,871.0,56.0,9000.0,0.28859857482185275,41.51,41.51
8733.919,,,,29.14,,,,,,,,,,,,307.0,9000.0,3380.0,136.0,228.0,243.0,842.0,871.0,56.0,9000.0,0.28859857482185275,41.51,41.51
8733.919,,,,29.14,,,,,,,,,,,,307.0,9000.0,3380.0,136.0,228.0,243.0,842.0,871.0,56.0,9000.0,0.28859857482185275,41.51,41.51
8733.919,,,,29.14,,,,,,,,,,,,307.0,9000.0,3380.0,136.0,228.0,243.0,842.0,871.0,56.0,9000.0,0.28859857482185275,41.51,41.51
8733.919,,,,29.14,,,,,,,,,,,,307.0,9000.0,3380.0,136.0,228.0,243.0,842.0,871.0,56.0,9000.0,0.28859857482185275,41.51,41.51
8733.919,,,,29.14,,,,,,,,,,,,307.0,9000.0,3380.0,136.0,228.0,243.0,842.0,871.0,56.0,9000.0,0.28859857482185275,41.51,41.51
8733.919,,,,29.14,,,,,,,,,,,,307.0,9000.0,3380.0,136.0,228.0,243.0,842.0,871.0,56.0,9000.0,0.28859857482185275,41.51,41.51
8733.919,,,,29.14,,,,,,,,,,,,307.0,9000.0,3380.0,136.0,228.0,243.0,842.0,871.0,56.0,9000.0,0.28859857482185275,41.51,41.51
8734.055,38.95,24.0,62.0,,34.32,100.0,,,,,,,1250.0,,,,,,,,,,,,,,,
8734.055,38.95,24.0,62.0,,34.32,100.0,,,,,,,1250.0,,,,,,,,,,,,,,,
