timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Output,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR HeatSink TempC,PCR Output,Stage1 Error Time Ms,PCR Error Time Ms,PCR Target Rate,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
3615.811,32.51,24.0,50.0,62.0,,32.93,100.0,,,,,,50.0,,,,,,,,,,,,,,,
3615.811,32.51,24.0,50.0,62.0,,32.93,100.0,,,,,,50.0,,,,,,,,,,,,,,,
3615.811,32.51,24.0,50.0,62.0,,32.93,100.0,,,,,,50.0,,,,,,,,,,,,,,,
3615.811,32.51,24.0,50.0,62.0,,32.93,100.0,,,,,,50.0,,,,,,,,,,,,,,,
3615.811,32.51,24.0,50.0,62.0,,32.93,100.0,,,,,,50.0,,,,,,,,,,,,,,,
3615.811,32.51,24.0,50.0,62.0,,32.93,100.0,,,,,,50.0,,,,,,,,,,,,,,,
3615.811,32.51,24.0,50.0,62.0,,32.93,100.0,,,,,,50.0,,,,,,,,,,,,,,,
3615.961,32.51,24.0,50.0,62.0,,32.93,100.0,,,,,,200.0,,,,,,,,,,,,,,,
3615.961,32.51,24.0,50.0,62.0,,32.93,100.0,,,,,,200.0,,,,,,,,,,,,,,,
3615.961,32.51,24.0,50.0,62.0,,32.93,100.0,,,,,,200.0,,,,,,,,,,,,,,,
3615.961,32.51,24.0,50.0,62.0,,32.93,100.0,,,,,,200.0,,,,,,,,,,,,,,,
3615.961,32.51,24.0,50.0,62.0,,32.93,100.0,,,,,,200.0,,,,,,,,,,,,,,,
3615.961,32.51,24.0,50.0,62.0,,32.93,100.0,,,,,,200.0,,,,,,,,,,,,,,,
3615.961,32.51,24.0,50.0,62.0,,32.93,100.0,,,,,,200.0,,,,,,,,,,,,,,,
3616.111,32.55,24.0,50.0,62.0,,32.92,100.0,,,,,,350.0,,,,,,,,,,,,,,,
3616.111,32.55,24.0,50.0,62.0,,32.92,100.0,,,,,,350.0,,,,,,,,,,,,,,,
3616.111,32.55,24.0,50.0,62.0,,32.92,100.0,,,,,,350.0,,,,,,,,,,,,,,,
3616.111,32.55,24.0,50.0,62.0,,32.92,100.0,,,,,,350.0,,,,,,,,,,,,,,,
3616.111,32.55,24.0,50.0,62.0,,32.92,100.0,,,,,,350.0,,,,,,,,,,,,,,,
3616.111,32.55,24.0,50.0,62.0,,32.92,100.0,,,,,,350.0,,,,,,,,,,,,,,,
3616.111,32.55,24.0,50.0,62.0,,32.92,100.0,,,,,,350.0,,,,,,,,,,,,,,,
3616.261,32.93,24.0,50.0,62.0,25.51,32.9,100.0,,,,,,500.0,,,,,,,,,,,,,,,
3616.261,32.93,24.0,50.0,62.0,25.51,32.9,100.0,,,,,,500.0,,,,,,,,,,,,,,,
3616.261,32.93,24.0,50.0,62.0,25.51,32.9,100.0,,,,,,500.0,,,,,,,,,,,,,,,
3616.261,32.93,24.0,50.0,62.0,25.51,32.9,100.0,,,,,,500.0,,,,,,,,,,,,,,,
3616.261,32.93,24.0,50.0,62.0,25.51,32.9,100.0,,,,,,500.0,,,,,,,,,,,,,,,
3616.261,32.93,24.0,50.0,62.0,25.51,32.9,100.0,,,,,,500.0,,,,,,,,,,,,,,,
3616.261,32.93,24.0,50.0,62.0,25.51,32.9,100.0,,,,,,500.0,,,,,,,,,,,,,,,
3616.261,32.93,24.0,50.0,62.0,25.51,32.9,100.0,,,,,,500.0,,,,,,,,,,,,,,,
3616.411,33.55,24.0,50.0,62.0,,32.88,100.0,,,,,,650.0,,,,,,,,,,,,,,,
3616.411,33.55,24.0,50.0,62.0,,32.88,100.0,,,,,,650.0,,,,,,,,,,,,,,,
3616.411,33.55,24.0,50.0,62.0,,32.88,100.0,,,,,,650.0,,,,,,,,,,,,,,,
3616.411,33.55,24.0,50.0,62.0,,32.88,100.0,,,,,,650.0,,,,,,,,,,,,,,,
3616.411,33.55,24.0,50.0,62.0,,32.88,100.0,,,,,,650.0,,,,,,,,,,,,,,,
3616.411,33.55,24.0,50.0,62.0,,32.88,100.0,,,,,,650.0,,,,,,,,,,,,,,,
3616.411,33.55,24.0,50.0,62.0,,32.88,100.0,,,,,,650.0,,,,,,,,,,,,,,,
3616.561,34.44,24.0,50.0,62.0,,32.85,100.0,,,,,,800.0,,,,,,,,,,,,,,,
3616.561,34.44,24.0,50.0,62.0,,32.85,100.0,,,,,,800.0,,,,,,,,,,,,,,,
3616.561,34.44,24.0,50.0,62.0,,32.85,100.0,,,,,,800.0,,,,,,,,,,,,,,,
3616.561,34.44,24.0,50.0,62.0,,32.85,100.0,,,,,,800.0,,,,,,,,,,,,,,,
3616.561,34.44,24.0,50.0,62.0,,32.85,100.0,,,,,,800.0,,,,,,,,,,,,,,,
3616.561,34.44,24.0,50.0,62.0,,32.85,100.0,,,,,,800.0,,,,,,,,,,,,,,,
3616.561,34.44,24.0,50.0,62.0,,32.85,100.0,,,,,,800.0,,,,,,,,,,,,,,,
3616.711,35.9,24.0,50.0,62.0,,32.8,100.0,,,,,,950.0,,,,,,,,,,,,,,,
3616.711,35.9,24.0,50.0,62.0,,32.8,100.0,,,,,,950.0,,,,,,,,,,,,,,,
3616.711,35.9,24.0,50.0,62.0,,32.8,100.0,,,,,,950.0,,,,,,,,,,,,,,,
3616.711,35.9,24.0,50.0,62.0,,32.8,100.0,,,,,,950.0,,,,,,,,,,,,,,,
3616.711,35.9,24.0,50.0,62.0,,32.8,100.0,,,,,,950.0,,,,,,,,,,,,,,,
3616.711,35.9,24.0,50.0,62.0,,32.8,100.0,,,,,,950.0,,,,,,,,,,,,,,,
3616.711,35.9,24.0,50.0,62.0,,32.8,100.0,,,,,,950.0,,,,,,,,,,,,,,,
3616.861,37.13,24.0,50.0,62.0,25.62,32.75,100.0,,,,,,1100.0,,,,,,,,,,,,,,,
3616.861,37.13,24.0,50.0,62.0,25.62,32.75,100.0,,,,,,1100.0,,,,,,,,,,,,,,,
3616.861,37.13,24.0,50.0,62.0,25.62,32.75,100.0,,,,,,1100.0,,,,,,,,,,,,,,,
3616.861,37.13,24.0,50.0,62.0,25.62,32.75,100.0,,,,,,1100.0,,,,,,,,,,,,,,,
3616.861,37.13,24.0,50.0,62.0,25.62,32.75,100.0,,,,,,1100.0,,,,,,,,,,,,,,,
3616.861,37.13,24.0,50.0,62.0,25.62,32.75,100.0,,,,,,1100.0,,,,,,,,,,,,,,,
3616.861,37.13,24.0,50.0,62.0,25.62,32.75,100.0,,,,,,1100.0,,,,,,,,,,,,,,,
3616.861,37.13,24.0,50.0,62.0,25.62,32.75,100.0,,,,,,1100.0,,,,,,,,,,,,,,,
3616.915,,,,,,,,,,,,,,,,160.0,7726.0,997.0,66.0,109.0,117.0,228.0,305.0,21.0,2399.0,0.5131578947368421,34.66,34.66
3616.915,,,,,,,,,,,,,,,,160.0,7726.0,997.0,66.0,109.0,117.0,228.0,305.0,21.0,2399.0,0.5131578947368421,34.66,34.66
3616.915,,,,,,,,,,,,,,,,160.0,7726.0,997.0,66.0,109.0,117.0,228.0,305.0,21.0,2399.0,0.5131578947368421,34.66,34.66
