***Stage1 ON***
[113]TC TEC set to 50°C
(6218536) _setStage1TecTempC: TEC Set Temp 50.000000
(6218537) _resetThermalControlState: RESET Peltier 0 control state
(6218541) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(6218548) _setThermalControlState: thermalControl-0: changing state 3->1
(6218555) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(6218563) thermalControlSetEnable: Enabling Peltier 0
(6228821) TC: TC-0 = 50.89, modeled = 3.72, target = 50.00, heatSink = -86.16, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 0.987
(6228972) TC: TC-0 = 51.74, modeled = 3.87, target = 50.00, heatSink = -86.24, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.001
(6229122) TC: TC-0 = 52.59, modeled = 4.02, target = 50.00, heatSink = -86.66, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.015
(6229272) TC: TC-0 = 53.44, modeled = 4.18, target = 50.00, heatSink = -86.31, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.029
(6229424) TC: TC-0 = 54.27, modeled = 4.33, target = 50.00, heatSink = -86.62, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.043
(6229579) TC: TC-0 = 54.80, modeled = 4.49, target = 50.00, heatSink = -86.54, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.051
(6229725) TC: TC-0 = 55.60, modeled = 4.65, target = 50.00, heatSink = -86.39, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.064
(6229876) TC: TC-0 = 56.40, modeled = 4.81, target = 50.00, heatSink = -86.12, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.077
(6230026) TC: TC-0 = 57.17, modeled = 4.97, target = 50.00, heatSink = -86.43, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.090
(6230176) TC: TC-0 = 57.90, modeled = 5.14, target = 50.00, heatSink = -86.23, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.101
(6230326) TC: TC-0 = 58.64, modeled = 5.30, target = 50.00, heatSink = -86.43, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.113
(6230480) TC: TC-0 = 59.36, modeled = 5.47, target = 50.00, heatSink = -86.39, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.125
(6230626) TC: TC-0 = 59.84, modeled = 5.64, target = 50.00, heatSink = -86.23, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.131
